unknown,unknown,postcode,city,country,unknown
101426,A,WF7 6ER,Brescia,BE ,DE813318315
351,A,9111,Budapest,LU ,414317088
45,A,2840,Copenhagen,GB ,DE120003803
101190,A,83026,WIEN,BE ,
308,A,H-1087,London,DE ,FR13479767691
101420,S,RG14 2FN,TURNHOUT,BE ,SE556491952901
166,A,I-20090,SINT-MARTENS-LATEM,BE ,441131254
207,A,D-83026,Overijsse,BE ,B96783907
357,A,DK-4682,Rosenheim,ES ,811614242
100060,A,B 1083,KORTRIJK,DE ,DK10647533
101069,A,9800,DADIZELE,BE ,DE811199419
100507,S,B-4700,Groß-Umstadt,DE ,
101527,A,83026,Rosenheim,DE ,556046-3852
102854,A,10709,Skipton,DE ,CZ27194914
100188,A,58512,SVENLJUNGA,DE ,
102571,A,1831,DIEGEM,IT ,IT03876850482
101542,A,72469,Schwanstetten,IE ,
102582,A,3044 BC,Norfolk,BE ,DE813206252
102555,A,BD23 2UE,DIEPENBEEK,AT ,
101970,A,A-6294,ZAVENTEM,DE ,840431754
100527,A,WF14 8HE,Schiltigheim,BE ,
126,N,9130,WOMMELGEM,FR ,IT02100810965
102572,A,24,Antwerpen-Kontich,DE ,BE0453159056
102524,A,SWIP4QP,STUTTGART,IT ,FI22244233
1459,A,70565,DIEPENBEEK,IT ,758501125
101988,A,514 61,REET,IT ,A08290751
386,A,20036,Chiswick,BE ,IT01310220155
102574,A,46370,Antwerpen,DE ,BE0473191041
604443,A,2240,Dortmund,ES ,DE812629223
102828,A,W1T 4EZ,Hintertux,SE ,L.427/93 a4
100404,A,33080,Norte Beniparrell,BE ,BE0883138577
102829,A,SE-561 22,Ahus,GB ,SE556287525101
100407,A,89-300,Siegen,IT ,1267780938
604632,A,MI 49503,TAMPERE,BE ,CRIB 310001493
101189,A,79400,Tesanj,IT ,
100309,A,CF15 7QU, El Palomar. Valencia,ES ,
123,A,3900,High Wycombe,DE ,BE0874708683
102444,A,24050,Vladecans,FR ,157717556
102090,A,24064,GENK,SE ,IT01810870301
101340,A,40479,Deddington,DE ,BE0891239958
101411,A,40212,DUSSELDORF,DE ,
100476,A,44287,HEVERLEE,BE ,403980155
101848,A,CA 90623,DORTMUND,DE ,
101530,A,51647,ANTWERPEN,GB ,447196922
1179,A,WC2H 9NA,Rosenheim,ES ,FI04774193
101541,A,21013,HASSELT,IT ,
101766,A,170 00,East Sussex,DE ,FR59421592312
102539,A,B-8880,Rimsting / Chiemsee,FI ,SE556058260201
101082,A,Suite 1407,Bonaire,IT ,663282
100803,A,33097,SINT-KATELIJNE-WAVER,DE ,
100828,A,IL 60611,Koningswinter,DE ,
101309,A,D-86863,Copenhagen,DE ,DE115451740
101612,A,B-8500,POPERINGE,BQ ,DE175328754
102053,A,2000,LANGENNEUFNACH,FR ,
102898,A,86863,LEDEGEM,BE ,DE238041592
4,A,D-96052,DALSTORP,GB ,208173088
525,A,33035,LÜDENSCHEID-HELLERSEN,DE ,
101151,A,D-64387,TURNHOUT,SK ,
102305,A,543 51,NEWBURY,IT ,
100406,A,BE-8972,KORTRIJK,BE ,GB540918641
101745,A,D-02727,London,GB ,162488643
249,A,B-2110,LOMMEL,DE ,DE224833971
101169,N,B-8800,CAERPHILLY,FI ,
100983,A,1207,Messstetten-Tieringen,FR ,
2043,A,57080,Fredensborg,DE ,
517,A,DK-1100,SOLGNE,GB ,IT03658750264
282,A,B 2550,Buia,GB ,449393216
100711,A,360 30,Tureby,US ,DE122653611
100099,A,EC1M 3JU,HOEGAARDEN,GB ,ESB62270954
102570,A,8840,Gütersloh,BE ,DE160776238
102569,A,20159,SAGGART,BE ,B98195746
100266,A,EC1A 4HD,Herqueville,DE ,BE0444856351
604234,A,44 379,MECHELEN,BE ,DE133544764
605101,A,D-12107,Gallarate,LU ,BE0427129503
100732,A,46891,CHICAGO,RU ,
456,A,2449,Luxembourg,GB ,DE272069142
102131,A,8790,BURGSTETTEN,IT ,804313982B01
234,A,DK 9100,» MEEUWEN-GRUITRODE,GB ,412881191
214,A,83253,BRUSSEL,GB ,
100390,A,12042,DUDZELE,ES ,813751925B01
101613,A,B-1930,22175,BE ,DK15217138
352,S,2860,Cardiff,BE ,
102360,A,I-33050,ITSASU,DE ,407229160
102733,A,13001,LEDEGEM,BE ,
101598,A,8870,TURNHOUT,BE ,DK28683944
219,N,WCIV6PJ,Cusago,IT ,656709013
101214,A,47652,Lammhult,DE ,556272-1091
101244,S,2800,Tibro,HU ,
101858,A,1249-003,NOSSEGEM,DE ,DK13821194
385,A,EC1M 3JU,Shanghai,FI ,SE556043831801
2302,A,0,Egna-Laghetti (BZ),IT ,SE556618475901
700028,A,33720,AVELGEM,DE ,BE0425897603
101407,A,2800,Aldershot,TR ,FR85500505151
101979,N,D-81379,Poggibonsi,IT ,DE123380455
102048,A,DK-2100,Kandern,IT ,
3,A,58840,West Yorkshire,IT ,
439,A,8500,Köln,CZ ,
213,A,5000,Mariano Comense,DE ,BE0441528261
2296,A,OX15 OPE,ESPOO,BE ,BE0436660841
232,A,75008,Paris,GB ,FI09448880
41244,A,33044,MEDA,BE ,
41183,A,2150,NEUGERSDORF,NL ,DE157717556
100577,A,I-39044,Berlin,BE ,GB569953277
521,S,22066,Roeselare,BE ,fr20628800401
100664,N,8340,MECHELEN,BE ,877274928
161,S,53036,Moscow,BE ,2510429
102236,A,46469,MORNICO AL SERIO,IT ,BE0819373846
6,A,B-8880,Kempen,DE ,
100424,A,92230,KORTRIJK,IT ,DK25821122
604367,A,71711,Tranås,ES ,DE127500144
101424,S,199 00 9,LONDON,BE ,
360,A,46960,ASTENE,IT ,IT03109290175
101976,S,9800,Ettlingen,DK ,
553,A,BE 1070,EBERMANNSDORF,BE ,BE0434625128
102682,A,DK 2800,La Scala - S. MINIATO,BE ,
122,A,2018,Praha,BE ,DE813720307
205,A,27430,GENNEVILLIERS,BE ,406912822
100526,A,64250,TORONTO,SE ,BE0421227844
101862,A,B-2300,Lyngby,PL ,GB644536039
101795,N,53639,ORIMATTILA,ES ,
102097,A,50735,Mirfield,BE ,
101560,A,3920,Lammhult,FI ,BE0443277132
102509,A,8790,Munich,BE ,DE242846106
100786,A,3600,PLETTENBERG,CZ ,DE166782160
226,N,33030,» MEEUWEN-GRUITRODE,DK ,DE125805434
102616,A,2300,PARAMARIBO,DE ,SE556236725901
100268,A,31050,Pasadena CA,BE ,DE123840736
252,A,NR19 2QB,Harrogate,BE ,
101934,A,SR,Rosenheim,FR ,
233,A,2610,MECHELEN,BE ,
604782,A,100,Mühital,IT ,IT02428590265
101171,A,127030,Prato,BE ,
101369,A,B2550,ROTTERDAM,DE ,IT00299000307
102144,A,70469,OVERPELT,DE ,
102789,A,IL 60654,Howald,BE ,
240,A,69791,Praag,BE ,
100186,A,1800,ANTWERPEN,FR ,BE0440966354
100414,A,B-4000,Wemmel,DE ,
604870,A,SE-573 28,ODERZO,DE ,IT01558330930
398,A,59154,Heiningen,BE ,
549,A,3960,Mooresville,IT ,877929644
102226,A,3660,ANTWERPEN,SE ,DE121312450
102543,A,35043,London,BE ,BE0436220678
100391,A,BN10 8JQ,KOBBEGEM-ASSE,US ,
101041,A,20082,Liege,DE ,
59,A,B-2220,Aldaya,DE ,DE241785781
604875,A,3320,BOOM,BE ,FR 21 384 288 395
102231,A,D-71576,Levent,US ,11349160157
100847,A,20250,Prata,IT ,DE145142649
102547,A,8890,Nettetal-Breyell,DK ,407229160
102844,A,HG3 1JL,LONDON,AT ,
102054,A,30020,MANZANO,BE ,BE0875505469
111,A,Hamburg,Sundern,BE ,
604783,A,D-36035,Milano,DE ,859435287
372,A,20355,ZELE,BE ,BE0818342082
139,A,3590,MILAAN,BE ,DK10008824
101062,A,25135,TORRE DI MOSTO,IT ,DE126775457
102728,A,40233,Düsseldorf,CN ,
100899,A,DK-5500,Tongeren,NL ,DE146126609
100408,A,67382,PEUTIE,DK ,BE0435131508
8,A,40547,WAREGEM,IT ,ATU61956878
101686,A,67012,Seraing,DE ,117560300
101919,N,0,VILASSAR DE MAR,BE ,475570263
285,A,D-47906,Hamburg,DE ,
12,A,31046,BRUSSEL,BE ,BE0421435405
101540,A,71332,HERRENBERG,US ,
41205,A,8580,Huskvarna,BE ,
102845,A,3480,Bamberg,FR ,455158939
102180,A,3004 HC,Langenneufnach,BE ,886131523
