unknown,postcode,city,house_number
8364642290.0,8064 AG,GRONINGEN,86
11279673212.0,8431 GG,GOES,77
13299627445.0,1182 EC,UTRECHT,122
11414679605.0,5231 AL,ROTTERDAM,78
9758680223.0,3064 LT,ZAANDAM,482
11276674090.0,4207 NA,AMSTERDAM,181
9598623868.0,2941 RH,AMSTELVEEN,158
8242623152.0,2132 LG,WATERINGEN,27
10882629883.0,2593 RG,LELYSTAD,188
10172293067.0,3513 CT,'S-GRAVENHAGE,5
8714254118.0,1328 BG,'S-GRAVENHAGE,38
9013676274.0,5482 SP,ROTTERDAM,53
10170622719.0,1076 CP,ROTTERDAM,198
10792675484.0,1333 NC,HELDEN,23
9803640295.0,1057 RJ,AMSTERDAM,16
13274670539.0,1218 GZ,MAASTRICHT,79
8697622041.0,1161 TN,ROOSENDAAL,36
9982671188.0,3133 EA,ZOETERMEER,269
11239676119.0,3972 PP,HOOFDDORP,26
9363621213.0,3059 XN,HILLEGOM,6
9930661424.0,3068 JC,AMSTERDAM,394
11468674890.0,1567 BJ,CAPELLE AAN DEN IJSSEL,4
12898664963.0,1619 KC,WADDINXVEEN,3
10077680441.0,2042 BZ,ROTTERDAM,281
13560676946.0,1051 TT,HEEMSKERK,21
8708623421.0,3707 GN,AMSTERDAM,98
9870679813.0,1902 NV,IJMUIDEN,24
8198661748.0,1188 AV,AMSTERDAM,22
11768679828.0,3011 VW,AMSTERDAM,9
11029677944.0,3317 LK,AMSTERDAM,44
9488673106.0,1066 XT,ROTTERDAM,79
8007191159.0,2582 HD,HAARLEM,14
8592664174.0,1277 CP,HAARLEM,48
13254677870.0,3011 ET,ROTTERDAM,49
11300669774.0,5283 ZL,'S-GRAVENHAGE,5
9748675822.0,1056 EH,ALMERE,6
9610679422.0,2034 BG,MUSSELKANAAL,56
9148165182.0,1078 XP,BARENDRECHT,20
10087661821.0,1033 HW,AMSTERDAM,6
12166670557.0,3438 HS,ALMERE-BUITEN,40
12931669455.0,3826 CN,'S-GRAVENHAGE,69
12029661554.0,1054 TV,AMSTERDAM,96
9693670196.0,2565 XR,ALMERE,12
12847667063.0,4007 TM,MAARN,27
8985666476.0,5042 RV,ODIJK,11
12223670769.0,5623 EM,SPIJKENISSE,88
8414678782.0,7941 EV,AMSTERDAM,70
12366675900.0,3021 DA,HILVERSUM,17
8397629732.0,1062 KS,AMSTERDAM,47
12403678067.0,1689 CM,HEERHUGOWAARD,20
12945677826.0,2718 JN,'S-GRAVENHAGE,316
12895663947.0,3319 PH,'S-GRAVENHAGE,633
11894661766.0,2022 CN,MONNICKENDAM,3
9663679316.0,5421 NJ,MAARSSEN,18
9193674587.0,3061 VJ,CULEMBORG,16
8279673841.0,9717 KN,LEEUWARDEN,11
10726679264.0,4942 DB,SEVENUM,7
8529668692.0,5237 HP,AMSTERDAM,16
10531666659.0,1054 AN,'S-GRAVENHAGE,35
12934676962.0,1141 DG,RIDDERKERK,60
9609679188.0,1824 SB,AMSTERDAM,624
8613661697.0,1098 KT,CAPELLE AAN DEN IJSSEL,12
11591680652.0,3015 GC,UTRECHT,25
10419673280.0,1814 HN,ROTTERDAM,4
10099642372.0,2498 ER,'S-GRAVENHAGE,39
9335664529.0,4847 AT,ROTTERDAM,26
8239680991.0,1335 NS,OUDERKERK AAN DE AMSTEL,80
13247679239.0,2285 AW,'S-HERTOGENBOSCH,93
13466679720.0,2332 EA,ROTTERDAM,1
11027672684.0,3941 ZR,AMSTERDAM,2
8167674917.0,1811 GR,HOOFDDORP,59
10650642486.0,1094 AE,ZOETERMEER,10
8506680508.0,3312 KW,PURMEREND,40
11975680872.0,1061 VG,VOORBURG,127
13398676585.0,3067 JG,AMSTERDAM,11
10988668556.0,3621 MV,CAPELLE AAN DEN IJSSEL,1
11076680307.0,1102 TZ,CAPELLE AAN DEN IJSSEL,2
11728662093.0,8325 AH,TILBURG,150
8705629984.0,8641 WX,DEURNE,257
12670627584.0,4703 AE,HUIZEN,32
9565665123.0,1316 TB,ROTTERDAM,21
9234677446.0,4818 JE,AMSTERDAM,89
8756679695.0,1103 SK,TILBURG,79
13210664732.0,3011 SM,ZOETERMEER,77
11812622309.0,4706 JW,ROTTERDAM,24
10930623286.0,5223 DT,HOOFDDORP,12
10472345032.0,2106 ED,HELMOND,16
9058431125.0,2332 ZN,TILBURG,1
9294676392.0,1059 EB,AMSTELVEEN,188
12057678610.0,7731 DS,MAASSLUIS,18
11292675328.0,2408 CA,STOLWIJK,32
13146663404.0,2721 JG,DORDRECHT,142
9554667814.0,3741 AX,AMSTERDAM,139
11145650782.0,1966 WJ,LEIDERDORP,4
8200669462.0,1975 BJ,ROTTERDAM,1
8840623359.0,1445 NJ,ALPHEN AAN DEN RIJN,7
12928671636.0,2011 PD,WADDINXVEEN,17
8797674951.0,5041 LT,AMSTERDAM,44
13384680897.0,3344 EB,TILBURG,22
8182677746.0,2181 LK,LEIDEN,42
13444679698.0,1911 EZ,ROTTERDAM,2
8707623421.0,3823 VL,BERGEIJK,128
13437679822.0,3068 HC,AMSTERDAM,21
11189677803.0,3527 XB,AMSTERDAM,136
13311642457.0,2518 SV,BAARN,68
8530676637.0,2025 ZD,ZWIJNDRECHT,7
10781676660.0,3527 WB,AMSTERDAM,164
12780675121.0,1213 AT,ROTTERDAM,45
10435668275.0,3582 EJ,AMSTERDAM,60
12326668730.0,2492 JS,AMSTERDAM,87
10379676663.0,5037 KE,HILVERSUM,10
12355676126.0,1076 PP,PURMEREND,49
12011669647.0,2011 RN,SITTARD,12
12389665667.0,3451 LL,HAARLEM,36
13307674475.0,3439 LA,OUDERKERK AAN DE AMSTEL,4
12339680429.0,1132 GH,HEEMSTEDE,499
12788679603.0,2986 EB,LITH,61
10806664728.0,1339 TN,MEPPEL,12
11401669577.0,3328 AR,AMSTERDAM,18
11610623535.0,1391 AT,ALMERE-HAVEN,3
8884680908.0,3931 VK,BUSSUM,288
10202665238.0,2101 GB,OIRSCHOT,258
9568675190.0,3243 AM,HILVERSUM,106
8181677322.0,2508 EB,AMSTERDAM,404
12878673775.0,2595 CG,HAARLEM,85
12406667523.0,1017 VG,UTRECHT,15
8632667324.0,1213 SW,AMSTERDAM,26
8043672457.0,1811 GG,PIJNACKER,105
8054681001.0,8375 BL,AMSTERDAM,68
10933672871.0,1702 CH,AMSTERDAM,7
10643674513.0,1448 RJ,CAPELLE AAN DEN IJSSEL,28
12564670050.0,2907 WH,GRONINGEN,29
10642626103.0,3155 SL,HAARLEM,152
8219672475.0,1191 BG,HELLEVOETSLUIS,37
8711623325.0,7151 BW,DELFT,48
12134679286.0,2451 ZM,CAPELLE AAN DEN IJSSEL,3
13340670248.0,1066 PJ,ALMERE,59
9816670226.0,3032 AX,MAARSSEN,60
12103669978.0,3012 CC,ROTTERDAM,66
10858669812.0,3208 BA,LEVEROY,25
12089667988.0,3417 XE,KAMPEN,57
12619678410.0,1018 AK,AMSTERDAM,50
12777669817.0,3061 XT,EEMNES,59
12275669884.0,2631 DJ,ROTTERDAM,32
11613665309.0,8281 NT,DRUNEN,2
9972627744.0,2624 EK,DELFT,21
12195669935.0,4761 XN,DORDRECHT,52
8074678643.0,2719 BW,LOPIK,10
10150674787.0,1109 CE,ZWOLLE,93
13215660922.0,1013 XW,HOOGVLIET,32
10471627165.0,2132 PM,ALMERE,292
12165673787.0,8302 PB,AMSTERDAM,40
10452651715.0,4691 HH,BREDA,98
11258666741.0,5215 EW,WAALWIJK,239
12797680777.0,1011 HB,HAARLEM,60
9602679955.0,3584 ZZ,AMSTERDAM,627
9251678851.0,5102 HP,HERTEN,8
10040675274.0,3231 AD,DIEREN,7
12842621243.0,3561 SV,LEIDERDORP,302
12363677609.0,2662 DB,NEDERWEERT,77
11179680760.0,1093 GB,UTRECHT,44
12697680258.0,2513 EW,GOUDA,9
12519666948.0,3206 TB,ZOETERMEER,88
8259627384.0,5038 SE,UTRECHT,24
13373675738.0,1087 MN,BERGEN OP ZOOM,87
12814678360.0,7701 XH,ROTTERDAM,8
8864670060.0,3453 HJ,DEN HAAG,9
9418680362.0,2316 TX,AMSTERDAM,6
8365611050.0,3037 GA,AMSTERDAM,234
13452679810.0,7311 VL,NIEUW-VENNEP,8
9794665404.0,3437 JK,AMSTERDAM,74
12170671999.0,6712 GN,ROTTERDAM,43
11563669121.0,3772 ZV,ZWAMMERDAM,31
9698664770.0,9254 DD,ROTTERDAM,235
10002621746.0,9791 DK,ROTTERDAM,7
9032670438.0,6511 CZ,DE MEERN,10
10578676288.0,3452 LG,MAASTRICHT,70
12251676111.0,2723 AJ,AMSTERDAM,55
10097622937.0,3014 GH,ROTTERDAM,228
9527674997.0,9712 AK,BREDA,37
11784681068.0,3062 WN,TILBURG,9
9283599050.0,5611 KJ,AMSTERDAM,12
12514661947.0,2719 DZ,ALKMAAR,157
10392650586.0,1448 XK,'S-GRAVENHAGE,16
10464651972.0,4356 JS,HILLEGOM,11
11369622237.0,1098 WJ,AMSTERDAM,5
8203666565.0,3513 EZ,AMSTERDAM,102
12899665024.0,1079 SV,HERVELD,112
8281679635.0,3071 AA,AMSTERDAM,49
10759663093.0,2235 VA,EGMOND AAN DEN HOEF,25
8786661659.0,7461 BD,HEEMSTEDE,181
10231624060.0,1382 CM,ROTTERDAM,29
8683628428.0,1104 HC,OOSTERBEEK,17
9639677304.0,1074 EP,ZAANDAM,2
11686678068.0,1338 LC,AMSTERDAM,49
12752665755.0,5616 JN,AMSTERDAM,57
11068677313.0,9728 KE,BEVERWIJK,94
11207678229.0,4702 JP,BREDA,85
8894678209.0,1215 SM,LELYSTAD,22
10719680121.0,3224 EH,GRONINGEN,1
13205650845.0,5611 TV,AMSTERDAM,387
9354674713.0,2015 AK,HAARLEM,3
12655680179.0,1333 ZA,WIJCHEN,51
8844667300.0,2181 GC,AMSTERDAM,45
10389642123.0,1061 XZ,UTRECHT,296
12240505080.0,2408 LM,HEERHUGOWAARD,39
8465618948.0,5066 AP,WASSENAAR,2
9170623097.0,1827 JN,HAARLEM,56
10596676338.0,1312 JK,NUMANSDORP,32
9346676137.0,2993 HK,UITHOORN,60
9445679285.0,2411 PJ,DRONTEN,167
12800679405.0,1363 ZE,ROTTERDAM,46
9262623132.0,2251 RS,DIEMEN,19
13497679333.0,2274 GT,AMSTERDAM,13
11559675460.0,5612 MC,ALKMAAR,20
13472679884.0,6004 ET,ROTTERDAM,67
12370668349.0,1222 SV,UTRECHT,33
9025669027.0,5541 HD,GRAVE,90
13400679165.0,1443 AX,NIEUWEGEIN,102
9062641056.0,4438 AC,AMSTERDAM,19
13345680943.0,3402 BL,APELDOORN,12
11435679979.0,2274 GB,UITHOORN,69
13339668174.0,1689 VL,GLIMMEN,11
9713672018.0,2906 BR,LEIDEN,26
10216677781.0,8255 BR,ALMERE,5
9164680473.0,2271 AT,HILLEGOM,10
9840677365.0,1071 BA,UTRECHT,25
12349667990.0,1057 SC,HORSSEN,129
13566679752.0,1217 DJ,AMSTERDAM,24
12599681078.0,2635 HB,AMSTERDAM,40
8732677885.0,2271 BG,TILBURG,57
8474672222.0,6932 AE,AMSTELVEEN,5
10524679129.0,1072 PJ,AMSTERDAM,11
8255680759.0,3434 AP,SASSENHEIM,19
13372680853.0,1071 VH,AMSTERDAM,29
12168679780.0,2911 AE,UTRECHT,130
11350539066.0,1054 JL,OPIJNEN,200
9810667478.0,1399 KR,AMSTERDAM,115
11756665033.0,2312 JC,ROTTERDAM,12
12770680604.0,3602 PC,ROSMALEN,59
8566675472.0,4132 VA,'S-GRAVENHAGE,67
12112680380.0,5342 VT,AMSTERDAM,23
9614679619.0,1073 GA,BADHOEVEDORP,113
12128677508.0,1325 CZ,AMSTERDAM,5
13478679737.0,3162 VK,CAPELLE A/D IJSSEL,11
8876676936.0,3452 MG,ZWIJNDRECHT,35
11249675128.0,2729 EV,AMSTERDAM,45
13011679462.0,3845 HT,AMSTERDAM,30
12577675533.0,8043 TL,MAASSLUIS,46
8032681061.0,3011 BT,ROSMALEN,1
12394672155.0,3071 LG,AMSTERDAM,30
9289663871.0,1339 AE,AMSTERDAM,276
9433679225.0,3572 RC,TILBURG,41
11422679497.0,1216 EE,NUENEN,62
9909652121.0,3544 PK,CALLANTSOOG,69
12790680321.0,5038 HE,TIEL,19
13079673265.0,1759 XE,SOMEREN,47
12636680478.0,1402 CZ,HEEMSKERK,35
11371612365.0,2341 PR,ALMERE,16
12380670780.0,1643 NH,DOORN,10
12632676151.0,1067 PV,VLEUTEN,80
13235672733.0,3831 LH,AMSTELVEEN,577
12765678837.0,4818 SH,ALKMAAR,121
13243676182.0,2951 BN,UTRECHT,178
10395667852.0,5682 HK,AMSTERDAM,2
11946661784.0,1131 DV,ZOETERMEER,20
10779669702.0,3571 ZG,ZWANENBURG,23
9921676310.0,3066 VK,ALPHEN AAN DEN RIJN,36
11834627007.0,1021 NK,'S-GRAVENHAGE,54
8989666449.0,8024 DT,'S-HERTOGENBOSCH,24
12084669549.0,1057 HZ,AMSTERDAM,35
11021678529.0,3431 KC,IJSSELSTEIN,211
10272669697.0,1068 SB,HEERHUGOWAARD,216
8251679085.0,2134 XD,ROTTERDAM,35
10218680726.0,7548 RB,ALMERE BUITEN,60
11712671967.0,3141 GH,NOORDWIJKERHOUT,22
12278672404.0,2313 WZ,UTRECHT,101
9873677251.0,5651 AH,ROTTERDAM,23
11340662195.0,1055 ED,UTRECHT,9
8379628393.0,1182 GR,'S-GRAVENHAGE,536
8444669246.0,7311 KX,AMSTERDAM,36
11078622332.0,3772 SW,HEERHUGOWAARD,15
10562677183.0,1272 NG,KRIMPEN A/D LEK,103
13229661717.0,1076 XK,CAPELLE AAN DEN IJSSEL,4
9212668562.0,2983 VH,VLEUTEN,6
9547680911.0,3523 CH,NOORDWIJKERHOUT,11
8471628102.0,2134 WL,KRIMPEN AAN DEN IJSSEL,29
13369616136.0,2012 EN,KOOTWIJKERBROEK,64
8921667393.0,3513 BS,AMERSFOORT,34
11008669028.0,1055 BT,SPIJKENISSE,53
8017651668.0,3054 KX,AMSTERDAM,10
12155678444.0,1024 KM,AMSTERDAM,4
11272680941.0,5656 BE,DORDRECHT,69
12121680209.0,2983 GD,CAPELLE AAN DEN IJSSEL,17
13501679924.0,3328 LN,ZAANDAM,27
9784672706.0,1132 LH,ZEEWOLDE,66
8674678674.0,1731 XM,NIEUWERKERK AAN DEN IJSSEL,15
10318665183.0,6227 RC,ROOSENDAAL,125
9244676462.0,3521 CD,AMSTERDAM,23
11155640447.0,2514 BV,AMSTERDAM,46
8617677685.0,3441 XA,ROTTERDAM,27
11771622776.0,1251 XJ,HAARLEM,29
10079680860.0,1741 RX,AMSTERDAM,130
11929628101.0,3871 MK,AMSTERDAM,261
10074677107.0,5391 KE,BRUMMEN,35
8331671236.0,5035 JL,AMSTERDAM,51
8751681012.0,3061 CM,ROTTERDAM,14
11080641294.0,1131 DJ,UTRECHT,23
10442669716.0,1072 CN,SCHIEDAM,30
8852670135.0,1018 BJ,ROTTERDAM,34
13496679855.0,1621 KK,HEEMSTEDE,287
10165675014.0,5751 VL,IJSSELSTEIN,46
8540678684.0,3554 GK,BADHOEVEDORP,99
8896675023.0,1251 ZS,KATWIJK,150
10666651368.0,2496 VE,AMSTERDAM,6
8788663691.0,1018 EC,AMSTERDAM,14
12209666006.0,2727 BC,SASSENHEIM,11
10498627356.0,5063 CN,UTRECHT,129
10674629592.0,2541 EA,UTRECHT,6
11565622354.0,7331 BC,HAARLEM,165
10495676703.0,1121 PD,PAPENDRECHT,146
11243627992.0,5694 CK,ROTTERDAM,67
9623677314.0,2274 LE,OEGSTGEEST,87
12199192015.0,1061 CS,DIEMEN,112
9956666260.0,4796 RE,DORDRECHT,27
13597679702.0,3825 LJ,HAARLEM,37
9615642594.0,3069 TJ,MAASLAND,4
10446673578.0,3077 BE,RIDDERKERK,15
13030662168.0,2992 NN,AMSTERDAM,25
12447673516.0,1186 PA,ROTTERDAM,12
9954674522.0,5037 HC,DEN HAAG,309
12047650455.0,2161 RH,TILBURG,619
12550663750.0,2202 HS,PURMEREND,83
12995678059.0,1066 DT,ZOETERMEER,36
11156623989.0,2552 PX,MIJDRECHT,25
13301642511.0,2492 RR,AMSTERDAM,22
9656679417.0,5037 LH,VOORHOUT,41
11370622237.0,3432 CX,ROTTERDAM,62
11062665682.0,3315 BS,EINDHOVEN,38
10835675818.0,3059 PS,TILBURG,6
10350612575.0,4761 WV,AMSTERDAM,52
12889666054.0,1187 DD,LEIDERDORP,54
8241623152.0,2909 PM,'S-GRAVENHAGE,11
13258670705.0,5708 ZZ,BERGSCHENHOEK,29
9402676751.0,1216 GA,LELYSTAD,13
12438674274.0,2612 HS,HEERHUGOWAARD,45
8986666476.0,1072 HE,BROEK OP LANGEDIJK,18
13562679713.0,3941 HS,UTRECHT,44
12775677121.0,3253 XR,'S GRAVENHAGE,27
8580666010.0,3059 PS,'S-GRAVENHAGE,62
8374669551.0,6662 JE,AMSTERDAM,4
12310674819.0,2394 PB,MIDDELBURG,7
12830622139.0,2541 CV,AMSTERDAM,116
8357664542.0,4816 AW,AMSTERDAM,72
10991679526.0,1098 SP,DRIEWEGEN,375
13060680979.0,1018 MR,EINDHOVEN,30
10662667533.0,1051 CX,LEUSDEN,926
12908677705.0,3038 JD,VOORBURG,24
11830623080.0,1076 PS,ZOETERMEER,298
8433625548.0,2156 LJ,AMSTERDAM,80
13538679852.0,3741 PR,HOUTEN,401
8409672832.0,3401 TJ,COEVORDEN,5
8419680657.0,2802 VA,MAARN,113
10633662347.0,6545 KN,BERGSCHENHOEK,205
12772672043.0,3553 GT,BUSSUM,60
10085680269.0,2613 PW,ALMERE,110
8135669701.0,2553 TR,GRONINGEN,60
8855611184.0,2041 KJ,HEEMSKERK,13
8718651133.0,5658 HG,SCHIEDAM,164
12019674295.0,7442 TA,BARENDRECHT,7
13474675366.0,4225 PR,DE MEERN,99
10095680541.0,2993 DL,AMSTERDAM,77
10920674158.0,2592 RH,'S-GRAVENHAGE,338
11203676601.0,2342 AL,AMSTERDAM,30
11536678173.0,5038 VX,BUSSUM,136
11015679627.0,2611 MZ,UTRECHT,45
13154674247.0,2101 RH,UITGEEST,196
8850661499.0,7958 SB,AMERSFOORT,58
9291673717.0,3043 KL,HUIZEN,9
10628680766.0,2526 KA,ROTTERDAM,17
13220616803.0,3951 CB,ROTTERDAM,13
10573665173.0,3454 RD,RAALTE,93
8830678231.0,1077 VC,AMSTERDAM,108
13409641755.0,5032 XX,WIJNANDSRADE,56
13161680584.0,1339 TV,AMSTERDAM,46
8090670093.0,1021 TR,ROTTERDAM,173
9677678591.0,1946 RW,ZUNDERT,11
9209679254.0,1054 JL,HELLEVOETSLUIS,52
10044642606.0,3059 PD,AMSTERDAM,38
11433679858.0,2011 PB,WIJK BIJ DUURSTEDE,74
11746675718.0,5038 VV,VOLENDAM,27
11304680734.0,2641 RS,AMSTERDAM,139
12595679817.0,2565 NX,ROTTERDAM,2
8704624507.0,3931 DJ,WORMERVEER,22
12158164038.0,1071 KM,HOOFDDORP,146
8071680363.0,1074 XN,AMSTERDAM,30
11722641371.0,3994 AG,'S HERTOGENBOSCH,37
11281668517.0,7906 DD,OOSTVOORNE,5
11478666290.0,9712 EJ,SCHAGEN,11
13271666914.0,4401 NA,OEGSTGEEST,144
12040641092.0,6901 DG,MAARSSEN,10
12211668871.0,2402 EB,AMSTELVEEN,37
9378662759.0,1068 LS,HOOFDDORP,1
8696621290.0,1272 GN,WASSENAAR,8
11883666057.0,3625 AB,IJSSELSTEIN,2
13542662630.0,2984 XA,OUDORP,54
8590624940.0,1363 LN,AMSTERDAM,82
8207669156.0,1448 CV,AMSTELVEEN,19
9397676586.0,3774 RC,AMSTERDAM,114
11077614732.0,1217 SW,MAASTRICHT,17
9146668515.0,1019 NJ,AMSTERDAM,24
11653680812.0,1058 DR,'S-GRAVENHAGE,77
11740613472.0,3831 CJ,RIJSWIJK,33
11923676410.0,2265 DL,OOSTERHOUT,10
8494671215.0,1788 SC,OLDENZAAL,552
8166667298.0,1077 WE,AMSTERDAM,49
10831674458.0,1964 RJ,ROTTERDAM,53
10426615509.0,1276 HP,LEIDEN,97
12108679924.0,3067 JW,BERKEL EN RODENRIJS,74
13110672673.0,1788 XB,HAARLEM,25
12552664248.0,1333 ZP,LEIDEN,50
