unknown,unknown,unknown,postcode,city,country,telephone_nr,sbi_code,unknown,unknown,unknown,unknown,unknown,unknown,date,unknown,legal_type,date,date
3865,6B835178-F46D-4B66-BC0B-705252B90F64,6181,1019 WD,Klarenbeek,NL ,0187-488080,-         ,Supplier,CANE,036FD5A1-8C25-43FA-9B28-8821D1E4CECC,,,,,9DAD9314-7544-4287-A2E1-7BFED6E2F1E2,,,
503,8722D43C-9B5E-4232-9CBE-9267B981FC27,959392,1100 AD,Delft,NL ,020-4627500,-         ,Supplier,CANE,E02AD80C-CBDC-4647-8CC2-7D64D0E04FA2,,,,,43822A54-4EAD-4046-A810-9048ED6F82F4,,,
4272,03DC5AA5-55DA-48A2-8752-38CCBB3D59A1,957130,4817NZ,LEEUWARDEN,NL ,088 - 110 8000,UNKNOWN   ,Prospect,CANE,5D0D97E5-C577-463B-A855-9FAAA50C0742,,,,,42162084-2369-4704-88C4-E976C104994D,,,
6710,2DE4E204-E7AC-48C5-BAC7-6D3E7B6E4241,2782,1217 KX,AMERSFOORT,NL ,,N         ,Suspect,CANE,8DCFF57C-CFB0-4EA5-90FF-8969991D15DF,,,,,3FF33537-0D9D-41D8-8AC7-0ED2177A6A23,,,
4903,6CC51C4B-0DE9-47A9-A3DD-FE8D7D24BE0F,186,7521PL,UTRECHT,NL ,035-6838833,A         ,Supplier,CANE,97B53899-959F-42D5-B44E-F0E99EDC6F40,,,,,D76F0764-E9BC-498F-B998-9A49E7C26873,,,
6595,103F732A-D3B6-4ED2-8906-9694DE6B67EF,957089,8013 RL,,NL ,030-2856870,62        ,Suspect,CANE,13798CCA-D3B7-4C01-8A1A-F66861152B08,,,,,DAA08673-E651-435A-88F3-79E1A59F6E0E,,,
2953,321053B1-C4C0-4B6E-BFBF-6331DE952BD8,123521,8024 CS,Ulft,NL ,070 3252082,N         ,Customer,CANE,6FC28AAB-6E4F-41B0-88DB-D6C4F1AE96BE,,,,,858616EB-BF8D-4D1D-8C6B-49B3CE370312,,,
1618,623D3C29-0628-45D6-9AD2-571BDB453FDD,6468,1017 DA,Amsterdam,NL ,0343 528150,-         ,Prospect,CANE,81839C72-C95A-494B-9009-E53A2B5AB8A0,,,,,2ACE616C-5CEA-4A06-87B5-20C11EB0EBA8,,,
2520,F2F8A74B-BAE1-41E5-8F3F-AEFB282A11BD,958533,1332 AM,,NL ,0561-450990,-         ,Prospect,CANE,3C66198F-2088-46B8-8F43-6A703BAF8077,,,,,449FE685-BCBB-4E1F-A4B0-785540196D05,,,
3092,16762B23-11BF-407B-972E-7FECB0E86A95,202686,2031 EG,Hengelo GL,NL ,-,-         ,Supplier,CANE,9E839721-6383-4183-B3AF-62A7951B4D2D,,,,,4224C975-1242-4064-A642-DA3BEB288E29,,,
5434,EA1C1ECF-B936-4923-93F6-716C4D8D5B7A,204328,9718 CS,HOOFDDORP,NL ,,UNKNOWN   ,Prospect,CANE,59390B53-DDE7-4511-A7A4-0DA389EAE846,,,,,900EEE10-898F-49C9-BAAA-4A4A79DF965C,,,
6401,496EE969-68D5-4048-9D55-B29D32E70CEF,204239,5242 JA,Heerhugowaard,NL ,0182-623939,N         ,Suspect,CANE,0BE3DCD9-0F76-4E0C-AA0D-07EC3C291BB0,,,,,B9C691B1-BB77-4430-81A1-093FD3C5046D,,,
4766,B08A8D01-32BD-4EC7-84DD-56ED882A0D21,204393,3991 CJ,Soest,NL ,020-4221323,UNKNOWN   ,Suspect,CANE,647A56EE-51E2-475F-992F-7DC11E4A28B5,,,,,34B37A3F-E997-4084-AB47-46ACBDAECDD7,,,
3720,209F1895-5048-429E-BCDB-A3EC708E5F0E,957245,3233 BK,Amstelveen,NL ,0529-462830,UNKNOWN   ,Associate,CANE,9B147FAB-D5B1-4C88-955F-6B6F7231FF63,,,,,F0CC443B-9821-43A4-AA9B-FBDB351A2D07,,,
929,F4D45123-AF9F-482E-96FE-E0623BBE49E8,959364,1948 NK,Breda,NL ,0492 - 52 27 99,UNKNOWN   ,Customer,CANE,DAE358B7-607E-4FD0-AE50-EB24E5D1A4DD,,,,,48F85DF0-382C-4695-8A19-02EAD6D830F5,,,
5043,3BC0CDD4-3FFF-4F18-850A-C2DC12DFF2AD,959471,3721BC,Aalten,NL ,076  5316631,-         ,Suspect,CANE,1D8A20B3-BBD2-4A49-8527-CCA338F5C53D,,,,,BDD746AB-E9FE-4827-8CDD-2CFE86BCF5BC,,,
3010,DB56F09B-436B-4D94-86BF-B72D6A8D5A41,4323,7101 MV,Varsseveld,NL ,070-3178040,-         ,Customer,CANE,431261D0-9989-4217-9A3A-0D2F4643DF65,,,,,CD57BA29-A13D-46E4-88BA-6B53889325AF,,,
376,87AEDBD6-783B-4663-A2A2-20441544C78E,11459,6161 HW,Breda,NL ,onbekend,UNKNOWN   ,Supplier,CANE,9CED2AB8-8903-4653-8C0E-CF0143BC8771,,,,,5298F877-B93A-469D-B32D-4A6F441729C6,,,
3636,9033F608-9120-4EDE-98A5-89EC55E1C2DE,957218,3542DP,SOEST,NL ,0636329955,42        ,Supplier,CANE,F9CC9DA2-F493-428E-905C-E83FD6043A79,,,,,C4674F5F-0242-4BFD-903C-D8D1AE33368B,,,
7167,4473C0DA-ECB9-454C-B6CF-1BD861164916,958348,8091XX,Diemen,NL ,072-5127127,A         ,Customer,CANE,E1C88AF4-08B7-4F2B-829C-B4F2951E71DC,,,,,DF585240-6F12-4268-9667-62C112AB9B46,,,
2944,34B37A3F-E997-4084-AB47-46ACBDAECDD7,956233,4191 NZ,Amsterdam,NL ,020 - 6317191,UNKNOWN   ,Prospect,CANE,CDF348A1-0197-4E57-BCF7-5FE600A7C0A5,,,,,E7B7621E-1B12-4467-8339-4A0DD1136D21,,,
4567,E5AB99DC-27DF-421F-9EC5-1C968AEC7805,10162,3880 AD,Winterswijk,NL ,,-         ,Customer,CANE,FC418BB4-B4F3-41A8-8C0D-F94B8B428C08,,,,,1BAF24AB-3F26-4C5F-80C6-93EE7B39A7E0,,,
3601,01AD2E87-96C4-4204-B1B4-21B19B162A8C,957396,3990 GC,Zwolle,NL ,030 298 50 50,-         ,Prospect,CANE,D5D48164-DD1C-4FB6-9DEE-09EC97E5C169,,,,,A582A449-5A35-409A-AD64-C80B88A60154,,,
5644,5C13053F-AD5D-4DED-B6F5-8526A9B22239,191,2596 EP,Westervoort,NL ,(0341) 25 41 14,-         ,Supplier,CANE,A82114E4-B567-4A24-A670-D20BBEADDEB2,,,,,277872A1-A744-4A5A-A69D-25753526E59E,,,
233,F7323B94-9112-45CC-BA3F-53BA886C34CB,133,2023 TT,-,NL ,0049 0352 604 38910,-         ,Customer,CANE,FC372EED-BC43-4A29-85ED-94A6205BB51B,,,,,7AE5E392-5A97-4CA0-B5EA-E2473E79D521,,,
821,04D399BC-1F05-4ED1-9E73-FDDF0AF78CB6,959142,3316 BD,-,NL ,030-6053179,-         ,Prospect,CANE,F858F219-5B6F-407F-BC16-C6D20FD80D38,,,,,5A14ABA0-4348-478B-9A42-45B5378B4131,,,
68,2FB21261-2C7A-4C30-9743-8B53E3BA69A1,5111,9012 CR,BAARN,NL ,(035) 691 18 59,UNKNOWN   ,Customer,CANE,D6CA7832-C1F3-4EAF-B513-FC8906579D9F,,,,,1889C9FB-F684-418E-8D38-1E895842166F,,,
1017,553DD369-DF73-496F-992E-BD3CFF86594C,959277,3831 KA,Houten,NL ,071  3622001,UNKNOWN   ,Customer,CANE,6C9C1A97-F60A-4662-938E-B533B6BD1EE1,,,,,C9DA3416-9EF8-4AD6-8F5F-CB441726BAF9,,,
5155,43880C63-2EA8-4681-A9CA-A6CBB4D8300F,165,3437 BA,Lelystad,NL ,071-4012380,-         ,Supplier,CANE,52A22A0E-B8E2-49DF-9BDE-7F1D89462E4E,,,,,F2B88639-A5E9-4B08-842B-3F1C7ABA5D9F,,,
3291,AC4DA340-905C-4E62-86A7-A32576BCEF48,203776,2163 AE,ALMERE,NL ,,-         ,Associate,CANE,2AE94FF9-F10D-4CE3-A73E-64016FD129E1,,,,,B15E3B52-8626-4BF8-9177-D4460BDE185B,,,
3326,9AC0A18C-97FB-49E7-B083-EB97E80C72F2,957754,1214 JS,Purmerend,NL ,0570-635710,UNKNOWN   ,Customer,CANE,CDD63561-FE70-41DE-8762-6F3A48198230,,,19011385.0,,655BE2E2-EA3B-4EE4-8083-EAC4CA8EBEB6,,,
5949,CEDDB9EA-7772-49F6-9658-78CE249FF803,958027,7418 ET,Rotterdam,NL ,0513-433933,UNKNOWN   ,Supplier,CANE,20221017-82F1-430D-A6FE-746736B3DDF9,,,,,A24799CC-DCB4-4190-A970-5EDECEBD4F5C,,,
655,CEFD3181-6B1E-4D86-BBD7-A7B41C47FF6C,959321,7255 NN,Hilversum,NL ,020-7157040,UNKNOWN   ,Customer,CANE,CB4FD6F8-407A-40B9-AB7D-A025CE348A18,,,,,D601E7A1-4D4C-4063-95F6-50B4E4DA7756,,,
2019,15DB513E-5E3E-473D-9972-DE554EA42B85,958759,1211 HZ,Elburg,NL ,,N         ,Suspect,CANE,9E32ED15-78EE-4542-818E-EC9B24EE77CF,,,,,3E89B4A4-B7B3-4193-98E2-B3CE898AACB2,,,
2354,647730E6-1BAC-4A77-BE06-45F133F6ACA6,956595,3981LB,Lelystad,NL ,06-27544621,-         ,Lead,CANE,676F60CA-64FF-45B9-9588-536A54BC86FA,,,,,30CAF94A-B1C6-4D48-93DF-A42B6E7170EA,,,
