unknown,date,country,postcode,city,country,postcode,city,unknown,unknown
320499.0,,,1077XV,MAURIK,,,,D - Nog te controleren,BKLHAR00
305225.0,09-12-16,,3000DR,WADDINXVEEN,,3641 AR,,,
320903.0,,,4530 AC,OMMEN,NL,3511 MV,UTRECHT,,VANHIL00
320182.0,09-12-16,GB,5211BB,UTRECHT,,3508 AA,UTRECHT,,
317551.0,09-12-16,NL,1098 WH,69263 LYON CEDEX 90,,3437 TV,,,
304401.0,09-12-16,NL,6827 DC,Huizen,,2900 EC,AMSTERDAM,D - Nog te controleren,
,09-12-16,,1007 RA,CULEMBORG,NL,3812 GZ,ALMELO,D - Nog te controleren,
,09-12-16,NL,0,Rotterdam,,,UTRECHT,E - Niet meer actief,
320466.0,,,3600 HA,amersFOORT,,3540 AA,,E - Niet meer actief,DELHAA01
318613.0,,NL,1017 DS,AMSTERDAM,,3581 ET,MONTFOORT,D - Nog te controleren,ISAZWO00
,,,7005BC,HOOGEVEEN,US,5721 KK,AMSTELVEEN,,
,,NL,1071 BC,WESTBROEK,NL,,,D - Nog te controleren,LIEBRE00
319314.0,,,1112XN,LAREN,,,,E - Niet meer actief,
310480.0,09-12-16,NL,3818LE,Nijmegen,,3004 EH,ALMERE,,BAKUTR00
,,,1620AR,UTRECHT,NL,,,D - Nog te controleren,DIJMAA00
,,NL,1200AV,MAARSSEN,,,,,MAKUTR00
318029.0,,,1117 ZL,AMSTERDAM,,,UTRECHT,D - Nog te controleren,MARAMS00
319190.0,09-12-16,NL,1530AA,UTRECHT,,1040 BL,UTRECHT,D - Nog te controleren,
316994.0,09-12-16,,3508 AA,AMERONGEN,,3481 GP,UTRECHT,D - Nog te controleren,UIJKRU00
,09-12-16,,3990 GH,HILVERSUM,HK,3502 HB,,,
320162.0,,,2343 GW,CAPELLE A/D IJSSEL,,,,,VANMAA01
313278.0,,,3508 AA,Bunnik,NL,,ZWOLLE,D - Nog te controleren,
318261.0,,,7214 EB,Nijmegen,NL,,,D - Nog te controleren,PHAUTR23
319571.0,09-12-16,NL,2991 XT,UTRECHT,NL,3734 GG,HARDENBERG,D - Nog te controleren,SSAUTR01
,09-12-16,NL,7390 AD,Utrecht,NL,,AMERSFOORT,D - Nog te controleren,TCNUTR16
320749.0,,DE,0,BARNEVELD,NL,6710 HN,,,VANMAA02
,09-12-16,,6642EH,AMSTERDAM,NL,1083 HN,,,CENNET01
311390.0,09-12-16,NL,0,HOUTEN,,7077 AP,ROTTERDAM,,
,,NL,5242 HG,AMSTERDAM,,3581 NH,3621 REKEM,D - Nog te controleren,WALZEI00
319906.0,09-12-16,NL,1013 AD,2660 HOBOKEN,,3508 AA,1972 ANZERE,,VLUGRO00
317332.0,09-12-16,NL,3505 CE,EINDHOVEN,NL,,UTRECHT,,VANHOO00
316863.0,,NL,3603 BC,LAREN,NL,1215 SG,BLARICUM,D - Nog te controleren,
307594.0,,NL,1320 AJ,UTRECHT,,3606 AL,,D - Nog te controleren,COLHOU00
320662.0,,NL,0,MAARSSEN,NL,,UTRECHT,,PLAUTR00
,09-12-16,,4020BA,ZOETERMEER,NL,3508 AA,,D - Nog te controleren,
320108.0,,NL,3508 AA,"WN5 0JL WIGAN,LANCASHIRE",,8218 NJ,UTRECHT,E - Niet meer actief,
,,,2003PC,NIEUWEGEIN,NL,,,D - Nog te controleren,
316649.0,,NL,3417 TC,VINKEVEEN,NL,3508 AA,NIJMEGEN,E - Niet meer actief,SANVEE01
,,,3826 CP,ARNHEM,NL,7500 AV,,,
320748.0,09-12-16,NL,3581HP,UTRECHT,NL,3508 AA,,D - Nog te controleren,KAATRI00
,,,2390 AB,DOORN,NL,,UTRECHT,,PHAUTR10
,09-12-16,,6920AC,UTRECHT,NL,,,E - Niet meer actief,VANUTR00
,09-12-16,NL,6080AC,UTRECHT,,3994 ZK,,D - Nog te controleren,VANDEN01
,09-12-16,,3065 LB,Breda,NL,1054 XW,UTRECHT,E - Niet meer actief,
320925.0,09-12-16,,7000 AB,ZWOLLE,,,,E - Niet meer actief,TRAAMS00
,,,8443DV,AMSTERDAM,,,HULSBERG,D - Nog te controleren,MENUTR00
320001.0,,,1186 DS,KORTGENE,NL,7400 GA,,D - Nog te controleren,
317836.0,09-12-16,,3508 AA,Zwolle,NL,3990 GB,UTRECHT,,DEEHUI00
320714.0,,NL,2132WV,7110 HOUDENG-AIMERIES,NL,,UTRECHT,E - Niet meer actief,
301575.0,09-12-16,NL,6716 BZ,75008 PARIS,,3511 PK,ZEIST,D - Nog te controleren,THENEW00
320441.0,,NL,3500 AN,DIEMEN,NL,6662 NG,UTRECHT,D - Nog te controleren,
,09-12-16,NL,3990 GB,ETTEN-LEUR,NL,1071 LD,,,VAN80300
,09-12-16,,1018DN,AMERSFOORT,,3800 AA,AMSTERDAM,D - Nog te controleren,MESUTR00
317708.0,09-12-16,,8271 BM,Utrecht,NL,,,,ASNDEN02
,09-12-16,,2132WT,HOLLANDSCHE RADING,NL,3980 CA,UTRECHT,D - Nog te controleren,WONOUD00
,09-12-16,NL,1014 DA,UTRECHT,,,,,
,,,3508 AA,MAARSSEN,NL,3903 LL,MAARSSEN,,KUIBUN00
,09-12-16,NL,3500 GE,Hoevelaken,,1017 XK,UTRECHT,D - Nog te controleren,GEMMIJ00
,,NL,5201 AE,ZWIJNDRECHT,,3708 CA,HOOFDDORP,,HMEUTR00
,09-12-16,,1213VX,IJMUIDEN,NL,3962 DN,UTRECHT,,SPRHOO00
,,NL,2162KS,DE BILT,NL,6130 AK,,D - Nog te controleren,
,,,4141DA,HARDERWIJK,NL,0,,D - Nog te controleren,DBSTIL01
319757.0,09-12-16,NL,1200 AE,Amsterdam,,,ROSMALEN,,VANMAA00
316672.0,09-12-16,NL,2800 AE,BAARN,NL,,,D - Nog te controleren,VASHOU00
309916.0,,NL,0,RIJSWIJK,,,DE MEERN,,KNOOOS00
319046.0,,NL,3833AV,AMSTERDAM,,,,,CARUTR00
320934.0,,,3903 KA,KOCKENGEN,NL,,UTRECHT,,
,09-12-16,NL,2300AM,AMERSFOORT,NL,,,,VERWIJ00
,09-12-16,NL,7051DW,BAARN,,,BLARICUM,E - Niet meer actief,FAROUD00
,09-12-16,,1070LH,Maarssen,NL,,,,AMBNAA00
101908.0,,,3542 DH,ALMERE,NL,0,ROSMALEN,,
,09-12-16,,3443 WD,Norwich,,3508 AA,DEVENTER,D - Nog te controleren,
,,,3990 GB,EIJSDEN,NL,5003 DA,HAASTRECHT,,
,,,2622 KA,UTRECHT,,,,,
319651.0,09-12-16,NL,3992DG,AMSTERDAM,,,BENSCHOP,D - Nog te controleren,MSMUTR02
314753.0,09-12-16,NL,3706 AR,EPE,NL,,'S-GRAVENHAGE,D - Nog te controleren,HARUTR00
,09-12-16,NL,3514AX,UTRECHT,NL,1100 DM,,,
,,,3990DW,De Bilt,,0,,,TCNUTR22
,09-12-16,,3508 AA,UTRECHT,,3504 AC,,,VACUTR04
,09-12-16,NL,1211EX,Zwolle,NL,,BUNNIK,D - Nog te controleren,ROOMAA00
319766.0,09-12-16,,6827 DC,HOOG SOEREN,,3508 AA,UTRECHT,,EQUUTR00
316999.0,09-12-16,,3845BE,BLARICUM,,,,,
,09-12-16,NL,1081HV,UTRECHT,NL,,BUDEL,,LINMAA00
319287.0,,NL,8232PH,UTRECHT,NL,3508 AA,DEN HAAG,D - Nog te controleren,SCHBAR01
319008.0,09-12-16,NL,3606 AS,AMERSFOORT,,,DEN HAAG,D - Nog te controleren,DHLMAA00
,,,1000AE,SITTARD,NL,,,,
,,NL,2130 AA,BREDA,,,ZWOLLE,E - Niet meer actief,NHGUTR00
319840.0,,NL,6685 AE,ORANJEWOUD,,,,D - Nog te controleren,ZELS-H00
,,NL,2585JR,SOEST,NL,,,,EIGUTR00
318788.0,,NL,3508 AA,Leiden,NL,3766 AM,MUIDERBERG,D - Nog te controleren,
318321.0,,,2130 EK,Utrecht,NL,3508 AA,UTRECHT,D - Nog te controleren,HUNCH-00
313787.0,09-12-16,,3004 EH,TRICHT,,3542 DT,ENKHUIZEN,D - Nog te controleren,PVEKAM00
,09-12-16,,1410 AB,Rotterdam,,0,,D - Nog te controleren,HAUDEN00
320448.0,09-12-16,NL,3606 AS,UTRECHT,NL,,UTRECHT,D - Nog te controleren,CYBAME01
,,,3903 KB,KRIMPEN A/D IJSSEL,NL,0,DIEMEN,,
,09-12-16,NL,5222BH,37020 ERBEZZO,NL,3508 AA,WADDINXVEEN,,
,09-12-16,NL,3430 BK,ROSMALEN,,,DELFT,,HYUVEE00
317747.0,,NL,3760CA,Son,NL,3508 AA,,D - Nog te controleren,VERHAR00
320029.0,,,5038EC,CULEMBORG,CH,3508 AA,,D - Nog te controleren,
,,NL,4200AB,AMSTELVEEN,,3508 AA,UTRECHT,,LIEWOE00
319660.0,09-12-16,,1800 AJ,UTRECHT,NL,,UTRECHT,D - Nog te controleren,
,,,2271 BD,Zoetermeer,NL,,,D - Nog te controleren,BERVIN00
320207.0,,NL,0,UTRECHT,NL,,,D - Nog te controleren,CROAMS00
313586.0,09-12-16,NL,3508 AD,Woudenberg,,,HOOGVLIET ROTTERDAM,E - Niet meer actief,INLLEI00
,09-12-16,NL,0,HEERLEN,NL,,HOOFDDORP,E - Niet meer actief,SPAUTR00
317982.0,,,3704HA,'S-HERTOGENBOSCH,NL,3503 RA,ALMELO,D - Nog te controleren,
317552.0,09-12-16,NL,3508 AA,GRONINGEN,NL,3500 GA,UTRECHT,D - Nog te controleren,VOSGEN00
319981.0,,,3508 AA,AMSTERDAM,,3870 DA,UTRECHT,,
318798.0,09-12-16,,3763 LV,Utrecht,NL,0,HOOFDDORP,D - Nog te controleren,REGZAA01
,,NL,8226RS,UTRECHT,NL,1507 MK,,,BUGAMS00
498.0,09-12-16,,6300AV,AMERSFOORT,,7500 CH,UTRECHT,,CAEUTR00
,,NL,3508 AA,Zoeterwoude,AN,2202 EM,AMSTERDAM,D - Nog te controleren,
,09-12-16,,3508 AA,Den Haag,NL,8001 BE,,,
320051.0,09-12-16,NL,1188EA,UTRECHT,NL,,,,BUFUTR00
320168.0,09-12-16,NL,1032 KJ,NIJMEGEN,,1017 DS,UTRECHT,E - Niet meer actief,KCZUTR00
319326.0,09-12-16,NL,0,UTRECHT,,,,D - Nog te controleren,LINHOU00
320803.0,09-12-16,BE,6500AD,UTRECHT,NL,,NIJMEGEN,D - Nog te controleren,
317923.0,09-12-16,NL,1013 RR,AMSTERDAM ,NL,3508 AB,,D - Nog te controleren,
,09-12-16,NL,1112XP,UTRECHT,NL,,,,
320263.0,09-12-16,PT,3301CE,MANCHESTER M3 3BA,NL,3542 CE,H1092 BUDAPEST,D - Nog te controleren,BOKBLA00
320332.0,09-12-16,NL,8224AC,GERWEN(NUENEN),,0,,D - Nog te controleren,
,,,4731 TB,Utrecht,,3508 AA,NIJMEGEN,D - Nog te controleren,SCHUTR00
317965.0,09-12-16,NL,3508 AA,UTRECHT,,1405 HJ,,D - Nog te controleren,FRAD-900
319299.0,,NL,1096BC,Nieuwveen,NL,,UTRECHT,E - Niet meer actief,EUR62900
,,NL,1083HN,VIANEN,,,,D - Nog te controleren,DEERIJ00
320675.0,,NL,3433PL,AMSTERDAM,NL,3508 AA,DEN HAAG,,ERAROT00
,09-12-16,NL,3700AA,MAARSSEN,NL,,UTRECHT,,
,09-12-16,,3508 AA,ZWOLLE,,3508 AA,,E - Niet meer actief,
,09-12-16,NL,1200 BB,VOERENDAAL,,3990 DC,,,
319991.0,,,3542 DP,AMSTERDAM,NL,,,D - Nog te controleren,B&FOSS00
317678.0,09-12-16,,2131HA,UTRECHT,,,UTRECHT,,LOKREE00
,09-12-16,NL,1072LH,Cuijk,NL,,,,ZIUARN00
,09-12-16,NL,6824MP,HOUTEN,NL,1117 ZL,TILBURG,D - Nog te controleren,
312257.0,,NL,2500EA,NAARDEN,NL,1800 AJ,,D - Nog te controleren,
,,,3508 AA,MIDDELBURG,,,,D - Nog te controleren,ROHUTR00
,09-12-16,NL,1100 KG,DE BILT,NL,0,,D - Nog te controleren,
320840.0,,NL,3508 AA,BLARICUM,NL,,,D - Nog te controleren,
,,NL,3702AC,VIANEN,NL,1070 AA,UTRECHT,D - Nog te controleren,
317504.0,,NL,3508 AA,ZALTBOMMEL,,,,D - Nog te controleren,HENVEE00
312174.0,09-12-16,NL,3500GV,BILTHOVEN,NL,,MANCHESTER M1 2EJ,D - Nog te controleren,
319435.0,,,3542 DP,ARNHEM,,6741 LJ,UTRECHT,E - Niet meer actief,
