unknown,postcode,city,country,postcode,city,country,house_number,house_number,unknown,unknown
MEISX001,4243 JT,ZALTBOMMEL,NL,,EDE,NL,,4,1000.0,LEV03855
BLUSD001,1633 DL,GOUDA,NL,8024 XR,LEEK,NL,,2,1000.0,HAARM003
MAXGR002,2952 DD,ALPHEN AAN DEN RIJN,NL,.,CULEMBORG,NL,2,110,1000.0,STRCP005
JEGER001,6702 DZ,SUSTEREN,NL,2952 AT,ROOSENDAAL,,69A,18 A,,DUNNE003
HARTE011,1001 AB,ALMERE STAD,NL,2132 MG,HUISSEN,,47,4,1000.0,
FUJIT001,3762 AC,MAARSSEN,NL,1314 BM,HEDEL,NL,12,4,1000.0,BOMAX002
ELECT008,3401 MG,NIEUWEGEIN,NL,9411 VN,ARNHEM,NL,135,3,1000.0,KONES001
LEV00031,3251 LP,HEERHUGOWAARD,NL,5503 LN,,NL,6061,252a,1000.0,PELTN001
HETTE001,6903 PZ,UTRECHT,NL,,SPRANG-CAPELLE,NL,,,1000.0,ALSTO001
WITTE005,2132 TL,WAALRE,NL,,REDUZUM,NL,156,141,1000.0,LEV03305
HEGEX002,6802 DB,BERINGE,NL,,UTRECHT,NL,118,44,1000.0,BOVEN001
FIZZX001,9936 HV,VENLO,NL,7772 BJ,NOORDWIJK,NL,3,10,1000.0,DOLMA003
RONDO002,7000 AN,OLDEBROEK,NL,3421 GW,HELMOND,DE,158,65,,TWOBX001
MIDSL001,4241 WJ,LELYSTAD,NL,3526 KS,BERGEN OP ZOOM,NL,4,,1000.0,BINSB002
LEV00103,5004 EA,EMMEN,NL,8051 CL,BOXTEL,NL,280,,,GANSE015
BOMBA006,2722 NN,AMSTERDAM,NL,3763 LP,UTRECHT,NL,1,44,1000.0,NEBIM004
MACAW001,3008 AD,DEN HAAG,,4130 EE,HEERLEN,NL,5,47,1000.0,VIDEO001
BERGX018,2950 AC,DORDRECHT,,3528 BA,VOLLENHOVE,NL,112a,,1000.0,BOELS066
LEV01497,5301 KM,WAALRE,NL,2288 EX,ZWOLLE,NL,,22-Feb,1000.0,BOUWC024
VOLKE056,3330 AE,UDEN,,3911 AV,,NL,7,30,1000.0,LEV02006
LEV03322,9351 VS,BREDA,NL,8091 CV,ALMERE,NL,1025,26,1000.0,DYNNI001
LEV00776,6716 AA,STUIFZAND,NL,2141 EB,HENGELO (OV),,131,400,1000.0,HAMER001
LEV03342,3440 AC,ZUTPHEN,,1333 LJ,,NL,235,,1000.0,BOOTX002
VIERP001,3840 AV,BARENDRECHT,NL,6501 BK,AMERSFOORT,NL,380,1E,1000.0,MITON001
HAPAM001,1327 CJ,ROTTERDAM,NL,3781 NM,DORDRECHT,NL,8988,115,1000.0,LEV04071
DUFEC001,2964 LK,AKKRUM,NL,3125 BA,MEPPEL,NL,577,,1000.0,TRAFA001
WEBSE001,3707 HX,MAARSBERGEN,NL,6002 ED,NIEUWEGEIN,NL,,69,1000.0,CARBY001
LEV00624,8064 PE,ALMERE,NL,8096 RR,HEESWIJK,NL,1025,,1000.0,ELAUM002
MULDX005,7201 CE,VLAARDINGEN,NL,7554 TH,,NL,,3,1000.0,BOUWH004
BATTE002,6900 AE,NUTH,NL,6274 BN,UTRECHT,NL,,12s,1000.0,WOLFS003
COMVI001,2909 LC,LEEUWARDEN,NL,,OOSTERHOUT,NL,1,,1000.0,LAMAK002
LEV03751,6716 BP,ROOSENDAAL,,,,NL,4,,,LEV00105
COFEL002,2700 AD,ENSCHEDE,NL,4001 WC,,NL,37,,1000.0,LEV00081
BOELS017,4004 JR,ZWANENBURG,NL,....,,NL,73,22,1000.0,GOOLB001
DENKP001,2130 AN,HUIZEN,NL,,DRUNEN,NL,56,15-97,1000.0,WEBER001
2303,5268 ZG,UTRECHT,NL,,S HERTOGENBOSCH,NL,25,82,1000.0,LOCON003
AUERH001,7060 AC,DEN HAAG,NL,3821 BK,TIEL,NL,340,,1000.0,KOUWE003
BOVEN001,7550 KA,MONTFOORT,NL,9401 BK,,NL,59024,90,1000.0,
WITTI001,3133 KK,WEESP,NL,2531 SX,,,916,70,1000.0,COMVI001
PIRTE007,2015 BJ,REEUWIJK,NL,3992 DB,,NL,53,2,1000.0,MOLEN009
