unknown,postcode,city,country,unknown,telephone_nr,telephone_nr,unknown,unknown,unknown,province,country,sbi_description,sbi_description
902114,8447 DM,GRONINGEN,Netherlands,,058-267 75 77,,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
903237,8912 AS,HEERENVEEN,Netherlands,,+31 513 62 28 41,0516-432 111,Referentie,Klant,134564049,Friesland,Europe,Gezondheidszorg,
11643,8606 JG,FRANEKER,Netherlands,,+31 518 40 98 00,,Actief,Klant,,Friesland,Europe,"Bouw, milieu en architect",
902548,9201 CH,SNEEK,Netherlands,,+31518-431 145,,Actief,Klant,,Groningen,Europe,"Bouw, milieu en architect",
200248,8407 EM,HEERENVEEN,Netherlands,,+31514 52 13 46,+31 58 233 99 70,Referentie,Klant,,Utrecht,Europe,Handel en Transport,
204773,9061 AK,LEEUWARDEN,Netherlands,NL004203185B01,0513-480228,030-2380030,Actief,Klant,,Friesland,Europe,Industrie en Productie,
901779,9044 MN,BITGUM,Netherlands,,+31 58-253 15 45,,Actief,Klant,,Friesland,Europe,Non-Profit,
204586,9202 PD,DRACHTEN,Netherlands,,+3158 212 2122,+31 58 280 02 88,Referentie,Klant,,Friesland,Europe,Musea,
11608,8581 KD,GRONINGEN,Netherlands,,+31 513653501,+31 50 571 79 20,Referentie,Klant,335160565,Friesland,Europe,Zakelijke dienstverlening,
126180,8801 JW,DRACHTEN,Netherlands,,0512-542 111,(0513) 64 80 50,Referentie,Klant,,Groningen,Europe,Handel en Transport,
901542,9206 BD,MARUM,Netherlands,,+31 519296555,0515-415 080,Actief,Klant,,Friesland,Europe,Industrie en Productie,
12150,1822 BK,GIEKERK,Netherlands,,,+31 518 43 10 19,Actief,Klant,,Friesland,Europe,Industrie en Productie,
11721,8938 AT,STIENS,Netherlands,,0513-684 008,0515 42 99 90,Actief,Klant,,Friesland,Europe,Handel en Transport,
902342,8911 AX,EMMELOORD,Netherlands,,0512-514 040,(038) 337 20 69,Referentie,Klant,,Friesland,Europe,Industrie en Productie,
901687,9202 PD,LEEUWARDEN,Netherlands,NL809211014B04,+31512-351 114,+31 594 64 33 85,Referentie,Klant,,Friesland,Europe,Handel en Transport,
