house_number,city,postcode,country,country,country,unknown,telephone_nr,unknown,unknown,unknown,unknown,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,unknown,date,date,date,date
,RIDDERKERK,5004  BH,NL,NEDERLAND,NL - NEDERLAND,,624668611,Financiele instellingen,750 - Bedrijven: Klein <100,CUS,Klant,Stichting,9723BK,AMSTERDAM,2.0,5830AC,HEERENVEEN,NLD,070  4271500,,m,8411.0,,,"Groothandel in suiker, chocolade en suikerwerk",,,3.0,1-8-2008,19-4-2013,,1-1-2007
4,EDE GLD,CJ-43,NL,NEDERLAND,NL - NEDERLAND,,024-356 89 11,Zorg: Ziekenhuizen,750 - Bedrijven: Klein <100,OVE,Klant,Besloten Vennootschap met gewone structuur,6573DX,UTRECHT,3.0,4824AM,,NLD,0598 452112,,m,8412.0,82999.0,,Vervaardiging van gereedschap,,,5.0,16-1-2014,,,30-6-2010
75,AMERSFOORT,1081 HV,NL,NEDERLAND,NL - NEDERLAND,,+31 345 474211,,,CUS,Klant,Besloten Vennootschap met gewone structuur,1315HR,ZAANDAM,1.0,2952AD,ROTTERDAM,NLD,,,m,6201.0,,,Overige specialistische zakelijke dienstverlening,,,1.0,14-2-2017,14-5-1997,1-1-2010,0-0-1964
6,UTRECHT,2841 ML,NL,NEDERLAND,NL - NEDERLAND,,020 59 89 89 9,Overheid: ZBO's,750 - Bedrijven: Klein <100,CUS,Klant,Stichting,1083HJ,ALMERE,173.0,3007AE,LEEK,NLD,,,,,,,"Groothandel in computers, randapparatuur en software",,,2.0,10-4-2014,21-10-1999,,1-1-2014
24,HOUTEN,2500 EB,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,750 - Bedrijven: Klein <100,,Klant,Maatschap,3584CS,AMSTERDAM,10.0,5140AR,,NLD,,,,,,,Praktijken van medisch specialisten en medische dagbehandelcentra (geen tandheelkunde of psychiatrie),,,1.0,29-1-2002,17-10-2005,1-1-2016,1-1-2000
1,TORINO,3430 BA,NL,ZWEDEN,NL - NEDERLAND,,015 27 84184,NIET MEER GEBRUIKEN,,CUS,Klant,Stichting,,WEERT,,9636DB,UTRECHT,NLD,0341 259911,,,4120.0,5121.0,,,,,12.0,4-3-2010,,14-2-2006,2-1-2012
7,ZIERIKZEE,3990 DB,NL,NEDERLAND,NL - NEDERLAND,NL822678640B01,06-17459046,,530 - Overheid: Gemeentes < 100000,CUS,Klant,Besloten Vennootschap met gewone structuur,8441BH,EINDHOVEN,80.0,1070AM,'S-GRAVENHAGE,NLD,,,m,86101.0,,,Groothandel in verlichtingsartikelen,"Winkels in kranten, tijdschriften en kantoorbehoeften",,1.0,15-12-2016,15-12-2000,,21-10-2015
,GULPEN,3062 ME,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Overige,,CUS,Klant,Publiekrechtelijke rechtspersoon,6006ZL,AMSTERDAM,25.0,3812SX,UTRECHT,NLD,,,f,43999.0,,,Universitair hoger onderwijs,,,,23-1-2008,,,22-12-1908
21 i-k,BRUGGE,5221 ED,NL,NEDERLAND,NL - NEDERLAND,PL7321969116,078-6514949,Onderwijs: WO,880 - NIET MEER GEBRUIKEN,OVE,,Publiekrechtelijke rechtspersoon,,EINDHOVEN,10.0,6500HC,UTRECHT,NLD,,0800 8051,m,,,,Algemeen overheidsbestuur,,,7.0,17-11-2003,,,7-5-1985
1,WINSCHOTEN,2521 BE,NL,NEDERLAND,NL - NEDERLAND,809533212B01,035 7724660,,665 - Zorg: 1e lijns,CUP,Klant,Stichting,7514AD,ROTTERDAM,50.0,2501EH,UTRECHT,NLD,070  3387538,,m,46692.0,,,Algemeen overheidsbestuur,,,5.0,9-10-2015,11-10-2010,,24-3-2006
2,VEGHEL,,NL,NEDERLAND,NL - NEDERLAND,,31612895958,Overheid: Overige,750 - Bedrijven: Klein <100,CUS,,Stichting,3035KC,KATWIJK,100.0,6040AK,DELFT,,077  4722107,,,5814.0,,,Organisatie-adviesbureaus,Financiële holdings,,4.0,12-10-2015,22-6-1983,,2-3-1937
6,VLISSINGEN,1171 VG,NL,NEDERLAND,NL - NEDERLAND,,070-3129200,Overheid: Gemeentes < 100000,540 - Overheid: ZBO's,CUS,Klant,Stichting,7416SE,GELEEN,1.0,2500EA,WAGENINGEN,NLD,,,m,2511.0,,,"Ontwikkelen, produceren en uitgeven van software",Winkels gespecialiseerd in overige artikelen n.e.g.,,1.0,1-1-2003,17-3-2016,6-9-2012,1-4-2009
159-B,HOUTEN,2711 ER,NL,NEDERLAND,NL - NEDERLAND,,,Bedrijven: Klein <100,700 - Financiele instellingen,CUS,Overige,Besloten Vennootschap met gewone structuur,,BEVERWIJK,3.0,5300CA,ALMERE,,,,m,74103.0,,93211.0,Inzameling van onschadelijk afval,,,1.0,29-1-2010,,,
9,POELDIJK,2952 CB,NL,NEDERLAND,NL - NEDERLAND,,010-2436060,NIET MEER GEBRUIKEN,600 - Onderwijs: WO,CUS,Klant,Publiekrechtelijke rechtspersoon,4941DX,CULEMBORG,20.0,9670AC,ROTTERDAM,NLD,,06 22456574,m,78202.0,,,Overige belangenbehartiging n.e.g.,,,1.0,15-5-2017,,21-6-1972,
9,ROTTERDAM,1081 HV,NL,NEDERLAND,NL - NEDERLAND,,+31 20 6214104,,730 - Bedrijven: Groot > 250,CUS,Dealer,Besloten Vennootschap met gewone structuur,9672AE,CULEMBORG,17.0,,GULPEN,NLD,,,,88999.0,,,Ingenieurs en overig technisch ontwerp en advies,,,7.0,5-1-2016,10-4-2006,,3-12-2007
,DORDRECHT,2284 DP,NL,NEDERLAND,NL - NEDERLAND,,071-4065350,Bedrijven: Overige,750 - Bedrijven: Klein <100,ARB,,Besloten Vennootschap met gewone structuur,6511TB,,,1217JE,WINSCHOTEN,NLD,010  4145088,,,8411.0,78202.0,4321.0,Overige recreatie n.e.g.(geen jachthavens),,,1.0,14-9-2012,19-3-2014,,17-2-2004
16,AMSTERDAM,54497,NL,NEDERLAND,NL - NEDERLAND,,213-559-7613,Overheid: Gemeentes < 100000,790 - Overige,CUS,,Publiekrechtelijke rechtspersoon,2288EG,HOUTEN,10.0,1031HP,HAREN GN,NLD,030  2547900,,,70221.0,,7220.0,Algemeen overheidsbestuur,,,3.0,18-1-2011,,,
,CULEMBORG,5270 GA,NL,NEDERLAND,NL - NEDERLAND,,,Partners / dealers,740 - Bedrijven: Middel >100 < 250,CUS,,,4207HG,RIJSWIJK,10.0,1018LL,'S-GRAVENHAGE,NLD,,,,46421.0,,,Algemene burgerlijke en utiliteitsbouw,,Groothandel in overige consumentenartikelen (non-food) n.e.g.,8.0,16-6-2011,,30-3-2001,1-1-1972
4,DELFT,6199 AE,NL,NEDERLAND,NL - NEDERLAND,56606102724,071-5188800,Overheid: Gemeentes > 100000,590 - Overheid: Overige,CUS,Klant,Besloten Vennootschap met gewone structuur,3971KD,,8.0,4303AP,AMERSFOORT,NLD,010  8938101,,m,9411.0,6201.0,,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,4.0,13-6-2007,,,1-8-1975
