unknown,unknown,unknown,postcode,city,country,province,country,telephone_nr,telephone_nr,unknown,unknown,sbi_description,date,unknown
1606080884,Zakenrelatie,Actief,1098 JK,Utrecht,Europe,Limburg,Netherlands,0186-691580,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,DM cd bestanden
K37244,Zakenrelatie,Actief,1013 NJ,Breda,Europe,Friesland,Netherlands,043-3260180,0541-358269,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",24-02-2012,internet
1606080163,Zakenrelatie,Actief,1462 HM,Arnhem,Europe,Gelderland,Netherlands,0111-483176,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",04-01-2011,DM cd bestanden
2010010830573,Zakenrelatie,Actief,1031 HV,AMSTERDAM,Europe,Noord-Brabant,Netherlands,010-4961900,0184-662483,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",07-12-2011,DM cd bestanden
2010010832251,Zakenrelatie,Actief,7255 XT,Gorinchem,Europe,Noord-Holland,Netherlands,013-5056060,010-4144545,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",28-06-2010,internet
K38091,Zakenrelatie,Actief,1055 HX,Maastricht,Europe,Noord-Holland,Netherlands,020-7706039,036-5232405,Architecten Ext. BNA,Onbekend,,23-04-2009,Koude acquisitie
1080403900,Zakenrelatie,Actief,5431 DV,Maasland,Europe,Zuid-Holland,Netherlands,0495-632501,020-6246469,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-05-2015,DM cd bestanden
1606080161,Zakenrelatie,Actief,6411 KW,Assen,Europe,Zuid-Holland,Netherlands,0416-280246,010-4864962,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",11-06-2015,DM cd bestanden
1606080232,Zakenrelatie,Actief,6921 WZ,Almkerk,Europe,Limburg,Netherlands,0561-613215,0346-555648,Architecten Ext. BNA,Onbekend,"742011 Architecten-, ingenieurs- en overige ontwerp",14-07-2011,internet
1606080551,Suspect,Actief,5081 CP,Santpoort-Zuid,Europe,Zuid-Holland,Netherlands,015-2619784,,Architecten Ext. BNA,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",12-08-2013,DM cd bestanden
