unknown,telephone_nr,house_number,postcode,city,telephone_nr,house_number,postcode,city,legal_type,postcode,city,house_number,postcode,city,country,telephone_nr,telephone_nr,gender,sbi_code,sbi_code,sbi_code,sbi_description,sbi_description,sbi_description,date,date,date,date
K25000,0525 - 659 888 Danielle vd Bos (13:00),1.0,3401 BK,Maarssen,,18.0,1500 ED,Best,Besloten Vennootschap met gewone structuur,7722RR,AMSTERDAM,22.0,2800AB,SOMEREN,NLD,0184 674444,,m,7112.0,,,Algemene burgerlijke en utiliteitsbouw,Loodgieters- en fitterswerk; installatie van sanitair,,3-7-2008,5-8-2005,,26-5-1986
K60981,,2.0,4800 RH,Venlo,0512-583629,800.0,6077 NN,Vught,Besloten Vennootschap met gewone structuur,5248JT,UTRECHT,2.0,5410AA,CULEMBORG,,0413 246601,,m,6201.0,,,Algemeen overheidsbestuur,,,21-3-2012,5-10-1992,,
D-00158,,2.0,8080 AC,Wenum Wiesel,,10000.0,2700 AB,Best,Publiekrechtelijke rechtspersoon,3134ZB,ROSMALEN,1.0,4000AB,AMSTERDAM,NLD,020  6966885,0900 6039222,m,4120.0,6420.0,,Ondersteuning en begeleiding van gehandicapten,,,18-4-2013,10-9-1997,,10-8-1977
1001675,045 - 567 67 67 (vr tot half 12),20175.0,6100 AL,Schiphol-Rijk,,4.0,4130 EE,Elburg,Besloten Vennootschap met gewone structuur,9351VR,BRUNSSUM,7.0,3980CA,OOTMARSUM,NLD,0488 489201,,,4120.0,78202.0,,Ingenieurs en overig technisch ontwerp en advies,,Uitzendbureaus,6-1-2010,,,1-7-2008
K59822,0575-565592,536.0,2800 AE,Helmond,,130.0,5240 AK,Doetinchem,Publiekrechtelijke rechtspersoon,7631AB,DONGEN,17.0,3295ZH,HELMOND,NLD,078  6306300,,,4312.0,,,Algemene burgerlijke en utiliteitsbouw,Loodgieters- en fitterswerk; installatie van sanitair,,24-5-2010,8-6-2001,,12-7-1990
K60636,050-5925680,1.0,4824 AH,Dorst,onbekend,4933.0,5902 RD,Hoogeloon,Besloten Vennootschap met gewone structuur,3356LJ,NIJMEGEN,1.0,3439ML,WINTERSWIJK,NLD,,,,70102.0,,,Ingenieurs en overig technisch ontwerp en advies,,,5-11-2007,3-5-1934,21-12-1972,4-1-1994
1000891,077-3895102,84.0,1191 BD,Zaltbommel,,147.0,1500 AC,Beek en Donk,Besloten Vennootschap met gewone structuur,4131NJ,ZWOLLE,2.0,7460AG,ALMERE,NLD,0346 581070,,m,43222.0,,,Ingenieurs en overig technisch ontwerp en advies,Elektrotechnische bouwinstallatie,,7-7-2008,31-5-1991,,30-5-2008
K60940,0345 - 579211,11.0,5240 AA,Gouda,,96.0,6710 BG,Uitgeest,Besloten Vennootschap met gewone structuur,3981LB,UDEN,68.0,1970CA,HOORN,NLD,0347 354559,,,7112.0,4120.0,,Gieten van lichte metalen,,,18-1-2010,29-6-2001,,1-1-1986
K59741,,3.0,8013 PZ,Rosmalen,,1.0,1704 RD,Rotterdam,Besloten Vennootschap met gewone structuur,5047TM,GROESBEEK,1.0,7483PA,GROOT-AMMERS,NLD,0478 531153,,,7112.0,,,Algemene metaalbewerking,,,16-6-2010,16-8-1979,,31-12-2012
K60374,050-3185333,13.0,3990 DA,Oldenzaal,,273.0,2130 AK,Eindhoven,Besloten Vennootschap met gewone structuur,5504DR,VIANEN,18.0,3400AE,'S-HEERENBERG,NLD,020  5971156,,,5811.0,46739.0,,Wegenbouw,,,29-8-2014,12-8-2016,,25-5-1963
D-00003,026 - 3114329,273.0,4700 BL,Uden,,42.0,2170 AD,Geldrop,Besloten Vennootschap met gewone structuur,5711EK,MIERLO,8.0,8200AB,BUREN GLD,NLD,076  5734300,,,8412.0,,46739.0,Ingenieurs en overig technisch ontwerp en advies,,,15-9-2016,1-7-1974,24-11-1998,8-6-2001
D-00145,0344 - 620280,17.0,2700 AB,'s-Gravenhage,,2505.0,2801 SC,Maarssen,Besloten Vennootschap met gewone structuur,2984AM,AMSTERDAM,2.0,2509LP,NUTH,NLD,0548 539630,,m,7112.0,43991.0,4291.0,Grondverzet,,,12-10-2004,11-7-2013,,1-10-1965
K58026,0525-659888,122.0,3528 AB,IJmuiden,,60.0,2800 AE,Woerden,Besloten Vennootschap met gewone structuur,8013PZ,ALMERE,306.0,3439MR,VALKENSWAARD,NLD,088  9233344,,m,4221.0,43221.0,,Algemeen overheidsbestuur,Algemene burgerlijke en utiliteitsbouw,Groothandel in bouwmaterialen algemeen assortiment,8-1-2016,9-9-1964,,17-1-1966
1001658,,5000.0,3481 MH,Groningen,,2.0,7320 AD,Groningen,Besloten Vennootschap met gewone structuur,4041CL,HEERHUGOWAARD,100.0,4200AE,LEIDSCHENDAM,NLD,033  4671511,,m,4222.0,,6203.0,"Openbaar bestuur op het gebied van gezondheidszorg, onderwijs, cultuur en welzijn (geen sociale verzekeringen)",,,17-6-2015,18-3-1976,,22-8-1988
1002357,077 - 387 24 24,599.0,2800 AV,Stein Lb,,72.0,5711 DD,Valkenburg Lb,Publiekrechtelijke rechtspersoon,1315HR,TERSCHUUR,65.0,8000AP,BEST,NLD,024  3225522,,m,2896.0,78202.0,,Installatie van verwarmings- en luchtbehandelingsapparatuur,,,4-6-2012,20-12-1963,,31-12-1985
K60822,020 3050940,56.0,3447 GG,Bunnik,,462.0,5171 PN,Zwijndrecht,Publiekrechtelijke rechtspersoon,1566PB,HOUTEN,2.0,3300AE,UTRECHT,NLD,088  5751790,,,2829.0,,,Elektrotechnische bouwinstallatie,Slopen van bouwwerken,,26-9-2011,12-10-2011,,22-4-2003
K60921,073-6484111 Marcel Hamers,164.0,4817 BL,'s-Gravenhage,,6.0,3750 CG,Bunnik,Besloten Vennootschap met gewone structuur,2132LS,GROOT-AMMERS,48.0,5427ZG,LEEUWARDEN,NLD,0180 641998,,,4212.0,2651.0,,"Ontwikkelen, produceren en uitgeven van software",,,7-3-2013,28-10-2013,,31-5-1983
K60744,0492 - 74 75 80,20701.0,7130 AD,Maarssen,,174.0,1005 HD,Roosendaal,Besloten Vennootschap met gewone structuur,2841MJ,DEVENTER,18.0,9285ZV,GIESSENBURG,NLD,0546 644411,,,2651.0,78202.0,4120.0,Ingenieurs en overig technisch ontwerp en advies,Detailhandel via overige distributievormen,,4-8-2010,,28-5-2003,13-3-1899
K60083,0345 - 68 44 75,18.0,3381 LB,Maastricht,,216.0,5340 BA,Rosmalen,Besloten Vennootschap met gewone structuur,5652AM,CAPELLE AAN DEN IJSSEL,15.0,1822JC,OLDENZAAL,NLD,073  5436600,,,43222.0,4321.0,,"Vervaardiging van overige artikelen van hout en van artikelen van kurk, riet en vlechtwerk (geen meubels)",Wegenbouw,,22-2-2013,10-2-1994,,26-5-1986
1002641,,287.0,8861 NW,Elst Gld,0113 502982,357.0,3300 AE,Zwolle,Besloten Vennootschap met gewone structuur,9251LV,LELYSTAD,389.0,7120AB,NIEUWEGEIN,NLD,0570 503250,,,33121.0,,,Wegenbouw,Algemene burgerlijke en utiliteitsbouw,,,17-12-1992,24-5-1995,6-5-2014
K59897,030 2860000,1.0,7420 AA,Papendrecht,,260.0,2509 JE,Helmond,Besloten Vennootschap met gewone structuur,3764AB,VIANEN UT,12.0,3846CG,ZWIJNDRECHT,NLD,0592 314401,,,4321.0,71111.0,,"Opslag in distributiecentra en overige opslag (niet in tanks, koelhuizen e.d.)",,,24-11-2009,18-12-1964,,1-2-1988
K60011,0167 577 277,462.0,3009 AN,Rotterdam,,50.0,5750 AA,Smilde,Besloten Vennootschap met gewone structuur,6641TL,EINDHOVEN,10.0,5902RD,HENDRIK-IDO-AMBACHT,NLD,043  3511530,,,8411.0,,,Ingenieurs en overig technisch ontwerp en advies,"Vervaardiging van tandwielen, lagers en overige drijfwerkelementen",,1-2-2010,,,15-12-2009
K60628,038 - 4560456,4.0,5248 JT,Vianen Ut,,305.0,3980 CE,IJsselstein Ut,Besloten Vennootschap met gewone structuur,7602EM,BUITENPOST,61.0,3600BA,PAPENDRECHT,NLD,0111 452000,,m,70221.0,,7490.0,Wegenbouw,Uitleenbureaus,,10-11-2015,24-9-1951,,1968
D-00036,0344-578578,1080.0,1090 GN,Maarssen,,4092.0,5080 AA,Helmond,Publiekrechtelijke rechtspersoon,3401BK,HARDERWIJK,210.0,3009AT,VENRAY,NLD,0511 462782,,,4321.0,78202.0,,Loodgieters- en fitterswerk; installatie van sanitair,,,14-11-2006,24-3-2005,,1-7-2003
K10053,043-8882010,1025.0,3600 BA,Emmeloord,,1768.0,2800 AV,Utrecht,Besloten Vennootschap met gewone structuur,4206CG,BUNNIK,24.0,4130EE,EPE,NLD,0162 489911,,m,7112.0,6420.0,78202.0,Algemene burgerlijke en utiliteitsbouw,Algemene burgerlijke en utiliteitsbouw,,22-10-2008,21-4-1993,,1-1-2011
1000025,010 - 2383777,29.0,1500 ED,Sittard,,600.0,5657 EB,Hellevoetsluis,Besloten Vennootschap met gewone structuur,6814DV,EMMELOORD,45.0,3453JN,GRONINGEN,NLD,0314 662445,,,42111.0,78202.0,,Vervaardiging van optische instrumenten en apparatuur,,"Groothandel in was-, poets- en reinigingsmiddelen",18-8-2010,16-8-1937,,1-7-2008
1002572,0183-645060,216.0,7800 RA,Buren Gld,,854.0,3980 CB,Apeldoorn,Besloten Vennootschap met gewone structuur,5803AM,ROTTERDAM,19.0,7301BK,IJMUIDEN,NLD,088  3344000,,,4222.0,,,Ingenieurs en overig technisch ontwerp en advies,,Vervaardiging van machines en apparaten voor industriële koeltechniek en klimaatregeling,30-3-2010,26-3-1968,24-7-1987,1-9-1974
K60806,036 5399911,32.0,5550 AD,Someren,,156.0,3381 LB,Terborg,Besloten Vennootschap met gewone structuur,4854MG,ASSEN,99.0,3006AB,LELYSTAD,NLD,0544 390500,,,7112.0,,,Algemene burgerlijke en utiliteitsbouw,,,13-1-2009,31-3-1983,,29-12-1991
K33400,031 - 181465100,356.0,9701 BG,Lelystad,,623.0,2260 AB,Zwolle,Besloten Vennootschap met gewone structuur,2629JA,GOOR,4.0,9704AA,HOUTEN,NLD,0251 493921,,,7112.0,78202.0,,Financiële holdings,Reparatie van elektronische en optische apparatuur,,17-5-2005,,,27-1-1975
1002387,0578 - 679 111,4234.0,1303 AE,Utrecht,,37.0,8080 AA,Zaandam,Besloten Vennootschap met gewone structuur,3981LB,LEEUWARDEN,6.0,3500GK,HEINENOORD,NLD,088  8230100,,m,45112.0,,,Elektrotechnische bouwinstallatie,,,16-7-2014,28-12-2004,,19-2-2004
K59928,,450.0,5384 ZG,Valkenswaard,050 3117581,84.0,3980 CC,Amsterdam,Besloten Vennootschap met gewone structuur,9077SB,ZOETERMEER,10.0,5600CE,ZIERIKZEE,NLD,055  5383700,,,4120.0,4312.0,,Installatie van verwarmings- en luchtbehandelingsapparatuur,,,11-5-2011,19-8-1977,,12-2-1947
