unknown,unknown,unknown,postcode,city,province,country,telephone_nr,telephone_nr,unknown,sbi_description,sbi_description,date,unknown
2010010832328,Zakenrelatie,Actief,1441 CA,Leiden,Zuid-Holland,Netherlands,020-6836622,020-4221855,Architecten Ext. BNA,,,15-01-2016,internet
1606081751,Zakenrelatie,Actief,2636 KA,Twello,Noord-Brabant,Netherlands,0570-605285,,Architecten Ext. BNA,,,23-01-2012,internet
1606082306,Prospect,Actief,2613 MB,Groningen,Noord-Holland,Netherlands,,030-2201954,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,14-12-2009,baan
2010010814002,Prospect,Actief,7442 CH,Rijssen,Zuid-Holland,Netherlands,0314-335639,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,25-01-2016,internet
2010010828294,Suspect,Actief,4901 HC,Waddinxveen,Limburg,Netherlands,076-5411176,070-3561347,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,23-08-2011,internet
2010010829735,Zakenrelatie,Actief,9302 EL,Meppel,Noord-Holland,Netherlands,06-23565135,0513-645466,Architecten Ext. BNA,,,22-12-2009,internet
2010010830759,Zakenrelatie,Actief,1019 BL,Eindhoven,Zuid-Holland,Netherlands,06-43132532,,Architecten Ext. BNA,,,12-07-2012,internet
2010010832825,Suspect,Actief,3029 BH,Rotterdam,Zuid-Holland,Netherlands,024-3284284,,Architecten Ext. BNA,,,03-10-2011,Beurs
2010010830358,Suspect,Actief,6814 CD,Den Haag,Zuid-Holland,Netherlands,06-15064299,,Architecten Ext. BNA,,,04-06-2012,internet
2010010832653,Zakenrelatie,Actief,2585 AS,Utrecht,Noord-Holland,Netherlands,0318-556241,010-2438202,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,24-01-2012,Koude acquisitie
1606080742,Zakenrelatie,Actief,2106CK,Rotterdam,Noord-Holland,Netherlands,030-2545881,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,19-12-2007,internet
1606080920,Zakenrelatie,Actief,2587 BR,Rotterdam,,Netherlands,06-81467370,078-6833805,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,12-11-2013,DM cd bestanden
2010010802613,Zakenrelatie,Actief,1017 BX,Groningen,Utrecht,Netherlands,010-4110688,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,22-03-2011,DM cd bestanden
2010010830804,Suspect,Actief,2565 RB,UTRECHT,Friesland,Netherlands,0412-641484,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-07-2010,internet
1606081236,Zakenrelatie,Actief,4251 LL,Amsterdam,Zuid-Holland,Netherlands,010-4772860,,Architecten Ext. BNA,,,19-12-2012,DM cd bestanden
2010010831048,Zakenrelatie,Actief,9615 AS,Amsterdam,Zuid-Holland,Netherlands,020-7719403,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,26-11-2012,internet
2010010801160,Zakenrelatie,Passief,2716 NL,AMSTERDAM,Utrecht,Netherlands,06-48386316,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-07-2010,DM cd bestanden
1606081073,Zakenrelatie,Actief,3812 SV,Rijswijk,Noord-Holland,Netherlands,0165-536352,0485-311448,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,14-02-2009,DM cd bestanden
K39305,Zakenrelatie,Actief,B-1390,Apeldoorn,Zuid-Holland,Netherlands,055-5213455,020-461 0322,Architecten Ext. BNA,,,28-12-2009,DM cd bestanden
2010010827445,Zakenrelatie,Actief,1961 EA,Weert,Noord-Holland,Netherlands,0341-352300,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,22-02-2010,baan
2010010828322,Zakenrelatie,Actief,4611 NJ,Amsterdam,Utrecht,Netherlands,013-7113066,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-07-2010,internet
200907014227,Suspect,Actief,2408 AX,Hengelo,Noord-Brabant,Netherlands,0342-413742,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,22-11-2012,DM cd bestanden
2010010831449,Zakenrelatie,Actief,3958 JC,VOLKEL,Utrecht,Netherlands,015-2144513,,Architecten Ext. BNA,,,28-12-2015,internet
2010010830776,Zakenrelatie,Actief,3743 DE,Nijkerk,Zuid-Holland,Netherlands,06-14358809,0522 241 355,Architecten Ext. BNA,,,15-01-2013,internet
K38129,Suspect,Actief,9301 ZE,Sleeuwijk,Limburg,Netherlands,015-2152969,020-5702041,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,30-04-2014,internet
K37654,Zakenrelatie,Actief,6654 BA,Amsterdam,Vlaams Brabant,Netherlands,071-3612681,015-2628415,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-12-2015,internet
1606081209,Zakenrelatie,Actief,2713 RA,ARNHEM,Noord-Brabant,Netherlands,06-10157541,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,20-02-2008,internet
2010010823201,Zakenrelatie,Actief,9671 AP,Eibergen,Noord-Holland,Netherlands,0032-34802171,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,23-01-2012,DM cd bestanden
K38130,Zakenrelatie,Actief,1217 RX,Sneek,Gelderland,Netherlands,06-40078065,,Architecten Ext. BNA,,,07-04-2011,internet
200907014272,Suspect,Actief,1098 EW,Amsterdam,Zuid-Holland,Netherlands,203459850,0592-231488,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,15-01-2016,DM cd bestanden
1606081291,Zakenrelatie,Actief,3941 KA,AMSTERDAM,Noord-Holland,Netherlands,0315-323070,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,internet
2010010829030,Zakenrelatie,Actief,1075 BV,Maastricht,Noord-Brabant,Netherlands,06-10948013,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,16-03-2012,DM cd bestanden
2010010832193,Zakenrelatie,Actief,5614 GM,Heemskerk,Noord-Holland,Netherlands,020-8456190,072-5039803,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,20-04-2010,internet
2010010828009,Zakenrelatie,Actief,1078 MK,Rotterdam,Nordrhein-Westfalen,Netherlands,038-3867377,010-7503415,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,29-03-2016,internet
1606080422,Zakenrelatie,Passief,5212,Elsloo,,Netherlands,020-6683268,,Architecten Ext. BNA,,Fotografie en ontwikkelen van foto's en films,28-12-2015,internet
1606081434,Suspect,Actief,1620 ED,Amsterdam,Gelderland,Netherlands,070-3507307,046-4580484,Architecten Ext. BNA,"Architecten, ingenieurs en technisch ontwerp en advies,keuring en cont",Fotografie en ontwikkelen van foto's en films,18-11-2011,internet
2010010832654,Zakenrelatie,Actief,5492 AH,Raamsdonksveer,Limburg,Netherlands,072-3031200,,Architecten Ext. BNA,,,09-02-2010,Beurs
1606082302,Zakenrelatie,Actief,3011 VA,Liempde,Overijssel,Netherlands,040-2818622,,Architecten Ext. BNA,,,11-06-2010,DM cd bestanden
2010010829682,Suspect,Actief,3573 XJ,Nootdorp,Groningen,Netherlands,06-41640300,,Architecten Ext. BNA,,,28-06-2011,Beurs
