unknown,unknown,unknown,postcode,city,country,province,country,telephone_nr,telephone_nr,unknown,sbi_description,sbi_description,date,unknown
K39249,Prospect,Actief,2031 BA,Amsterdam,Europe,Zuid-Holland,Netherlands,0577-750813,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,"742011 Architecten-, ingenieurs- en overige ontwerp",13-04-2010,baan
K38864,Suspect,Actief,8024 AE,Wageningen,Europe,Gelderland,Netherlands,06-24695051,058-2167436,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,36121 Interieurbouw,29-07-2010,internet
2010010829258,Zakenrelatie,Actief,3014 PM,EINDHOVEN,Europe,Utrecht,Netherlands,033-4450111,0294-262201,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,01-10-2008,DM cd bestanden
K24588,Zakenrelatie,Actief,7556 RB,Gouda,Europe,Noord-Brabant,Netherlands,072-2010234,033-2772153,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,29-07-2010,Internet
200907014133,Prospect,Actief,2371 TX,Breda,Europe,Utrecht,Netherlands,0529-455610,010-4661760,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,12-05-2011,DM cd bestanden
2010010806769,Prospect,Actief,2133 HZ,MAARSBERGEN,Europe,Noord-Brabant,Netherlands,035-6235599,,Architecten Int. BNI,Onbekend,36121 Interieurbouw,04-06-2012,DM cd bestanden
1080402713,Prospect,Actief,1215 BA,Utrecht,Europe,,Netherlands,0541-585756,,Architecten Int. BNI,Onbekend,36121 Interieurbouw,02-03-2010,DM cd bestanden
2010010802254,Zakenrelatie,Actief,5175 BD,Sittard,Europe,Overijssel,Netherlands,0592-407970,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,28-04-2014,internet
2010010829729,Zakenrelatie,Actief,1703 CR,Den Haag,Europe,Zuid-Holland,Netherlands,013-4683638,,Architecten Int. BNI,Onbekend,36121 Interieurbouw,29-07-2010,DM cd bestanden
K24710,Zakenrelatie,Actief,6882 BH,Kolham,Europe,Noord-Holland,Netherlands,050 3124813,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,31-10-2011,internet
K37423,Zakenrelatie,Passief,2106 AG,SITTARD,Europe,Gelderland,Netherlands,024-6450216,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,"742011 Architecten-, ingenieurs- en overige ontwerp",29-04-2014,internet
2010010802779,Suspect,Actief,1411 PK,Amsterdam,Europe,Noord-Brabant,Netherlands,0493-354016,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-09-2012,Beurs
2010010804778,Zakenrelatie,Actief,5321 GC,Tilburg,Europe,Noord-Holland,Netherlands,030-6365455,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,07-06-2012,internet
2010010828550,Klant,Actief,5175 BE,WOERDEN,Europe,Zuid-Holland,Netherlands,043-4512296,020-6720751,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,20-10-2011,baan
2010010806205,Zakenrelatie,Actief,6828 HZ,Nieuwleusen,Europe,Utrecht,Netherlands,010-5115499,020-6178007,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,internet
K39281,Suspect,Actief,3012 BA,Nunspeet,Europe,Overijssel,Netherlands,073-5324774,,Architecten Int. BNI,Interieurbouw,36121 Interieurbouw,18-09-2012,Beurs
200907014075,Klant,Actief,5375 AR,Schoonhoven,Europe,Overijssel,Netherlands,06-45336998,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,14-09-2012,DM cd bestanden
K22769,Suspect,Actief,6003 BE,'s-Hertogenbosch,Europe,Noord-Brabant,Netherlands,06-28991998,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,,01-03-2010,internet
2010010828573,Suspect,Actief,1098 CM,Oudewater,Europe,Noord-Holland,Netherlands,06-53588097,,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,13-08-2008,DM cd bestanden
K39309,Suspect,Actief,4814 RS,De Knipe,Europe,Noord-Holland,Netherlands,053-4282130,0314-341872,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,12-02-2013,internet
2010010807096,Zakenrelatie,Actief,7551 GW,Eindhoven,Europe,Gelderland,Netherlands,0492-450447,,Architecten Int. BNI,Onbekend,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,27-08-2008,internet
200907014944,Suspect,Actief,2595 DA,Heerde,Europe,,Netherlands,0320-212131,,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,17-04-2014,DM cd bestanden
K37322,Prospect,Actief,1096 CJ,HOOFDDORP,Europe,Drenthe,Netherlands,0416-392168,040-2621062,Architecten Int. BNI,K. Financiele instellingen,,21-02-2012,DM cd bestanden
1606082170,Suspect,Actief,1018 TV,Nieuw Milligen,Europe,Noord-Brabant,Netherlands,024-3734433,,Architecten Int. BNI,K. Financiele instellingen,"742011 Architecten-, ingenieurs- en overige ontwerp",29-05-2015,Via relatie
K37272,Zakenrelatie,Actief,6135 LE,Rotterdam,Europe,Gelderland,Netherlands,0172-212221,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,19-12-2007,internet
K38417,Prospect,Actief,2592 XH,Castricum,Europe,Gelderland,Netherlands,06 12 96 93 96,045-5111864,Architecten Int. BNI,K. Financiele instellingen,36121 Interieurbouw,30-04-2014,DM cd bestanden
2010010831513,Suspect,Actief,9084 AE,Sittard,Europe,Noord-Holland,Netherlands,0547-352205,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,14-11-2013,internet
K24664,Klant,Actief,1066 DC,Lelystad,Europe,Noord-Holland,Netherlands,0297-261429,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,16-07-2010,DM cd bestanden
2010010829644,Zakenrelatie,Passief,2041 KG,Leeuwarden,Europe,Noord-Brabant,Netherlands,06-47566046,,Architecten Int. BNI,Onbekend,36121 Interieurbouw,24-07-2013,internet
1606081317,Prospect,Actief,6813 KL,Groenekan,Europe,Gelderland,Netherlands,06-11536292,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,17-09-2012,internet
K23943,Zakenrelatie,Actief,2311 CS,Naarden,Europe,Zuid-Holland,Netherlands,010-4048892,020-3445351,Architecten Int. BNI,K. Financiele instellingen,,29-07-2010,Beurs
2010010829788,Zakenrelatie,Actief,1013 JB,Oldenzaal,Europe,Noord-Brabant,Netherlands,020-6643528,,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,22-01-2013,internet
2010010830472,Klant,Actief,3453 KR,Cuijk,Europe,Noord-Holland,Netherlands,053-4864800,035-6267852,Architecten Int. BNI,K. Financiele instellingen,748751 Binnenhuisarchitecten en interieurontwerpers e.d.,18-09-2012,internet
2010010830819,Suspect,Actief,B-2310,Leidschendam,Europe,Zeeland,Netherlands,0182-386777,,Architecten Int. BNI,K. Financiele instellingen,,19-12-2007,Beurs
2010010830128,Klant,Actief,1087 CD,Houten,Europe,Zuid-Holland,Netherlands,0294-251170,020-6479568,Architecten Int. BNI,D. Productie en distributie van en handel in electriciteit aardgas etc,4542 Timmeren,04-03-2013,Beurs
K23041,Klant,Actief,1185 JA,Maastricht,Europe,Utrecht,Netherlands,06-48953172,013-5449405,Architecten Int. BNI,K. Financiele instellingen,,21-08-2008,baan
2010010802998,Zakenrelatie,Actief,3051 TL,Zwolle,Europe,Noord-Holland,Netherlands,0412-479798,0162-462488,Architecten Int. BNI,K. Financiele instellingen,3614 Vervaardiging van overige meubels,26-02-2013,DM cd bestanden
