is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-29T23:33:10.649993,Person,Classification,2099-12-31T23:59:59-01:00,Amaryllis dianae,1901-01-01T00:0000-01:00,Result Product 82d90a65-bd3a-4026-a06d-4cbd68dee56a,FederatedIdentifier,Result Product Revision Identifier ed9250a5-f628-4bd0-9766-ef3386fcefeb,"This Amaryllis dianae Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ed9250a5-f628-4bd0-9766-ef3386fcefeb,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ed9250a5-f628-4bd0-9766-ef3386fcefeb,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T12:07:01.809778,Person,Classification,2099-12-31T23:59:59-01:00,Alopias Pelagicus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 91b8df4d-b5dd-4f6f-b108-1c9146d5c5d5,FederatedIdentifier,Result Product Identifier 91b8df4d-b5dd-4f6f-b108-1c9146d5c5d5,"This Alopias Pelagicus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,91b8df4d-b5dd-4f6f-b108-1c9146d5c5d5,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/91b8df4d-b5dd-4f6f-b108-1c9146d5c5d5,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T21:08:36.188441,Person,Classification,2099-12-31T23:59:59-01:00,Abactochromis labrosus,1901-01-01T00:0000-01:00,Result Product 414a1df6-4aed-48fd-b56b-c22c889eccbb,FederatedIdentifier,Result Product Name abactochromis-labrosus1,"This Abactochromis labrosus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,abactochromis-labrosus1,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/abactochromis-labrosus1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T11:24:59.714625,Person,Classification,2099-12-31T23:59:59-01:00,Acanthistius serratus,1901-01-01T00:0000-01:00,Result Product c7fd6374-0fe5-4bc8-99c7-9df91cf48603,string,Result Product Name acanthistius-serratus2,"This Acanthistius serratus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,acanthistius-serratus2,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthistius-serratus2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T20:33:13.486877,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Abudefduf saxatilis,1901-01-01T00:0000-01:00,Result Product 08d73f40-8010-471b-8182-347cb421ad7f,FederatedIdentifier,Result Product Revision Identifier 19f81f41-e206-4c7b-b766-b4fe93a96edd,"This Abudefduf saxatilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,19f81f41-e206-4c7b-b766-b4fe93a96edd,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/19f81f41-e206-4c7b-b766-b4fe93a96edd,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-22T19:25:13.074296,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anacanthobatis marmoratus,1901-01-01T00:0000-01:00,Result Product 84a245f2-4c30-41da-90e1-a7f5af4d9ecf,string,Result Product Identifier 84a245f2-4c30-41da-90e1-a7f5af4d9ecf,"This Anacanthobatis marmoratus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,84a245f2-4c30-41da-90e1-a7f5af4d9ecf,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/84a245f2-4c30-41da-90e1-a7f5af4d9ecf,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-11-24T21:08:35.610200,2017-12-23T01:01:02.344415,Person,Classification,2099-12-31T23:59:59-01:00,Acanthostracion quadricornis,1901-01-01T00:0000-01:00,Result Product 477c5083-a1df-4b19-af77-642015f9615d,FederatedIdentifier,Result Product Revision Identifier 9a9d9896-e28c-440f-8ac1-4ce93736912f,"This Acanthostracion quadricornis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,9a9d9896-e28c-440f-8ac1-4ce93736912f,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/9a9d9896-e28c-440f-8ac1-4ce93736912f,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:23:30.309160,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthurus tristis,1901-01-01T00:0000-01:00,Result Product d5aa5a83-a11d-4566-a676-ce0b0d458e9a,string,Result Product Identifier d5aa5a83-a11d-4566-a676-ce0b0d458e9a,"This Acanthurus tristis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Product,Classification,Classification,2099-12-31T23:59:59-01:00,d5aa5a83-a11d-4566-a676-ce0b0d458e9a,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d5aa5a83-a11d-4566-a676-ce0b0d458e9a,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T05:58:17.355857,Person,Classification,2099-12-31T23:59:59-01:00,Acropora anthocercis,1901-01-01T00:0000-01:00,Result Product 1e66f5c5-5dc4-4190-8b79-af259db346e2,string,Result Product Identifier 1e66f5c5-5dc4-4190-8b79-af259db346e2,"This Acropora anthocercis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,1e66f5c5-5dc4-4190-8b79-af259db346e2,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/1e66f5c5-5dc4-4190-8b79-af259db346e2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-28T16:07:05.436839,Person,Classification,2099-12-31T23:59:59-01:00,Ambassis nalua,1901-01-01T00:0000-01:00,Result Product 6e3597c1-9770-4ab6-a847-a8c2a37537b0,string,Result Product Name ambassis-nalua3,"This Ambassis nalua Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ambassis-nalua3,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/ambassis-nalua3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
