is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anampses melanurus,1901-01-01T00:0000-01:00,Result Product 01e02adf-fc24-4e26-993c-15273dde0f99,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anampses melanurus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine.In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name anampses-melanurus1,2017-12-24T22:31:45.911385,Classification,FullLinkEntity,Measurement,Classification,Classification,string,anampses-melanurus1,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anampses-melanurus1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anodontia vesicula,1901-01-01T00:0000-01:00,Result Product 814e668d-0dc6-422e-90ae-d9726da93650,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anodontia vesicula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name anodontia-vesicula1,2017-11-24T11:04:31.063196,Classification,FullLinkEntity,Medium,Classification,Classification,FederatedIdentifier,anodontia-vesicula1,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anodontia-vesicula1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,acropora anthocercis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product c1a1cd64-7e61-43d4-bd47-c177e4dbb1d6,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This acropora anthocercis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier c1a1cd64-7e61-43d4-bd47-c177e4dbb1d6,2017-11-25T05:39:43.860947,Classification,FullLinkEntity,Measurement,Classification,Classification,string,c1a1cd64-7e61-43d4-bd47-c177e4dbb1d6,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/c1a1cd64-7e61-43d4-bd47-c177e4dbb1d6,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anisotremus dovii,1901-01-01T00:0000-01:00,Result Product e7b49fb0-9be0-4640-ae1d-542812a7ed1e,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anisotremus dovii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier e7b49fb0-9be0-4640-ae1d-542812a7ed1e,2017-12-17T01:46:12.594048,Classification,FullLinkEntity,Product,Classification,Classification,FederatedIdentifier,e7b49fb0-9be0-4640-ae1d-542812a7ed1e,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e7b49fb0-9be0-4640-ae1d-542812a7ed1e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,alepes melanoptera Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 38b2aff4-d0b9-4672-be14-5e90ec8e9b34,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This alepes melanoptera Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 38b2aff4-d0b9-4672-be14-5e90ec8e9b34,2017-11-25T20:08:21.347660,Classification,FullLinkEntity,Measurement,Classification,Classification,string,38b2aff4-d0b9-4672-be14-5e90ec8e9b34,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/38b2aff4-d0b9-4672-be14-5e90ec8e9b34,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Agnezia glaciata,1901-01-01T00:0000-01:00,Result Product 7fbe51a7-15fd-441d-a556-b66970c03b93,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Agnezia glaciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 7fbe51a7-15fd-441d-a556-b66970c03b93,2017-11-25T05:39:22.206272,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,7fbe51a7-15fd-441d-a556-b66970c03b93,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/7fbe51a7-15fd-441d-a556-b66970c03b93,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alectis indicus,1901-01-01T00:0000-01:00,Result Product f9b8e61f-f38c-4f54-b8ac-079904b66147,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alectis indicus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alectis-indicus1,2017-11-28T22:26:15.672240,Classification,FullLinkEntity,Measurement,Classification,Classification,string,alectis-indicus1,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/alectis-indicus1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,allenbatrachus reticulatus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 028fdcad-e14e-441b-a0cb-bbfe02f63984,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This allenbatrachus reticulatus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name allenbatrachus-reticulatus-aquamaps-native-2050-raster,2017-11-24T13:45:43.353090,Classification,FullLinkEntity,Measurement,Classification,Classification,string,allenbatrachus-reticulatus-aquamaps-native-2050-raster,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/allenbatrachus-reticulatus-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,alpheus nuttingi Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product da0299d5-54ac-496b-9fa0-fec081c435b9,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This alpheus nuttingi Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 55c62b78-fce9-4dfb-8889-4d5dfb86fd50,2017-11-29T04:02:46.285700,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,55c62b78-fce9-4dfb-8889-4d5dfb86fd50,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/55c62b78-fce9-4dfb-8889-4d5dfb86fd50,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,acrochordus granulatus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 7ce53f1b-8acf-4e35-a100-4a86cfa68cf9,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This acrochordus granulatus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acrochordus-granulatus-aquamaps-native-2050-raster,2017-11-26T12:16:09.030408,Classification,FullLinkEntity,Medium,Classification,Classification,string,acrochordus-granulatus-aquamaps-native-2050-raster,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/acrochordus-granulatus-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
