is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Adagnesia charcoti,1901-01-01T00:0000-01:00,Result Product 5525c750-58b5-418a-a7d3-08fd5a1fccc4,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Adagnesia charcoti Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name adagnesia-charcoti,2017-11-24T16:39:52.685880,Classification,FullLinkEntity,Measurement,Classification,Classification,string,adagnesia-charcoti,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/adagnesia-charcoti,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anodontia edentula,1901-01-01T00:0000-01:00,Result Product de75acc5-af68-4baf-a051-1edbb6447523,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anodontia edentula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier de75acc5-af68-4baf-a051-1edbb6447523,2017-11-25T13:50:22.445885,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,de75acc5-af68-4baf-a051-1edbb6447523,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/de75acc5-af68-4baf-a051-1edbb6447523,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Ammodytes americanus,1901-01-01T00:0000-01:00,Result Product 1cc07972-b5be-4129-aa05-053a2fec85d0,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ammodytes americanus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 1cc07972-b5be-4129-aa05-053a2fec85d0,2017-12-24T02:58:55.701254,Classification,FullLinkEntity,Medium,Classification,Classification,FederatedIdentifier,1cc07972-b5be-4129-aa05-053a2fec85d0,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/1cc07972-b5be-4129-aa05-053a2fec85d0,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthurus thompsoni,1901-01-01T00:0000-01:00,Result Product 2947ec47-15e7-4452-80a3-78c199ca237b,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthurus thompsoni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 9eccb44e-fa31-4579-bd92-042a858a1744,2017-11-26T13:02:12.167649,Classification,FullLinkEntity,Measurement,Classification,Classification,string,9eccb44e-fa31-4579-bd92-042a858a1744,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/9eccb44e-fa31-4579-bd92-042a858a1744,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf Luridus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 9fd2ef00-d7eb-40b1-9472-163af8e97fe5,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abudefduf Luridus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier b8e29cbe-01d6-4c61-9262-f4310b4d0a16,2017-11-26T05:24:23.463905,Classification,FullLinkEntity,Measurement,Classification,Classification,string,b8e29cbe-01d6-4c61-9262-f4310b4d0a16,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/b8e29cbe-01d6-4c61-9262-f4310b4d0a16,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amblygobius albimaculatus,1901-01-01T00:0000-01:00,Result Product 4ee44bab-c3e2-442d-bdad-ce14a90ce18e,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amblygobius albimaculatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amblygobius-albimaculatus,2017-11-30T07:54:47.157806,Classification,FullLinkEntity,Medium,Classification,Classification,FederatedIdentifier,amblygobius-albimaculatus,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/amblygobius-albimaculatus,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amblyeleotris periophthalma,1901-01-01T00:0000-01:00,Result Product 62d3b68a-afe8-40c6-b6c7-d162cee87730,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amblyeleotris periophthalma Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amblyeleotris-periophthalma1,2017-11-25T03:26:08.290592,Classification,FullLinkEntity,Measurement,Classification,Classification,string,amblyeleotris-periophthalma1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/amblyeleotris-periophthalma1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aldrovandia phalacra,1901-01-01T00:0000-01:00,Result Product 4f436efe-ad6c-4945-8096-2fdd3718ccd3,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aldrovandia phalacra Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 4f436efe-ad6c-4945-8096-2fdd3718ccd3,2017-11-24T12:59:29.514378,Classification,FullLinkEntity,Measurement,Classification,Classification,string,4f436efe-ad6c-4945-8096-2fdd3718ccd3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/4f436efe-ad6c-4945-8096-2fdd3718ccd3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Aglaophamus malmgreni,1901-01-01T00:0000-01:00,Result Product ccd129e3-8db2-43be-b2b9-b33bc2550428,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aglaophamus malmgreni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier ccd129e3-8db2-43be-b2b9-b33bc2550428,2017-11-25T02:00:02.552319,Classification,FullLinkEntity,Measurement,Classification,Classification,string,ccd129e3-8db2-43be-b2b9-b33bc2550428,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/ccd129e3-8db2-43be-b2b9-b33bc2550428,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,ammothella stauromata Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 221bb688-2fe1-4ac2-935f-62cc26ca6cf1,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This ammothella stauromata Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ammothella-stauromata-aquamaps-native-2050-raster,2017-11-28T23:42:05.184229,Classification,FullLinkEntity,Product,Classification,Classification,string,ammothella-stauromata-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/ammothella-stauromata-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
