is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-12-24T23:13:21.836313,Person,Classification,2099-12-31T23:59:59-01:00,anadara nodifera Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 223e51f5-3921-459d-ba31-badd1a01d2da,string,2099-12-31T23:59:59-01:00,"This anadara nodifera Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 223e51f5-3921-459d-ba31-badd1a01d2da,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,223e51f5-3921-459d-ba31-badd1a01d2da,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/223e51f5-3921-459d-ba31-badd1a01d2da,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-24T21:26:18.390698,2017-11-26T01:22:23.900362,Person,string,2099-12-31T23:59:59-01:00,Alburnus alburnus,1901-01-01T00:0000-01:00,Result Product 49515a26-ab10-4938-88b2-ba83e5085776,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alburnus alburnus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 49515a26-ab10-4938-88b2-ba83e5085776,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,49515a26-ab10-4938-88b2-ba83e5085776,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/49515a26-ab10-4938-88b2-ba83e5085776,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T21:01:30.740599,Publication,Classification,2099-12-31T23:59:59-01:00,acanthistius ocellatus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product dd032d9b-9c12-4da6-a826-f765bf49baee,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This acanthistius ocellatus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier e8d822ae-10c7-4d84-b493-47a63669c991,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,e8d822ae-10c7-4d84-b493-47a63669c991,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e8d822ae-10c7-4d84-b493-47a63669c991,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T17:56:57.078198,Person,Classification,2099-12-31T23:59:59-01:00,Acanthosphex leurynnis,1901-01-01T00:0000-01:00,Result Product d11a0251-81cb-4834-be8a-0c137d466256,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthosphex leurynnis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ae20be63-0ce2-4204-84a3-6fe4d805dac1,SimpleLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,ae20be63-0ce2-4204-84a3-6fe4d805dac1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ae20be63-0ce2-4204-84a3-6fe4d805dac1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T00:12:45.941151,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anchoa parva,1901-01-01T00:0000-01:00,Result Product 46c3667a-7d65-481a-b9cb-1eef44cd7515,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Anchoa parva Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier cc239ec3-1a60-42be-8fdb-bb93568127d4,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,cc239ec3-1a60-42be-8fdb-bb93568127d4,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/cc239ec3-1a60-42be-8fdb-bb93568127d4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T08:11:57.196611,Publication,Classification,2099-12-31T23:59:59-01:00,Alosa sapidissima,1901-01-01T00:0000-01:00,Result Product a077ca6b-957d-4435-ae3f-0d6c583dec29,string,2099-12-31T23:59:59-01:00,"This Alosa sapidissima Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier a077ca6b-957d-4435-ae3f-0d6c583dec29,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,a077ca6b-957d-4435-ae3f-0d6c583dec29,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/a077ca6b-957d-4435-ae3f-0d6c583dec29,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T01:56:42.391408,Person,Classification,2099-12-31T23:59:59-01:00,Achirus klunzingeri,1901-01-01T00:0000-01:00,Result Product af525505-b6d1-4822-b793-6a98edcc8628,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Achirus klunzingeri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name achirus-klunzingeri1,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,achirus-klunzingeri1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/achirus-klunzingeri1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T02:47:19.861720,Person,Classification,2099-12-31T23:59:59-01:00,Acantholumpenus mackayi,1901-01-01T00:0000-01:00,Result Product 88eb84c5-b4c1-4fb9-9762-bfeaa9410b86,string,2099-12-31T23:59:59-01:00,"This Acantholumpenus mackayi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine.In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acantholumpenus-mackayi,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,acantholumpenus-mackayi,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acantholumpenus-mackayi,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-02T12:23:51.071374,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,acanthurus tennentii Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 1c163d55-24cb-4cbd-852f-0fa4ba12c31a,string,2099-12-31T23:59:59-01:00,"This acanthurus tennentii Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-tennentii-aquamaps-native-2050-raster,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,acanthurus-tennentii-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-tennentii-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T18:59:24.758749,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,agnezia glaciata Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product e4707f8a-4f83-4197-bb35-4cd071d84677,string,2099-12-31T23:59:59-01:00,"This agnezia glaciata Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier e4707f8a-4f83-4197-bb35-4cd071d84677,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,e4707f8a-4f83-4197-bb35-4cd071d84677,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e4707f8a-4f83-4197-bb35-4cd071d84677,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
