is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
2017-11-29T01:19:05.270358,SimpleLinkEntity,Person,string,2099-12-31T23:59:59-01:00,Abyssobrotula galatheae,1901-01-01T00:0000-01:00,Result Product 284e8446-7660-48bd-9b87-101a50e9c833,string,Result Product Identifier 284e8446-7660-48bd-9b87-101a50e9c833,"This Abyssobrotula galatheae Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T13:02:12.376867,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,284e8446-7660-48bd-9b87-101a50e9c833,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/284e8446-7660-48bd-9b87-101a50e9c833,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Amblycirrhitus bimacula,1901-01-01T00:0000-01:00,Result Product 9bcfaa64-067e-4066-b841-529d77996ae6,FederatedIdentifier,Result Product Revision Identifier 330e19dc-3a1d-412d-be64-bf4c42bea64d,"This Amblycirrhitus bimacula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T00:32:05.494555,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,330e19dc-3a1d-412d-be64-bf4c42bea64d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/330e19dc-3a1d-412d-be64-bf4c42bea64d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anodontia Fragilis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 8b467f8a-f54d-46cd-b468-8b79f13592f0,FederatedIdentifier,Result Product Identifier 8b467f8a-f54d-46cd-b468-8b79f13592f0,"This Anodontia Fragilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T16:13:30.814856,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,8b467f8a-f54d-46cd-b468-8b79f13592f0,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8b467f8a-f54d-46cd-b468-8b79f13592f0,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alepocephalus agassizii,1901-01-01T00:0000-01:00,Result Product bd0674f1-f2e1-4705-8f27-67c66da72437,string,Result Product Name alepocephalus-agassizii2,"This Alepocephalus agassizii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T18:09:42.606902,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,alepocephalus-agassizii2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alepocephalus-agassizii2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Agonopsis chiloensis,1901-01-01T00:0000-01:00,Result Product c6c86f5b-eb98-415b-a8af-b8b6d2396d40,FederatedIdentifier,Result Product Identifier c6c86f5b-eb98-415b-a8af-b8b6d2396d40,"This Agonopsis chiloensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine.In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T02:57:52.970410,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,c6c86f5b-eb98-415b-a8af-b8b6d2396d40,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/c6c86f5b-eb98-415b-a8af-b8b6d2396d40,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,anisochromis kenyae Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 61b5277c-1ac6-495c-b195-5fbed3209b72,string,Result Product Identifier 61b5277c-1ac6-495c-b195-5fbed3209b72,"This anisochromis kenyae Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T13:50:42.717394,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,61b5277c-1ac6-495c-b195-5fbed3209b72,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/61b5277c-1ac6-495c-b195-5fbed3209b72,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,acanthochitona spiculosa Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product bed99618-f5a3-4b2b-ab34-f81cee28f611,FederatedIdentifier,Result Product Identifier bed99618-f5a3-4b2b-ab34-f81cee28f611,"This acanthochitona spiculosa Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T12:33:56.165073,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,bed99618-f5a3-4b2b-ab34-f81cee28f611,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/bed99618-f5a3-4b2b-ab34-f81cee28f611,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,agaricia tenuifolia Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 1d22056a-4158-4275-945d-e2d156bc8409,string,Result Product Name agaricia-tenuifolia-aquamaps-native-2050-raster,"This agaricia tenuifolia Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-24T04:18:40.272743,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,agaricia-tenuifolia-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/agaricia-tenuifolia-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Ammodytes Dubius Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 3580e602-95b3-4776-af30-cd136807a534,FederatedIdentifier,Result Product Identifier 3580e602-95b3-4776-af30-cd136807a534,"This Ammodytes Dubius Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T16:48:02.002718,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,3580e602-95b3-4776-af30-cd136807a534,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/3580e602-95b3-4776-af30-cd136807a534,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Allocyttus niger,1901-01-01T00:0000-01:00,Result Product 1d4e1bcf-0b47-4355-8997-6fc28900f255,string,Result Product Name allocyttus-niger,"This Allocyttus niger Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-17T09:05:10.534154,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,allocyttus-niger,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/allocyttus-niger,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
