is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_destination_of_has_source_has_identifier_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus xanthopterus,1901-01-01T00:0000-01:00,Result Product 3753bb66-10df-4187-9445-efa35f2dd603,2099-12-31T23:59:59-01:00,Result Product Revision Identifier b1485d3f-7bce-4caa-9991-b87f3c9abb21,"This Acanthurus xanthopterus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T18:41:03.853353,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,b1485d3f-7bce-4caa-9991-b87f3c9abb21,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/b1485d3f-7bce-4caa-9991-b87f3c9abb21,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acetes Americanus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 752e4944-ad29-4504-841c-fd19f7714d11,2099-12-31T23:59:59-01:00,Result Product Name acetes-americanus-aquamaps-native-raster,"This Acetes Americanus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T18:14:33.124931,Classification,FullLinkEntity,string,Measurement,Classification,Classification,acetes-americanus-aquamaps-native-raster,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acetes-americanus-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Andamia reyi,1901-01-01T00:0000-01:00,Result Product a0b8883c-017e-41bf-973c-bd7cc7bb3cbb,2099-12-31T23:59:59-01:00,Result Product Identifier a0b8883c-017e-41bf-973c-bd7cc7bb3cbb,"This Andamia reyi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-02T16:56:19.377961,Classification,FullLinkEntity,string,Measurement,Classification,Classification,a0b8883c-017e-41bf-973c-bd7cc7bb3cbb,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/a0b8883c-017e-41bf-973c-bd7cc7bb3cbb,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anchisquilla fasciata,1901-01-01T00:0000-01:00,Result Product 6de58fff-051d-4ad8-a512-5c97ac52aacf,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 20c9fc3a-f567-4dec-9d95-f31dcf447ed1,"This Anchisquilla fasciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T11:34:49.582271,Classification,FullLinkEntity,string,Product,Classification,Classification,20c9fc3a-f567-4dec-9d95-f31dcf447ed1,PersonName,bb,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/20c9fc3a-f567-4dec-9d95-f31dcf447ed1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,alionematichthys minyomma Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 5375437b-b3f5-4343-9be0-3db77342d972,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 103e3eeb-a712-446d-badb-b9cbe920b02f,"This alionematichthys minyomma Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T21:15:06.098033,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,103e3eeb-a712-446d-badb-b9cbe920b02f,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/103e3eeb-a712-446d-badb-b9cbe920b02f,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus compressus,1901-01-01T00:0000-01:00,Result Product 637e80dc-0afd-46af-812c-3027b58f9478,2099-12-31T23:59:59-01:00,Result Product Identifier 637e80dc-0afd-46af-812c-3027b58f9478,"This Alpheus compressus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T19:05:41.484943,Classification,FullLinkEntity,string,Medium,Classification,Classification,637e80dc-0afd-46af-812c-3027b58f9478,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/637e80dc-0afd-46af-812c-3027b58f9478,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthemblemaria crockeri,1901-01-01T00:0000-01:00,Result Product 949b2c63-fb8a-4421-8a57-b8d4f7e98b5e,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 75275998-80e9-4bec-ad2e-3d007c51ea73,"This Acanthemblemaria crockeri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-28T23:00:14.172845,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,75275998-80e9-4bec-ad2e-3d007c51ea73,PersonName,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/75275998-80e9-4bec-ad2e-3d007c51ea73,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anchoa walkeri,1901-01-01T00:0000-01:00,Result Product 600a4a73-79b0-44f4-9e0c-55c587d47b4b,2099-12-31T23:59:59-01:00,Result Product Identifier 600a4a73-79b0-44f4-9e0c-55c587d47b4b,"This Anchoa walkeri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T00:30:09.001473,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,600a4a73-79b0-44f4-9e0c-55c587d47b4b,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/600a4a73-79b0-44f4-9e0c-55c587d47b4b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthemblemaria macrospilus,1901-01-01T00:0000-01:00,Result Product 559b7a70-a67c-4bd2-b9ac-98dbcb101114,2099-12-31T23:59:59-01:00,Result Product Identifier 559b7a70-a67c-4bd2-b9ac-98dbcb101114,"This Acanthemblemaria macrospilus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T02:43:13.299735,Classification,FullLinkEntity,string,Measurement,Classification,Classification,559b7a70-a67c-4bd2-b9ac-98dbcb101114,PersonName,bb,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/559b7a70-a67c-4bd2-b9ac-98dbcb101114,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus crockeri,1901-01-01T00:0000-01:00,Result Product 79d19fe2-5c16-4247-bc65-8031df1ba440,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 84b141dc-b9d1-4bfb-ac2b-04239f4480b5,"This Alpheus crockeri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T06:56:16.370823,Classification,FullLinkEntity,string,Measurement,Classification,Classification,84b141dc-b9d1-4bfb-ac2b-04239f4480b5,PersonName,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/84b141dc-b9d1-4bfb-ac2b-04239f4480b5,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
