is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,has_identifier_has_id_value,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_endDate,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthephyra pelagica,1901-01-01T00:0000-01:00,Result Product 669e34c2-194a-4e86-9e2d-310a2520abf9,acanthephyra-pelagica2,2099-12-31T23:59:59-01:00,"This Acanthephyra pelagica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthephyra-pelagica2,2017-11-24T15:11:29.508367,Classification,FullLinkEntity,Product,FullLinkEntity,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthephyra-pelagica2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acetes erythraeus,1901-01-01T00:0000-01:00,Result Product c21516d7-c4dd-4189-981b-a23879b50e80,c21516d7-c4dd-4189-981b-a23879b50e80,2099-12-31T23:59:59-01:00,"This Acetes erythraeus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier c21516d7-c4dd-4189-981b-a23879b50e80,2017-11-24T17:11:18.951532,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/c21516d7-c4dd-4189-981b-a23879b50e80,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Aesopia cornuta,1901-01-01T00:0000-01:00,Result Product 1efe0303-d0b2-4ae3-9f88-da8f814847ac,ed72f21d-893d-47c0-bfb4-0dff8848f52e,2099-12-31T23:59:59-01:00,"This Aesopia cornuta Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ed72f21d-893d-47c0-bfb4-0dff8848f52e,2017-11-25T11:24:25.578675,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ed72f21d-893d-47c0-bfb4-0dff8848f52e,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf natalensis,1901-01-01T00:0000-01:00,Result Product 2cf14dc0-e1bc-47ce-9419-528bb09f6715,7593e543-7159-40c7-890a-5e497dc91b28,2099-12-31T23:59:59-01:00,"This Abudefduf natalensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 7593e543-7159-40c7-890a-5e497dc91b28,2017-11-25T01:01:30.606496,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/7593e543-7159-40c7-890a-5e497dc91b28,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,agaricia undata Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 952804cd-5ada-4e81-b598-837d8009d029,agaricia-undata-aquamaps-native-2050-raster,2099-12-31T23:59:59-01:00,"This agaricia undata Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name agaricia-undata-aquamaps-native-2050-raster,2017-11-24T19:20:07.578068,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/agaricia-undata-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amblyglyphidodon curacao,1901-01-01T00:0000-01:00,Result Product 6c489c5f-4f56-47c0-b686-19d29a31d665,amblyglyphidodon-curacao,2099-12-31T23:59:59-01:00,"This Amblyglyphidodon curacao Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amblyglyphidodon-curacao,2017-11-25T15:15:09.112199,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/amblyglyphidodon-curacao,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthochromis Polyacanthus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 6e6b48e1-6eae-4181-8e73-d8d65629ab59,acanthochromis-polyacanthus-aquamaps-native-raster,2099-12-31T23:59:59-01:00,"This Acanthochromis Polyacanthus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthochromis-polyacanthus-aquamaps-native-raster,2017-12-09T10:05:46.772144,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthochromis-polyacanthus-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alectis Indicus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 2744ffa5-4949-47bb-b63a-76d0320b0aac,alectis-indicus-aquamaps-native-raster,2099-12-31T23:59:59-01:00,"This Alectis Indicus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alectis-indicus-aquamaps-native-raster,2017-11-25T15:23:00.873555,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alectis-indicus-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-29T13:00:43.107568,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Aforia multispiralis,1901-01-01T00:0000-01:00,Result Product 58d6eee8-5dc8-4835-beec-592b1be82aa3,aforia-multispiralis3,2099-12-31T23:59:59-01:00,"This Aforia multispiralis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name aforia-multispiralis3,2017-11-26T10:39:16.360500,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,2099-12-31T23:59:59-01:00,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/aforia-multispiralis3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anas platyrhynchos,1901-01-01T00:0000-01:00,Result Product 93d3e42d-6b24-42f7-89d3-fc938fa0645f,be254cf9-5835-48fa-ae13-929d5a8bfc38,2099-12-31T23:59:59-01:00,"This Anas platyrhynchos Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater native dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier be254cf9-5835-48fa-ae13-929d5a8bfc38,2017-11-26T12:43:52.567596,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,2099-12-31T23:59:59-01:00,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/be254cf9-5835-48fa-ae13-929d5a8bfc38,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
