is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf Lorenzi Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 3cefede0-a4ed-4e28-b077-a246df0a5dfb,string,Result Product Revision Identifier 41139555-4ee5-4257-9fb0-f645bd895b38,"This Abudefduf Lorenzi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T19:32:20.231895,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,41139555-4ee5-4257-9fb0-f645bd895b38,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/41139555-4ee5-4257-9fb0-f645bd895b38,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alticorpus geoffreyi,1901-01-01T00:0000-01:00,Result Product 334d7af1-de4e-4a4a-b708-8b6a4573e696,string,Result Product Identifier 334d7af1-de4e-4a4a-b708-8b6a4573e696,"This Alticorpus geoffreyi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater native dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T14:39:16.376752,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,334d7af1-de4e-4a4a-b708-8b6a4573e696,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/334d7af1-de4e-4a4a-b708-8b6a4573e696,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anarchias Leucurus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product d9f16a8b-0cf5-4845-98e1-1c1c48ea0657,FederatedIdentifier,Result Product Identifier d9f16a8b-0cf5-4845-98e1-1c1c48ea0657,"This Anarchias Leucurus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T19:57:09.400428,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,d9f16a8b-0cf5-4845-98e1-1c1c48ea0657,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d9f16a8b-0cf5-4845-98e1-1c1c48ea0657,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthochitona spiculosa,1901-01-01T00:0000-01:00,Result Product c4f71d6a-f581-4c42-9567-f4aaaa8fe284,string,Result Product Revision Identifier e74a61aa-8b22-42d4-a735-b216a096cabf,"This Acanthochitona spiculosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T21:38:09.471782,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,e74a61aa-8b22-42d4-a735-b216a096cabf,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e74a61aa-8b22-42d4-a735-b216a096cabf,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Agaricia agaricites,1901-01-01T00:0000-01:00,Result Product 5f685cf7-2bb4-45b9-af4a-57efffa5d620,string,Result Product Identifier 5f685cf7-2bb4-45b9-af4a-57efffa5d620,"This Agaricia agaricites Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T01:43:31.575136,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,5f685cf7-2bb4-45b9-af4a-57efffa5d620,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/5f685cf7-2bb4-45b9-af4a-57efffa5d620,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anchoa Hepsetus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product e70fb379-9a8e-4958-8f73-0ca5a9ce53cc,string,Result Product Identifier e70fb379-9a8e-4958-8f73-0ca5a9ce53cc,"This Anchoa Hepsetus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T07:36:26.026698,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,e70fb379-9a8e-4958-8f73-0ca5a9ce53cc,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e70fb379-9a8e-4958-8f73-0ca5a9ce53cc,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Agaricia Fragilis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 3feae3c1-b803-4341-a329-d74dc3985657,FederatedIdentifier,Result Product Revision Identifier 0b4e0cb4-e7e4-45a8-84f7-3583f792e9d4,"This Agaricia Fragilis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T14:04:09.365212,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,0b4e0cb4-e7e4-45a8-84f7-3583f792e9d4,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0b4e0cb4-e7e4-45a8-84f7-3583f792e9d4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Achiropsetta tricholepis,1901-01-01T00:0000-01:00,Result Product d80737d8-46c2-4a74-8c17-27f0a49c31bf,string,Result Product Identifier d80737d8-46c2-4a74-8c17-27f0a49c31bf,"This Achiropsetta tricholepis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T03:34:29.070354,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,d80737d8-46c2-4a74-8c17-27f0a49c31bf,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d80737d8-46c2-4a74-8c17-27f0a49c31bf,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-24T21:38:07.999219,SimpleLinkEntity,OrganisationUnit,string,2099-12-31T23:59:59-01:00,Amphiprion percula,1901-01-01T00:0000-01:00,Result Product 4a514546-df8d-418c-9230-1adfa04d9f6e,FederatedIdentifier,Result Product Revision Identifier 297f4d08-555b-4be5-a6cb-b80fa31832da,"This Amphiprion percula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T08:17:51.375363,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,297f4d08-555b-4be5-a6cb-b80fa31832da,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/297f4d08-555b-4be5-a6cb-b80fa31832da,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthopagrus Latus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 2c7fb27e-1825-48e8-8708-3f0aa02d7980,string,Result Product Name acanthopagrus-latus-aquamaps-native-raster,"This Acanthopagrus Latus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-16T14:27:12.815838,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,acanthopagrus-latus-aquamaps-native-raster,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthopagrus-latus-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
