is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_destination_of_has_source_has_identifier_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus nigrofuscus,1901-01-01T00:0000-01:00,Result Product 5a5f6322-271d-47c3-8a0f-dc626a6cbc60,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 4c504de5-71b1-4f0e-a4af-c930d1c7dbd3,"This Acanthurus nigrofuscus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T00:31:47.875801,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,4c504de5-71b1-4f0e-a4af-c930d1c7dbd3,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/4c504de5-71b1-4f0e-a4af-c930d1c7dbd3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ampelisca vadorum,1901-01-01T00:0000-01:00,Result Product 817cde8e-215e-4a19-8e2e-57ec701da560,2099-12-31T23:59:59-01:00,Result Product Name ampelisca-vadorum2,"This Ampelisca vadorum Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T21:04:47.419714,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,ampelisca-vadorum2,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ampelisca-vadorum2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Agaricia Lamarcki Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 472cd023-a3eb-488e-ac39-84dd848abe79,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 56cdcce7-8cd8-45f2-bccc-a159095f5fad,"This Agaricia Lamarcki Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-17T09:34:56.587771,Classification,FullLinkEntity,string,Measurement,Classification,Classification,56cdcce7-8cd8-45f2-bccc-a159095f5fad,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/56cdcce7-8cd8-45f2-bccc-a159095f5fad,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Ambassis Interrupta Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product c7de9ca3-5daa-4685-bece-3d0fc685557a,2099-12-31T23:59:59-01:00,Result Product Name ambassis-interrupta-aquamaps-native-raster,"This Ambassis Interrupta Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T08:47:06.953799,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,ambassis-interrupta-aquamaps-native-raster,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ambassis-interrupta-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acentrogobius janthinopterus,1901-01-01T00:0000-01:00,Result Product 30d4f2d8-7dc9-4012-b0f8-51ab3e164943,2099-12-31T23:59:59-01:00,Result Product Identifier 30d4f2d8-7dc9-4012-b0f8-51ab3e164943,"This Acentrogobius janthinopterus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T07:54:55.271343,Classification,FullLinkEntity,string,Measurement,Classification,Classification,30d4f2d8-7dc9-4012-b0f8-51ab3e164943,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/30d4f2d8-7dc9-4012-b0f8-51ab3e164943,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,actinopyga echinites Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product da5a1e17-c224-4046-a526-c4dbc63292c8,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 927e3cbd-953a-4d8b-9ba5-01cea1a91aa6,"This actinopyga echinites Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-16T09:16:58.007576,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,927e3cbd-953a-4d8b-9ba5-01cea1a91aa6,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/927e3cbd-953a-4d8b-9ba5-01cea1a91aa6,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Amphistichus rhodoterus,1901-01-01T00:0000-01:00,Result Product 6e8745e2-598f-4296-b589-b798a0d3160e,2099-12-31T23:59:59-01:00,Result Product Name amphistichus-rhodoterus,"This Amphistichus rhodoterus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T00:16:47.527025,Classification,FullLinkEntity,string,Measurement,Classification,Classification,amphistichus-rhodoterus,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/amphistichus-rhodoterus,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ammotretis lituratus,1901-01-01T00:0000-01:00,Result Product 943a78dd-9aa0-4ea5-b10c-ebfac1a99a41,2099-12-31T23:59:59-01:00,Result Product Identifier 943a78dd-9aa0-4ea5-b10c-ebfac1a99a41,"This Ammotretis lituratus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T00:45:29.503340,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,943a78dd-9aa0-4ea5-b10c-ebfac1a99a41,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/943a78dd-9aa0-4ea5-b10c-ebfac1a99a41,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,acanthurus gahhm Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product b8729246-01c9-4db6-953d-9f0d5c20e3e6,2099-12-31T23:59:59-01:00,Result Product Identifier b8729246-01c9-4db6-953d-9f0d5c20e3e6,"This acanthurus gahhm Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T20:42:50.801001,Classification,FullLinkEntity,string,Measurement,Classification,Classification,b8729246-01c9-4db6-953d-9f0d5c20e3e6,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/b8729246-01c9-4db6-953d-9f0d5c20e3e6,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acetes japonicus,1901-01-01T00:0000-01:00,Result Product 475240dd-3d04-418b-b5de-35b7b33b5669,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 8fa82aa0-c878-49e8-a8f3-a2880fc6e34b,"This Acetes japonicus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T03:44:17.472427,Classification,FullLinkEntity,string,Measurement,Classification,Classification,8fa82aa0-c878-49e8-a8f3-a2880fc6e34b,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/8fa82aa0-c878-49e8-a8f3-a2880fc6e34b,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
