is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acipenser medirostris,1901-01-01T00:0000-01:00,Result Product 401f1f1d-bc0b-43c8-b7f9-928153ffff53,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acipenser medirostris Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 9de75eed-3531-430a-a147-2118a27ffc24,2017-11-24T19:58:56.266982,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,9de75eed-3531-430a-a147-2118a27ffc24,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/9de75eed-3531-430a-a147-2118a27ffc24,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-11-25T20:32:53.708099,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Annual means Phytoplankton Colour Index 1958-2006,1901-01-01T00:0000-01:00,Result Product be895679-85d2-487d-bbdd-d37f356380c9,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,Dataproduct  from the Continuous Plankton Recorder (CPR) on the annual means of the Phytoplankton Colour Index from 1958-2006. The data has been averaged per CPR standard region and includes areas of the North Atlantic Ocean and Greater North Sea.,1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier cb02e106-67f5-48ed-b687-2895972aefe0,2017-11-25T20:32:54.505081,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,cb02e106-67f5-48ed-b687-2895972aefe0,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/cb02e106-67f5-48ed-b687-2895972aefe0,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acetes erythraeus,1901-01-01T00:0000-01:00,Result Product 1b295676-a3d7-4df9-a993-980d55e6ad49,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acetes erythraeus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acetes-erythraeus2,2017-11-24T11:48:29.959991,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,acetes-erythraeus2,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acetes-erythraeus2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Alpheus Nuttingi Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 9dd1f6b6-fa3a-4466-a3b3-3dfa952cabcb,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus Nuttingi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 9dd1f6b6-fa3a-4466-a3b3-3dfa952cabcb,2017-11-25T21:01:38.831202,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,9dd1f6b6-fa3a-4466-a3b3-3dfa952cabcb,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9dd1f6b6-fa3a-4466-a3b3-3dfa952cabcb,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Agonopsis sterletus,1901-01-01T00:0000-01:00,Result Product fbb75459-0308-42a9-80d6-ee0eee4fe4c4,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Agonopsis sterletus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier fbb75459-0308-42a9-80d6-ee0eee4fe4c4,2017-11-25T14:31:40.261872,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,fbb75459-0308-42a9-80d6-ee0eee4fe4c4,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/fbb75459-0308-42a9-80d6-ee0eee4fe4c4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alopias vulpinus,1901-01-01T00:0000-01:00,Result Product ceae1f78-f1c7-4bbf-98a9-bcd23e0c645a,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alopias vulpinus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier ceae1f78-f1c7-4bbf-98a9-bcd23e0c645a,2017-11-25T00:25:48.956867,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,ceae1f78-f1c7-4bbf-98a9-bcd23e0c645a,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/ceae1f78-f1c7-4bbf-98a9-bcd23e0c645a,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ahlia egmontis,1901-01-01T00:0000-01:00,Result Product d1e75a16-b212-4826-a39b-a2742b225a2f,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ahlia egmontis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier d1e75a16-b212-4826-a39b-a2742b225a2f,2017-11-28T19:09:19.514985,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,d1e75a16-b212-4826-a39b-a2742b225a2f,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d1e75a16-b212-4826-a39b-a2742b225a2f,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus bellimanus,1901-01-01T00:0000-01:00,Result Product f13e1c0f-edb5-410f-bad5-fd467fae7b8c,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus bellimanus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alpheus-bellimanus1,2017-11-24T18:28:09.021722,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,alpheus-bellimanus1,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-bellimanus1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf Whitleyi Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 0678cb4e-b80c-496c-b315-0574dc1fcb3b,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abudefduf Whitleyi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 1b4cf75d-2d41-4a40-a107-5ef53aeb525e,2017-11-26T08:13:20.239691,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,string,1b4cf75d-2d41-4a40-a107-5ef53aeb525e,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/1b4cf75d-2d41-4a40-a107-5ef53aeb525e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Annachlamys flabellata,1901-01-01T00:0000-01:00,Result Product 21c1523f-e783-4211-9b51-a62f4abbd46a,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Annachlamys flabellata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name annachlamys-flabellata3,2017-11-25T11:34:22.722442,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,annachlamys-flabellata3,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/annachlamys-flabellata3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
