is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-25T22:49:25.897808,Person,Classification,2099-12-31T23:59:59-01:00,Ancylopsetta Ommata Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product c6b7f52e-3722-43ad-8b06-5270eee6acdd,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 81748e51-7253-4551-b635-93ad01b26d9d,"This Ancylopsetta Ommata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,81748e51-7253-4551-b635-93ad01b26d9d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/81748e51-7253-4551-b635-93ad01b26d9d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:44:24.170933,Person,Classification,2099-12-31T23:59:59-01:00,Alticus kirkii,1901-01-01T00:0000-01:00,Result Product efc80f22-70ea-4199-a2bd-4707ae65a2b1,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 60455ed2-f75f-4559-81fe-62b6f700a3d3,"This Alticus kirkii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,60455ed2-f75f-4559-81fe-62b6f700a3d3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/60455ed2-f75f-4559-81fe-62b6f700a3d3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T01:19:17.499846,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Agnesiopsis translucida,1901-01-01T00:0000-01:00,Result Product d137c7da-ddb1-473d-82f7-27b62ccdf7b2,2099-12-31T23:59:59-01:00,Result Product Identifier d137c7da-ddb1-473d-82f7-27b62ccdf7b2,"This Agnesiopsis translucida Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,d137c7da-ddb1-473d-82f7-27b62ccdf7b2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d137c7da-ddb1-473d-82f7-27b62ccdf7b2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-28T19:52:56.590650,Person,Classification,2099-12-31T23:59:59-01:00,Aluterus monoceros,1901-01-01T00:0000-01:00,Result Product d0dc6851-c4de-40cc-b52f-4c230df91c69,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 7da2fe61-7b8f-48f6-94c5-ef2d5218fd05,"This Aluterus monoceros Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,7da2fe61-7b8f-48f6-94c5-ef2d5218fd05,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/7da2fe61-7b8f-48f6-94c5-ef2d5218fd05,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T03:41:25.171284,Publication,Classification,2099-12-31T23:59:59-01:00,Akarotaxis nudiceps,1901-01-01T00:0000-01:00,Result Product 128bd721-829d-45b7-9df3-0d7ae4b6a267,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ead93edf-ad42-4167-b310-a5b8be0de48d,"This Akarotaxis nudiceps Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,FederatedIdentifier,ead93edf-ad42-4167-b310-a5b8be0de48d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ead93edf-ad42-4167-b310-a5b8be0de48d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-17T13:45:12.832044,Person,Classification,2099-12-31T23:59:59-01:00,Aetomylaeus milvus,1901-01-01T00:0000-01:00,Result Product 47ea3d3e-a0db-432c-be13-296926f27892,2099-12-31T23:59:59-01:00,Result Product Name aetomylaeus-milvus1,"This Aetomylaeus milvus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,aetomylaeus-milvus1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/aetomylaeus-milvus1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T16:43:39.995678,Person,Classification,2099-12-31T23:59:59-01:00,anacanthobatis longirostris Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 27b604f0-b880-447e-9633-edf33c861bb8,2099-12-31T23:59:59-01:00,Result Product Revision Identifier fbd9b29d-e42f-43b4-bfca-7a4e1bb9b716,"This anacanthobatis longirostris Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,string,fbd9b29d-e42f-43b4-bfca-7a4e1bb9b716,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/fbd9b29d-e42f-43b4-bfca-7a4e1bb9b716,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T04:08:42.136101,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,amphiprion akallopisos Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product f19a2cd6-29f3-46b6-9c1b-a86c9997c716,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 8f6a9f5c-010c-49f6-b263-68918666f25b,"This amphiprion akallopisos Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,8f6a9f5c-010c-49f6-b263-68918666f25b,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/8f6a9f5c-010c-49f6-b263-68918666f25b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T15:23:05.316218,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,amphiarius rugispinis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 7a517ddb-71ea-4244-a572-b79b5e637edf,2099-12-31T23:59:59-01:00,Result Product Identifier 7a517ddb-71ea-4244-a572-b79b5e637edf,"This amphiarius rugispinis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,7a517ddb-71ea-4244-a572-b79b5e637edf,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/7a517ddb-71ea-4244-a572-b79b5e637edf,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:37:15.704984,Publication,Classification,2099-12-31T23:59:59-01:00,Alpheus Crockeri Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product adde2493-1c36-47d4-86e0-33a043d86580,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 54cc8e8a-4680-428d-8dd6-ac548a102656,"This Alpheus Crockeri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,54cc8e8a-4680-428d-8dd6-ac548a102656,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/54cc8e8a-4680-428d-8dd6-ac548a102656,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
