is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_identifier_is_source_of_type,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_name
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 45c55b5b-00f0-4fb2-b54e-2c29731f6a5b,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 552cace6-e6d1-4849-8fd8-0d34b358c61b,"This Anguilla bicolor bicolor Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T20:51:40.381230,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,552cace6-e6d1-4849-8fd8-0d34b358c61b,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/552cace6-e6d1-4849-8fd8-0d34b358c61b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Anguilla bicolor bicolor
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product a2c48923-e6b0-4009-b20f-f87ea1c94db5,2099-12-31T23:59:59-01:00,Result Product Name acanthemblemaria-hancocki-aquamaps-native-raster,"This Acanthemblemaria Hancocki Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-16T10:53:02.621185,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,acanthemblemaria-hancocki-aquamaps-native-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthemblemaria-hancocki-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Acanthemblemaria Hancocki Aquamaps Native Raster
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 5cbc3b2f-dfe8-4da8-98bc-e8cbbcb77da0,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 25e3f47a-71a6-426e-95d8-7f37cf47a74d,"This agonus cataphractus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T17:10:42.931508,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,25e3f47a-71a6-426e-95d8-7f37cf47a74d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/25e3f47a-71a6-426e-95d8-7f37cf47a74d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,agonus cataphractus Aquamaps Native 2050 Raster
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 35655568-e260-4d37-bb04-d4c1acde491d,2099-12-31T23:59:59-01:00,Result Product Identifier 35655568-e260-4d37-bb04-d4c1acde491d,"This Anampses caeruleopunctatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-24T15:01:18.984979,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,35655568-e260-4d37-bb04-d4c1acde491d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/35655568-e260-4d37-bb04-d4c1acde491d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Anampses caeruleopunctatus
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product afee5c30-1bed-48e0-aa9e-d739a3e90ee3,2099-12-31T23:59:59-01:00,Result Product Revision Identifier dce9644e-f264-4bea-951e-bd15588da0e4,"This Alcockia Rostrata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T21:02:02.491835,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,dce9644e-f264-4bea-951e-bd15588da0e4,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/dce9644e-f264-4bea-951e-bd15588da0e4,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Alcockia Rostrata Aquamaps Native Raster
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 9b886c89-9e6b-4123-8085-7ebe23dff5a8,2099-12-31T23:59:59-01:00,Result Product Identifier 9b886c89-9e6b-4123-8085-7ebe23dff5a8,"This Amblyeleotris Ogasawarensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T23:11:57.188957,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,9b886c89-9e6b-4123-8085-7ebe23dff5a8,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9b886c89-9e6b-4123-8085-7ebe23dff5a8,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Amblyeleotris Ogasawarensis Aquamaps Native Raster
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product fd515f95-2dcf-40e6-a803-07db374c0189,2099-12-31T23:59:59-01:00,Result Product Name amblyraja-radiata,"This Amblyraja radiata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-25T07:52:07.711205,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,amblyraja-radiata,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/amblyraja-radiata,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,Amblyraja radiata
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product bb097445-ea69-4512-940d-ef8276763523,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 043c3f9f-8df6-4510-971d-18117605838b,"This anarchias galapagensis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T01:16:39.788102,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,043c3f9f-8df6-4510-971d-18117605838b,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/043c3f9f-8df6-4510-971d-18117605838b,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,anarchias galapagensis Aquamaps Native 2050 Raster
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product 85f31e60-149e-4086-baa1-320b42a7eec2,2099-12-31T23:59:59-01:00,Result Product Identifier 85f31e60-149e-4086-baa1-320b42a7eec2,"This Anchoviella Perfasciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T10:39:29.791244,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,85f31e60-149e-4086-baa1-320b42a7eec2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/85f31e60-149e-4086-baa1-320b42a7eec2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Anchoviella Perfasciata Aquamaps Native Raster
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,SimpleLinkEntity,1901-01-01T00:0000-01:00,Result Product ab0e7ce0-6186-44d0-9a99-79151be5a16b,2099-12-31T23:59:59-01:00,Result Product Name acanthohaustorius-shoemakeri1,"This Acanthohaustorius shoemakeri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-26T07:51:26.921993,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,acanthohaustorius-shoemakeri1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthohaustorius-shoemakeri1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,Acanthohaustorius shoemakeri
