is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,anacanthobatis marmoratus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product ef21a907-c025-4f74-a345-89dc3f9c3588,string,2099-12-31T23:59:59-01:00,"This anacanthobatis marmoratus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier e81dc769-3e63-43e6-b88e-b7c8212cebd3,2017-12-03T21:59:31.612590,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,e81dc769-3e63-43e6-b88e-b7c8212cebd3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/e81dc769-3e63-43e6-b88e-b7c8212cebd3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alepocephalus tenebrosus,1901-01-01T00:0000-01:00,Result Product 64d64fa6-dbac-44d7-b6b4-4d18ee677a56,string,2099-12-31T23:59:59-01:00,"This Alepocephalus tenebrosus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 64d64fa6-dbac-44d7-b6b4-4d18ee677a56,2017-12-24T20:18:11.364951,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,64d64fa6-dbac-44d7-b6b4-4d18ee677a56,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/64d64fa6-dbac-44d7-b6b4-4d18ee677a56,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,anampses elegans Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product d0e77c0f-80d1-4120-bd9d-c186cdccef98,string,2099-12-31T23:59:59-01:00,"This anampses elegans Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier a1a8a195-64a4-4d23-ad64-44b847763aba,2017-11-24T15:23:07.160517,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,a1a8a195-64a4-4d23-ad64-44b847763aba,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/a1a8a195-64a4-4d23-ad64-44b847763aba,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,aequipecten opercularis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 6f854d49-8252-4362-af99-7f645809d352,string,2099-12-31T23:59:59-01:00,"This aequipecten opercularis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 6f854d49-8252-4362-af99-7f645809d352,2017-11-26T13:54:09.557364,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,6f854d49-8252-4362-af99-7f645809d352,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/6f854d49-8252-4362-af99-7f645809d352,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthacaris tenuimana,1901-01-01T00:0000-01:00,Result Product 36fd3fda-01b5-4b4b-9dc8-63376f3a215b,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthacaris tenuimana Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 36fd3fda-01b5-4b4b-9dc8-63376f3a215b,2017-11-26T00:13:01.114596,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,36fd3fda-01b5-4b4b-9dc8-63376f3a215b,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/36fd3fda-01b5-4b4b-9dc8-63376f3a215b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amphipholis squamata,1901-01-01T00:0000-01:00,Result Product 08545509-3b43-470a-954e-dd807de75b26,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Amphipholis squamata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name amphipholis-squamata2,2017-11-25T23:29:10.786440,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,amphipholis-squamata2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/amphipholis-squamata2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acantholabrus palloni,1901-01-01T00:0000-01:00,Result Product c2223104-5eb0-4204-864b-f6fb1574fd1e,string,2099-12-31T23:59:59-01:00,"This Acantholabrus palloni Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier c2223104-5eb0-4204-864b-f6fb1574fd1e,2017-11-29T03:30:56.924992,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,c2223104-5eb0-4204-864b-f6fb1574fd1e,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/c2223104-5eb0-4204-864b-f6fb1574fd1e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-25T19:55:57.014312,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anodontostoma chacunda,1901-01-01T00:0000-01:00,Result Product bbe5b9be-36dc-4d5b-8b46-dd911a579051,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Anodontostoma chacunda Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier bbe5b9be-36dc-4d5b-8b46-dd911a579051,2017-11-25T10:57:35.454445,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,bbe5b9be-36dc-4d5b-8b46-dd911a579051,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/bbe5b9be-36dc-4d5b-8b46-dd911a579051,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus Nubilus Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 203f0b9f-beec-4d5a-ac65-5d0d32bcb143,string,2099-12-31T23:59:59-01:00,"This Acanthurus Nubilus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier c47e0312-f88a-437c-9afb-170beda8080d,2017-11-25T00:20:14.099346,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,c47e0312-f88a-437c-9afb-170beda8080d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c47e0312-f88a-437c-9afb-170beda8080d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,adamnestia arachis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product ac994bcd-0197-47c0-9e77-72e70c4f3aee,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This adamnestia arachis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier ac994bcd-0197-47c0-9e77-72e70c4f3aee,2017-11-30T00:50:14.668948,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,ac994bcd-0197-47c0-9e77-72e70c4f3aee,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/ac994bcd-0197-47c0-9e77-72e70c4f3aee,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
