is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-30T11:57:17.636401,Person,Classification,2099-12-31T23:59:59-01:00,Aetea Anguina Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product bc58204e-b732-42a0-af69-20a6ae9fbdf8,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aetea Anguina Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name aetea-anguina-aquamaps-native-raster,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,aetea-anguina-aquamaps-native-raster,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/aetea-anguina-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T02:06:11.935541,Person,Classification,2099-12-31T23:59:59-01:00,acanthopleura spinosa Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 0329cc35-2e8c-477b-b81a-7fe411893ad2,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This acanthopleura spinosa Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthopleura-spinosa-aquamaps-native-2050-raster,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,acanthopleura-spinosa-aquamaps-native-2050-raster,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthopleura-spinosa-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T18:45:43.836260,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus nonalter,1901-01-01T00:0000-01:00,Result Product e059bcdf-3779-48f3-9ee2-8b853c138d76,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus nonalter Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier e059bcdf-3779-48f3-9ee2-8b853c138d76,FullLinkEntity,Classification,FullLinkEntity,Product,Classification,Classification,FederatedIdentifier,e059bcdf-3779-48f3-9ee2-8b853c138d76,PersonName,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/e059bcdf-3779-48f3-9ee2-8b853c138d76,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T16:44:58.238779,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Aculeola nigra,1901-01-01T00:0000-01:00,Result Product 9d2c8779-57b1-4530-b1d4-dd923b302188,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aculeola nigra Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 9d2c8779-57b1-4530-b1d4-dd923b302188,SimpleLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,FederatedIdentifier,9d2c8779-57b1-4530-b1d4-dd923b302188,PersonName,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9d2c8779-57b1-4530-b1d4-dd923b302188,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T20:38:32.805814,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus serenei,1901-01-01T00:0000-01:00,Result Product b91f9893-a535-4ba2-83bc-c362f30c2301,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus serenei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 92eb6eeb-d0d4-477e-bd33-70b3fe231f15,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,92eb6eeb-d0d4-477e-bd33-70b3fe231f15,PersonName,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/92eb6eeb-d0d4-477e-bd33-70b3fe231f15,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T23:20:55.278506,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf luridus,1901-01-01T00:0000-01:00,Result Product 63290acb-244f-490a-b7c1-6eae44a5bc5c,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abudefduf luridus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier a0a57d43-453c-459f-94e3-caa9992808c1,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,a0a57d43-453c-459f-94e3-caa9992808c1,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/a0a57d43-453c-459f-94e3-caa9992808c1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T09:03:51.987367,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Agnezia glaciata,1901-01-01T00:0000-01:00,Result Product 9c711c10-9979-42de-956b-d51540a28806,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Agnezia glaciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name agnezia-glaciata,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,agnezia-glaciata,PersonName,bb,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/agnezia-glaciata,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T06:14:00.611883,Publication,Classification,2099-12-31T23:59:59-01:00,Agaricia lamarcki,1901-01-01T00:0000-01:00,Result Product d62615d3-3f38-41dd-b0bf-6279de7254ae,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Agaricia lamarcki Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ca7e3356-be75-4cfb-9fac-04cef3cb3cf2,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,ca7e3356-be75-4cfb-9fac-04cef3cb3cf2,PersonName,bb,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ca7e3356-be75-4cfb-9fac-04cef3cb3cf2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T07:39:28.157273,Person,Classification,2099-12-31T23:59:59-01:00,Aluterus monoceros,1901-01-01T00:0000-01:00,Result Product adf56990-13e2-422a-bae8-a7b59d72de5f,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aluterus monoceros Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 704f63d2-ed4f-4c2e-b865-1677e9893ec1,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,string,704f63d2-ed4f-4c2e-b865-1677e9893ec1,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/704f63d2-ed4f-4c2e-b865-1677e9893ec1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-28T20:42:47.376390,Publication,Classification,2099-12-31T23:59:59-01:00,Anadara diluvii,1901-01-01T00:0000-01:00,Result Product 687a56da-7b93-4761-a8cd-5265612f241e,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Anadara diluvii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 687a56da-7b93-4761-a8cd-5265612f241e,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,687a56da-7b93-4761-a8cd-5265612f241e,PersonName,bb,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/687a56da-7b93-4761-a8cd-5265612f241e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T19:31:11.146395,Person,Classification,2099-12-31T23:59:59-01:00,Acropora sarmentosa,1901-01-01T00:0000-01:00,Result Product 866a9378-b926-4104-b1d7-e2a2f9ca8558,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acropora sarmentosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acropora-sarmentosa1,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,acropora-sarmentosa1,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acropora-sarmentosa1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T23:01:27.661413,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acentrogobius Audax Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product f409d91f-2a14-4e82-9d8c-b56d0597ea3b,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acentrogobius Audax Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier f409d91f-2a14-4e82-9d8c-b56d0597ea3b,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,f409d91f-2a14-4e82-9d8c-b56d0597ea3b,ElectronicAddress,bb,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/f409d91f-2a14-4e82-9d8c-b56d0597ea3b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-03T11:25:49.854594,Publication,Classification,2099-12-31T23:59:59-01:00,Abudefduf septemfasciatus,1901-01-01T00:0000-01:00,Result Product f067f7bf-5b14-4056-877b-76ec622b1bc3,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abudefduf septemfasciatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier f067f7bf-5b14-4056-877b-76ec622b1bc3,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,f067f7bf-5b14-4056-877b-76ec622b1bc3,PersonName,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/f067f7bf-5b14-4056-877b-76ec622b1bc3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-17T12:18:12.009588,Person,Classification,2099-12-31T23:59:59-01:00,Ambassis miops,1901-01-01T00:0000-01:00,Result Product 4ce3fda2-ad53-4b8d-8ee0-1eae5e6721b3,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ambassis miops Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ambassis-miops2,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,ambassis-miops2,PersonName,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ambassis-miops2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T04:48:52.752061,Person,Classification,2099-12-31T23:59:59-01:00,Abyssocottus gibbosus,1901-01-01T00:0000-01:00,Result Product 444b82d5-60be-42d6-9ded-be2e8ea81d12,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abyssocottus gibbosus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier af8222af-3857-4b4d-a5b9-0ce5a6b3d61a,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,FederatedIdentifier,af8222af-3857-4b4d-a5b9-0ce5a6b3d61a,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/af8222af-3857-4b4d-a5b9-0ce5a6b3d61a,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T11:05:11.887210,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthurus chirurgus,1901-01-01T00:0000-01:00,Result Product 53278933-a468-48e0-8249-bd72a63a97b9,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthurus chirurgus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 25306811-5dfa-4d65-a3ab-43a159ab4e77,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,25306811-5dfa-4d65-a3ab-43a159ab4e77,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/25306811-5dfa-4d65-a3ab-43a159ab4e77,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
