is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus grammoptilus,1901-01-01T00:0000-01:00,Result Product f2632f6e-8f7f-40f0-952c-6eef9cd19811,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthurus grammoptilus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-grammoptilus2,2017-11-26T12:18:39.502894,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,acanthurus-grammoptilus2,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-grammoptilus2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ampelisca Abdita Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 8fedfd39-5cf9-446c-a370-b54814242845,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ampelisca Abdita Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 8fedfd39-5cf9-446c-a370-b54814242845,2017-12-01T04:42:18.471630,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,string,8fedfd39-5cf9-446c-a370-b54814242845,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8fedfd39-5cf9-446c-a370-b54814242845,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aetomylaeus vespertilio,1901-01-01T00:0000-01:00,Result Product f98986eb-6ff5-4eba-9e36-c65b0f619b66,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aetomylaeus vespertilio Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d95cd829-85fc-4b27-a7a5-5c69c516b042,2017-12-01T02:58:45.364531,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,d95cd829-85fc-4b27-a7a5-5c69c516b042,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d95cd829-85fc-4b27-a7a5-5c69c516b042,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amaryllis kamata,1901-01-01T00:0000-01:00,Result Product fd7ee4b7-0a6f-441e-b94c-21e9f06fb830,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amaryllis kamata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 0fd9ab60-b058-46e5-bd27-e8f992a1e0c5,2017-12-22T22:24:25.279210,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,0fd9ab60-b058-46e5-bd27-e8f992a1e0c5,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/0fd9ab60-b058-46e5-bd27-e8f992a1e0c5,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,alpheus serenei Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product acdcbe8e-a0fb-405b-abd1-902d6b28c6a4,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This alpheus serenei Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier acdcbe8e-a0fb-405b-abd1-902d6b28c6a4,2017-11-26T09:42:33.320409,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,acdcbe8e-a0fb-405b-abd1-902d6b28c6a4,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/acdcbe8e-a0fb-405b-abd1-902d6b28c6a4,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Aequorea aequorea,1901-01-01T00:0000-01:00,Result Product f7139ed1-d28a-4d2b-ae7b-3a0baee39cae,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aequorea aequorea Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 35daad4d-d2de-4cfe-b376-635bab006694,2017-11-24T16:45:36.473973,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,35daad4d-d2de-4cfe-b376-635bab006694,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/35daad4d-d2de-4cfe-b376-635bab006694,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Ammothea Magniceps Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 6dc81b04-81ef-4750-a845-f0f858a430bf,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ammothea Magniceps Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ammothea-magniceps-aquamaps-native-raster,2017-11-26T05:03:56.477287,Classification,FullLinkEntity,Product,FullLinkEntity,Classification,string,ammothea-magniceps-aquamaps-native-raster,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/ammothea-magniceps-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,albula oligolepis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product c393d4da-7362-4709-b644-030569caabd9,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This albula oligolepis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name albula-oligolepis-aquamaps-native-2050-raster,2017-11-26T01:36:38.543693,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,albula-oligolepis-aquamaps-native-2050-raster,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/albula-oligolepis-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alticus monochrus,1901-01-01T00:0000-01:00,Result Product bc19bc0a-c3ef-4299-9f17-fd1b63f8a500,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alticus monochrus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier bc19bc0a-c3ef-4299-9f17-fd1b63f8a500,2017-11-25T02:33:10.657045,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,bc19bc0a-c3ef-4299-9f17-fd1b63f8a500,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/bc19bc0a-c3ef-4299-9f17-fd1b63f8a500,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
2017-12-16T15:44:53.443087,SimpleLinkEntity,OrganisationUnit,string,2099-12-31T23:59:59-01:00,acropora brueggemanni Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 7814d9df-472e-45b8-b7a5-105ad6f85955,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This acropora brueggemanni Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acropora-brueggemanni-aquamaps-native-2050-raster,2017-11-24T17:48:54.873103,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,string,acropora-brueggemanni-aquamaps-native-2050-raster,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acropora-brueggemanni-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
