is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-24T13:32:52.100834,Person,Classification,2099-12-31T23:59:59-01:00,Anguilla reinhardtii,1901-01-01T00:0000-01:00,Result Product c51b649f-4113-4160-8565-e23b610820cf,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Anguilla reinhardtii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier c51b649f-4113-4160-8565-e23b610820cf,FullLinkEntity,Classification,FullLinkEntity,Product,Classification,Classification,2099-12-31T23:59:59-01:00,c51b649f-4113-4160-8565-e23b610820cf,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/c51b649f-4113-4160-8565-e23b610820cf,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T18:59:27.165852,Person,Classification,2099-12-31T23:59:59-01:00,Alphestes afer,1901-01-01T00:0000-01:00,Result Product 1b37ee55-47d4-49ed-94ba-fd3f9b4f1406,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alphestes afer Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alphestes-afer2,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,alphestes-afer2,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/alphestes-afer2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T06:11:02.487892,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf Bengalensis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product a65f7c29-ee31-4111-88c1-41ec32ce19f1,string,2099-12-31T23:59:59-01:00,"This Abudefduf Bengalensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier a65f7c29-ee31-4111-88c1-41ec32ce19f1,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,a65f7c29-ee31-4111-88c1-41ec32ce19f1,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/a65f7c29-ee31-4111-88c1-41ec32ce19f1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T00:56:18.818197,Person,Classification,2099-12-31T23:59:59-01:00,Anadara Antiquata Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 1efc1941-be7f-4880-9b08-0a153450f8e9,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Anadara Antiquata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 1efc1941-be7f-4880-9b08-0a153450f8e9,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,1efc1941-be7f-4880-9b08-0a153450f8e9,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/1efc1941-be7f-4880-9b08-0a153450f8e9,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T02:08:42.279317,Person,Classification,2099-12-31T23:59:59-01:00,Amblyeleotris Wheeleri Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product de1ea1c8-0205-4fea-966c-d86ce765ef6c,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Amblyeleotris Wheeleri Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier de1ea1c8-0205-4fea-966c-d86ce765ef6c,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,de1ea1c8-0205-4fea-966c-d86ce765ef6c,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/de1ea1c8-0205-4fea-966c-d86ce765ef6c,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T06:54:20.121607,Person,Classification,2099-12-31T23:59:59-01:00,Aldrovandia Phalacra Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 1305d77f-0237-4f78-b6c3-13350b8a682d,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Aldrovandia Phalacra Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier f399b264-c9ed-415c-9c2d-776671f2a325,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,f399b264-c9ed-415c-9c2d-776671f2a325,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/f399b264-c9ed-415c-9c2d-776671f2a325,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-24T02:36:20.066916,Person,Classification,2099-12-31T23:59:59-01:00,alloeocarpa incrustans Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 8cf465ca-66de-489b-9569-4724ff978d3e,string,2099-12-31T23:59:59-01:00,"This alloeocarpa incrustans Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 8cf465ca-66de-489b-9569-4724ff978d3e,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,8cf465ca-66de-489b-9569-4724ff978d3e,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8cf465ca-66de-489b-9569-4724ff978d3e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T12:42:32.118262,Publication,Classification,2099-12-31T23:59:59-01:00,Alosa Alosa Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 0baaffaf-78aa-40a2-8f2e-6673285b1cfa,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alosa Alosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alosa-alosa-aquamaps-native-raster,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,alosa-alosa-aquamaps-native-raster,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alosa-alosa-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:49:24.151359,Person,Classification,2099-12-31T23:59:59-01:00,Ambassis Natalensis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 2898ce3c-2552-4148-b127-0590bbee6bee,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Ambassis Natalensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name ambassis-natalensis-aquamaps-native-raster,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ambassis-natalensis-aquamaps-native-raster,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/ambassis-natalensis-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T05:44:59.584113,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Aega deshaysiana,1901-01-01T00:0000-01:00,Result Product 7ead9180-3ca9-483c-a7cd-2194160ca3ba,string,2099-12-31T23:59:59-01:00,"This Aega deshaysiana Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 7ead9180-3ca9-483c-a7cd-2194160ca3ba,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,7ead9180-3ca9-483c-a7cd-2194160ca3ba,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/7ead9180-3ca9-483c-a7cd-2194160ca3ba,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
