is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,aldrovandia affinis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product a25679b2-b5b5-452f-ae16-d403e538ed67,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This aldrovandia affinis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name aldrovandia-affinis-aquamaps-native-2050-raster,2017-11-25T07:16:45.324846,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,aldrovandia-affinis-aquamaps-native-2050-raster,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/aldrovandia-affinis-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Aetobatus narinari,1901-01-01T00:0000-01:00,Result Product 361876ca-461c-4173-92de-b586b7970915,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aetobatus narinari Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name aetobatus-narinari3,2017-11-25T02:18:46.710649,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,aetobatus-narinari3,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/aetobatus-narinari3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Ambassis kopsii,1901-01-01T00:0000-01:00,Result Product 7e259fc6-5b4f-44bf-ba4e-8463c3718971,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Ambassis kopsii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier c4bbfb93-c47c-4591-bbe6-d996f145e8ae,2017-12-24T21:36:35.174317,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,c4bbfb93-c47c-4591-bbe6-d996f145e8ae,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/c4bbfb93-c47c-4591-bbe6-d996f145e8ae,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Amphiprion chrysopterus,1901-01-01T00:0000-01:00,Result Product 64026e63-905d-4fe6-a3e8-ba75f1f4ca21,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amphiprion chrysopterus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 3ebd338c-1c93-4e0d-9def-586e50adc6ad,2017-11-26T01:40:02.339987,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,string,3ebd338c-1c93-4e0d-9def-586e50adc6ad,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/3ebd338c-1c93-4e0d-9def-586e50adc6ad,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,albatrossia pectoralis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product d642bf73-0562-4147-889a-477bc764bd93,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This albatrossia pectoralis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d06e7b0f-fc4a-4337-8b40-13ed6e205114,2017-11-25T05:17:25.951459,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,d06e7b0f-fc4a-4337-8b40-13ed6e205114,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d06e7b0f-fc4a-4337-8b40-13ed6e205114,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthopagrus latus,1901-01-01T00:0000-01:00,Result Product 958c6c31-5e7b-45d6-b0f2-e98a0fb5ce00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthopagrus latus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthopagrus-latus2,2017-11-25T20:47:40.926787,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,acanthopagrus-latus2,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthopagrus-latus2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthochitona Fascicularis Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product d244f57c-92ce-430f-aea2-dba9a005e607,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthochitona Fascicularis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier b390aa4b-4d07-424e-811a-24e93cef3d56,2017-11-25T16:07:35.855895,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,b390aa4b-4d07-424e-811a-24e93cef3d56,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/b390aa4b-4d07-424e-811a-24e93cef3d56,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alticus Saliens Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 73a177f9-2205-4453-9db1-4d79364a99a6,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alticus Saliens Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 9712ecb5-59d2-4426-b17c-d6f6a5e573bd,2017-11-24T18:17:10.903409,Classification,FullLinkEntity,Product,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,9712ecb5-59d2-4426-b17c-d6f6a5e573bd,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/9712ecb5-59d2-4426-b17c-d6f6a5e573bd,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alosa sapidissima,1901-01-01T00:0000-01:00,Result Product 33c5da64-89bf-4612-ac0a-55bd6758bc77,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alosa sapidissima Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alosa-sapidissima,2017-11-26T10:27:34.893718,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,FederatedIdentifier,alosa-sapidissima,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alosa-sapidissima,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Alosa Mediocris Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 6cf37a62-3f80-4aee-a134-736d2f39ff3a,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alosa Mediocris Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alosa-mediocris-aquamaps-native-raster,2017-11-25T03:25:13.398527,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,alosa-mediocris-aquamaps-native-raster,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alosa-mediocris-aquamaps-native-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
