is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abralia andamanica,1901-01-01T00:0000-01:00,Result Product c35acfa4-2ff7-4a4a-8817-9d59488ce551,string,2099-12-31T23:59:59-01:00,"This Abralia andamanica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name abralia-andamanica,2017-11-26T11:25:10.589095,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,abralia-andamanica,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/abralia-andamanica,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthurus auranticavus,1901-01-01T00:0000-01:00,Result Product f658559a-5420-4c56-8c30-bdd29573dbcf,string,2099-12-31T23:59:59-01:00,"This Acanthurus auranticavus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 50cc3fef-126e-4a7c-a47a-b51c13c3026f,2017-11-25T06:03:06.815946,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,50cc3fef-126e-4a7c-a47a-b51c13c3026f,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/50cc3fef-126e-4a7c-a47a-b51c13c3026f,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anchovia macrolepidota,1901-01-01T00:0000-01:00,Result Product db0736da-5146-4af8-8f93-cddf01d6dee7,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Anchovia macrolepidota Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name anchovia-macrolepidota1,2017-12-24T22:29:58.227719,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,anchovia-macrolepidota1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anchovia-macrolepidota1,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,aldrichetta forsteri Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 4e6ef50d-ba74-409a-bb06-b017a0061806,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This aldrichetta forsteri Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 4e6ef50d-ba74-409a-bb06-b017a0061806,2017-11-26T08:05:22.606222,Classification,FullLinkEntity,Medium,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,4e6ef50d-ba74-409a-bb06-b017a0061806,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/4e6ef50d-ba74-409a-bb06-b017a0061806,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthurus achilles,1901-01-01T00:0000-01:00,Result Product d06f69b8-d663-4e77-a5ab-8349038c1536,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthurus achilles Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthurus-achilles1,2017-11-26T12:54:48.009779,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,acanthurus-achilles1,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acanthurus-achilles1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Allocyttus verrucosus,1901-01-01T00:0000-01:00,Result Product 2e5e7857-ca79-4d25-8a2c-ff2d6603d051,string,2099-12-31T23:59:59-01:00,"This Allocyttus verrucosus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name allocyttus-verrucosus2,2017-11-26T01:08:39.936230,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,allocyttus-verrucosus2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/allocyttus-verrucosus2,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,alepocephalus triangularis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 39ef7201-be85-45f9-ba0e-fdeb8bf934c7,string,2099-12-31T23:59:59-01:00,"This alepocephalus triangularis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alepocephalus-triangularis-aquamaps-native-2050-raster,2017-11-24T15:10:04.506370,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,alepocephalus-triangularis-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alepocephalus-triangularis-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthocardia paucicostata,1901-01-01T00:0000-01:00,Result Product 56f571f8-6a23-4e22-b8d5-38d4cc3f6792,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthocardia paucicostata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 56f571f8-6a23-4e22-b8d5-38d4cc3f6792,2017-11-29T13:47:58.563860,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,56f571f8-6a23-4e22-b8d5-38d4cc3f6792,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/56f571f8-6a23-4e22-b8d5-38d4cc3f6792,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anchoa starksi,1901-01-01T00:0000-01:00,Result Product 8f2af2f1-e7bf-45af-93ae-a6eca32fa500,string,2099-12-31T23:59:59-01:00,"This Anchoa starksi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name anchoa-starksi3,2017-11-25T12:57:29.101541,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,anchoa-starksi3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/anchoa-starksi3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthaluteres vittiger,1901-01-01T00:0000-01:00,Result Product 7764f220-5a43-4f0b-9eb2-37351212eb61,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Acanthaluteres vittiger Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 200a24f5-4d48-4d68-8ece-1656e16979d8,2017-11-25T00:28:06.435190,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,200a24f5-4d48-4d68-8ece-1656e16979d8,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/200a24f5-4d48-4d68-8ece-1656e16979d8,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
