is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,has_identifier_has_id_value,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_destination_of_has_source_has_identifier_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
2017-11-30T02:36:52.950175,2017-11-25T21:02:49.754220,Person,string,2099-12-31T23:59:59-01:00,Anodontia edentula,1901-01-01T00:0000-01:00,Result Product 8ff00d58-bb16-4f40-a1da-4d64d9f32172,8ff00d58-bb16-4f40-a1da-4d64d9f32172,2099-12-31T23:59:59-01:00,"This Anodontia edentula Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 8ff00d58-bb16-4f40-a1da-4d64d9f32172,SimpleLinkEntity,Classification,FullLinkEntity,string,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8ff00d58-bb16-4f40-a1da-4d64d9f32172,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T14:51:48.885773,Person,Classification,2099-12-31T23:59:59-01:00,Acipenser sturio,1901-01-01T00:0000-01:00,Result Product 90a6c5e9-82ce-4dd2-a296-bf7fb260186c,acipenser-sturio,2099-12-31T23:59:59-01:00,"This Acipenser sturio Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acipenser-sturio,FullLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/acipenser-sturio,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T22:44:23.018935,Person,Classification,2099-12-31T23:59:59-01:00,Acanthemblemaria exilispinus,1901-01-01T00:0000-01:00,Result Product c04aae86-bb2d-4223-822b-eeb1b4c9bd22,f3ca0bb6-5277-453e-a33b-a72cbe55f6b3,2099-12-31T23:59:59-01:00,"This Acanthemblemaria exilispinus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier f3ca0bb6-5277-453e-a33b-a72cbe55f6b3,SimpleLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/f3ca0bb6-5277-453e-a33b-a72cbe55f6b3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
2017-11-30T14:51:45.380000,2017-11-26T11:03:22.576014,Person,string,2099-12-31T23:59:59-01:00,Alloeocarpa incrustans,1901-01-01T00:0000-01:00,Result Product c5fc7c04-a82a-4a27-9236-ca0f07e8b9f6,04ee7797-80ce-41df-ac8e-d9768ddbf96d,2099-12-31T23:59:59-01:00,"This Alloeocarpa incrustans Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 04ee7797-80ce-41df-ac8e-d9768ddbf96d,SimpleLinkEntity,Classification,FullLinkEntity,string,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/04ee7797-80ce-41df-ac8e-d9768ddbf96d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T06:17:53.012517,Person,Classification,2099-12-31T23:59:59-01:00,Ammodytes marinus,1901-01-01T00:0000-01:00,Result Product c6616ae3-4c17-44e0-993d-93a25163f24f,3a25c302-51c5-4502-a98e-75b51e69137b,2099-12-31T23:59:59-01:00,"This Ammodytes marinus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 3a25c302-51c5-4502-a98e-75b51e69137b,FullLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/3a25c302-51c5-4502-a98e-75b51e69137b,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T13:45:45.366050,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf bengalensis,1901-01-01T00:0000-01:00,Result Product f4e924ea-59c1-4ec8-b148-5ef8aa92b14b,4e19d82a-8f13-4fdd-a3c5-4681d0154b75,2099-12-31T23:59:59-01:00,"This Abudefduf bengalensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 4e19d82a-8f13-4fdd-a3c5-4681d0154b75,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,bb,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/4e19d82a-8f13-4fdd-a3c5-4681d0154b75,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T01:14:40.548763,Person,Classification,2099-12-31T23:59:59-01:00,Ablabys taenianotus,1901-01-01T00:0000-01:00,Result Product fc7b5d44-b936-46dd-93c5-c5238b0a986e,fc7b5d44-b936-46dd-93c5-c5238b0a986e,2099-12-31T23:59:59-01:00,"This Ablabys taenianotus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier fc7b5d44-b936-46dd-93c5-c5238b0a986e,FullLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/fc7b5d44-b936-46dd-93c5-c5238b0a986e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T05:41:43.254377,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthopleura spinosa,1901-01-01T00:0000-01:00,Result Product 16becdec-aa27-4fa1-8c47-34b97b8c4947,16becdec-aa27-4fa1-8c47-34b97b8c4947,2099-12-31T23:59:59-01:00,"This Acanthopleura spinosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 16becdec-aa27-4fa1-8c47-34b97b8c4947,SimpleLinkEntity,Classification,FullLinkEntity,string,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,bb,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/16becdec-aa27-4fa1-8c47-34b97b8c4947,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:23:40.038759,Person,Classification,2099-12-31T23:59:59-01:00,Anarchias seychellensis,1901-01-01T00:0000-01:00,Result Product 78a0837b-4d1c-4387-99bf-61297c5f018f,1e5a3c9c-8c86-4482-9ec2-fd100e7c5b8f,2099-12-31T23:59:59-01:00,"This Anarchias seychellensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 1e5a3c9c-8c86-4482-9ec2-fd100e7c5b8f,FullLinkEntity,Classification,FullLinkEntity,string,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/1e5a3c9c-8c86-4482-9ec2-fd100e7c5b8f,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T00:46:15.672089,Person,Classification,2099-12-31T23:59:59-01:00,anchoa compressa Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 9ce99bd9-3b77-4044-8fa4-60b43e931456,9ce99bd9-3b77-4044-8fa4-60b43e931456,2099-12-31T23:59:59-01:00,"This anchoa compressa Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 9ce99bd9-3b77-4044-8fa4-60b43e931456,FullLinkEntity,Classification,FullLinkEntity,FederatedIdentifier,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,"iMarine Consortium,iMarine.eu",Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9ce99bd9-3b77-4044-8fa4-60b43e931456,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
