is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-12-03T04:25:44.332404,Person,Classification,2099-12-31T23:59:59-01:00,Aega antillensis,1901-01-01T00:0000-01:00,Result Product cbd6a9b3-2f48-4152-bb55-f1e6938bc57a,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Aega antillensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier cbd6a9b3-2f48-4152-bb55-f1e6938bc57a,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,string,cbd6a9b3-2f48-4152-bb55-f1e6938bc57a,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/cbd6a9b3-2f48-4152-bb55-f1e6938bc57a,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T09:00:44.324645,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Amarsipus carlsbergi,1901-01-01T00:0000-01:00,Result Product 59c66d23-c323-4119-b57b-6127d1c102ba,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Amarsipus carlsbergi Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 59c66d23-c323-4119-b57b-6127d1c102ba,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,59c66d23-c323-4119-b57b-6127d1c102ba,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/59c66d23-c323-4119-b57b-6127d1c102ba,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T16:24:53.706896,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthocepola limbata,1901-01-01T00:0000-01:00,Result Product d911de3c-3705-4e58-b794-590e649f49ff,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acanthocepola limbata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier d911de3c-3705-4e58-b794-590e649f49ff,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,d911de3c-3705-4e58-b794-590e649f49ff,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/d911de3c-3705-4e58-b794-590e649f49ff,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T20:37:32.099574,Person,Classification,2099-12-31T23:59:59-01:00,Acropora Latistella Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 51802e08-ebc5-44e8-929f-92499aa02960,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acropora Latistella Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 51802e08-ebc5-44e8-929f-92499aa02960,SimpleLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,string,51802e08-ebc5-44e8-929f-92499aa02960,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/51802e08-ebc5-44e8-929f-92499aa02960,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T21:22:05.431106,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus serenei,1901-01-01T00:0000-01:00,Result Product e477c5a1-ee2e-4fa3-9a45-3285a0fa1932,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Alpheus serenei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alpheus-serenei3,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,alpheus-serenei3,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/alpheus-serenei3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T10:03:14.841080,Publication,Classification,2099-12-31T23:59:59-01:00,alosa pseudoharengus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 902d2f63-689d-4e20-88ad-1d44e67dd269,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This alosa pseudoharengus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d7070705-13a9-420a-a9d8-bcd0673d8727,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,d7070705-13a9-420a-a9d8-bcd0673d8727,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d7070705-13a9-420a-a9d8-bcd0673d8727,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T17:39:17.334862,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,acetes japonicus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 771166e3-ad02-408d-98f6-0e6e721e56ae,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This acetes japonicus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acetes-japonicus-aquamaps-native-2050-raster,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,acetes-japonicus-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/acetes-japonicus-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T23:29:03.357254,Person,Classification,2099-12-31T23:59:59-01:00,Acyrtus rubiginosus,1901-01-01T00:0000-01:00,Result Product 8a3efe69-231b-48eb-af5d-6dd400ee0255,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Acyrtus rubiginosus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 8a3efe69-231b-48eb-af5d-6dd400ee0255,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,8a3efe69-231b-48eb-af5d-6dd400ee0255,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8a3efe69-231b-48eb-af5d-6dd400ee0255,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T10:25:52.322360,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,ammodytes americanus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 976676f6-d32d-4bbc-aa46-96bbf410aca6,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This ammodytes americanus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 976676f6-d32d-4bbc-aa46-96bbf410aca6,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,FederatedIdentifier,976676f6-d32d-4bbc-aa46-96bbf410aca6,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/976676f6-d32d-4bbc-aa46-96bbf410aca6,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T19:18:31.803704,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf Declivifrons Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 876ff061-65b2-432a-9c36-339473ad91da,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,"This Abudefduf Declivifrons Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d372ae5f-8747-4f20-9869-04cad1ec8d9e,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,string,d372ae5f-8747-4f20-9869-04cad1ec8d9e,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d372ae5f-8747-4f20-9869-04cad1ec8d9e,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
