is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_endDate,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_source_has_identifier_type,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_destination_has_name,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
2017-11-24T14:09:29.235228,2017-11-24T14:09:29.650060,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Amphiprion perideraion,1901-01-01T00:0000-01:00,Result Product 17a4be5a-16fc-44e2-a326-d8aaeaa02861,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ed4a53d3-e512-40bd-8b54-8e6c068a0f14,"This Amphiprion perideraion Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,ed4a53d3-e512-40bd-8b54-8e6c068a0f14,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ed4a53d3-e512-40bd-8b54-8e6c068a0f14,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T22:05:04.281691,Person,Classification,2099-12-31T23:59:59-01:00,Anchoa cubana,1901-01-01T00:0000-01:00,Result Product e3921ba3-88d2-4abc-9377-ab719b36c3cb,2099-12-31T23:59:59-01:00,Result Product Name anchoa-cubana,"This Anchoa cubana Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,string,anchoa-cubana,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anchoa-cubana,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-30T11:40:56.073750,Person,Classification,2099-12-31T23:59:59-01:00,Agnezia Glaciata Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 6d7a564d-d871-47ec-9c04-7e06d5725f92,2099-12-31T23:59:59-01:00,Result Product Identifier 6d7a564d-d871-47ec-9c04-7e06d5725f92,"This Agnezia Glaciata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,6d7a564d-d871-47ec-9c04-7e06d5725f92,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/6d7a564d-d871-47ec-9c04-7e06d5725f92,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T13:50:39.190559,Person,Classification,2099-12-31T23:59:59-01:00,acanthocepola krusensternii Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product dbfb2466-233e-444c-831a-2b0757bd7910,2099-12-31T23:59:59-01:00,Result Product Identifier dbfb2466-233e-444c-831a-2b0757bd7910,"This acanthocepola krusensternii Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,dbfb2466-233e-444c-831a-2b0757bd7910,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/dbfb2466-233e-444c-831a-2b0757bd7910,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T06:21:40.233717,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus Serenei Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 4c339a71-b665-417a-a7ca-9ec3ec27aef9,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 13abef62-838f-40f1-b980-297c4ed42db6,"This Alpheus Serenei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,FederatedIdentifier,13abef62-838f-40f1-b980-297c4ed42db6,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/13abef62-838f-40f1-b980-297c4ed42db6,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T02:40:47.447168,Publication,Classification,2099-12-31T23:59:59-01:00,Anomalocardia squamosa,1901-01-01T00:0000-01:00,Result Product b7f4c97a-40f8-4d57-8710-257ecf2d0680,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ab4961f7-46ab-4701-8880-d757bf16d68d,"This Anomalocardia squamosa Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,FederatedIdentifier,ab4961f7-46ab-4701-8880-d757bf16d68d,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ab4961f7-46ab-4701-8880-d757bf16d68d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T10:37:53.210502,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Adamnestia arachis,1901-01-01T00:0000-01:00,Result Product 4ce6ec27-9d26-4899-b4d8-3e2662458c1a,2099-12-31T23:59:59-01:00,Result Product Identifier 4ce6ec27-9d26-4899-b4d8-3e2662458c1a,"This Adamnestia arachis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,4ce6ec27-9d26-4899-b4d8-3e2662458c1a,PersonName,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/4ce6ec27-9d26-4899-b4d8-3e2662458c1a,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T08:04:49.766607,Person,Classification,2099-12-31T23:59:59-01:00,anisotremus scapularis Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 01f8ff43-1a6a-4500-a481-6713470c6dce,2099-12-31T23:59:59-01:00,Result Product Identifier 01f8ff43-1a6a-4500-a481-6713470c6dce,"This anisotremus scapularis Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,string,01f8ff43-1a6a-4500-a481-6713470c6dce,PersonName,"iMarine Consortium,iMarine.eu",Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/01f8ff43-1a6a-4500-a481-6713470c6dce,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T07:27:46.850488,Publication,Classification,2099-12-31T23:59:59-01:00,Alepes kleinii,1901-01-01T00:0000-01:00,Result Product 9fd6f417-9618-4ab6-9ca6-d75070090b56,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 8ce07ccf-5089-492f-a7e8-8c846988db03,"This Alepes kleinii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,8ce07ccf-5089-492f-a7e8-8c846988db03,ElectronicAddress,bb,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/8ce07ccf-5089-492f-a7e8-8c846988db03,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T12:30:34.566604,Publication,Classification,2099-12-31T23:59:59-01:00,Acanthurus gahhm,1901-01-01T00:0000-01:00,Result Product ae6115eb-f055-4aca-8875-13cc3df7eab4,2099-12-31T23:59:59-01:00,Result Product Identifier ae6115eb-f055-4aca-8875-13cc3df7eab4,"This Acanthurus gahhm Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,string,ae6115eb-f055-4aca-8875-13cc3df7eab4,PersonName,bb,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/ae6115eb-f055-4aca-8875-13cc3df7eab4,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
