is_source_of_has_startDate,has_identifier_is_source_of_has_startDate,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,is_source_of_type,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,2017-11-28T23:53:19.134652,Person,Classification,2099-12-31T23:59:59-01:00,Anadara nodifera,1901-01-01T00:0000-01:00,Result Product 21b5b860-43d3-400e-930c-8a3be8c1c902,FederatedIdentifier,Result Product Revision Identifier 19d15f44-a80f-494a-a9f3-278b98187b07,"This Anadara nodifera Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,19d15f44-a80f-494a-a9f3-278b98187b07,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/19d15f44-a80f-494a-a9f3-278b98187b07,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T09:09:05.874031,Person,Classification,2099-12-31T23:59:59-01:00,Abyssobrotula Galatheae Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product ed88b947-5754-4007-bcaf-d179bc9d296c,FederatedIdentifier,Result Product Revision Identifier b8e990a9-321b-4af7-91c3-e99619a96750,"This Abyssobrotula Galatheae Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,b8e990a9-321b-4af7-91c3-e99619a96750,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/b8e990a9-321b-4af7-91c3-e99619a96750,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-26T01:29:46.457318,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf taurus,1901-01-01T00:0000-01:00,Result Product d198defa-de9d-49a1-b250-e07be3d9c2e9,FederatedIdentifier,Result Product Revision Identifier 36b3e64d-ac6b-435e-818b-d4009a3724f5,"This Abudefduf taurus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,36b3e64d-ac6b-435e-818b-d4009a3724f5,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/36b3e64d-ac6b-435e-818b-d4009a3724f5,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-22T20:04:48.926600,Person,Classification,2099-12-31T23:59:59-01:00,abalistes stellatus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 0ca0eeb1-41fd-4b25-bbea-070461188521,string,Result Product Name abalistes-stellatus-aquamaps-native-2050-raster,"This abalistes stellatus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,abalistes-stellatus-aquamaps-native-2050-raster,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/abalistes-stellatus-aquamaps-native-2050-raster,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T06:35:14.306741,Person,Classification,2099-12-31T23:59:59-01:00,Acanthaster planci,1901-01-01T00:0000-01:00,Result Product 61972339-6c19-4910-89aa-f476aeebdfca,FederatedIdentifier,Result Product Identifier 61972339-6c19-4910-89aa-f476aeebdfca,"This Acanthaster planci Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,61972339-6c19-4910-89aa-f476aeebdfca,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/61972339-6c19-4910-89aa-f476aeebdfca,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-23T18:07:23.775178,Publication,Classification,2099-12-31T23:59:59-01:00,amaryllis keablei Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product cce904a9-5ec5-4e51-80f4-ef68268ad6db,FederatedIdentifier,Result Product Identifier cce904a9-5ec5-4e51-80f4-ef68268ad6db,"This amaryllis keablei Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,cce904a9-5ec5-4e51-80f4-ef68268ad6db,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/cce904a9-5ec5-4e51-80f4-ef68268ad6db,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-24T11:31:37.683642,Person,Classification,2099-12-31T23:59:59-01:00,Allocyttus folletti,1901-01-01T00:0000-01:00,Result Product d6e7ac9e-c4b0-48c8-a427-ef37fa3ab393,string,Result Product Name allocyttus-folletti,"This Allocyttus folletti Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,SimpleLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,allocyttus-folletti,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/allocyttus-folletti,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-12-16T11:55:39.470836,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alpheus edwardsii,1901-01-01T00:0000-01:00,Result Product 2efc416c-90f8-4df7-8279-94b00300da4d,string,Result Product Identifier 2efc416c-90f8-4df7-8279-94b00300da4d,"This Alpheus edwardsii Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,2efc416c-90f8-4df7-8279-94b00300da4d,ebc02b4a-f774-4e7e-afe1-d52ab93126de,ElectronicAddress,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/2efc416c-90f8-4df7-8279-94b00300da4d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-25T00:34:35.700647,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Abudefduf taurus,1901-01-01T00:0000-01:00,Result Product 1636b648-c353-498b-a1aa-545a7762d9cf,string,Result Product Name abudefduf-taurus2,"This Abudefduf taurus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,abudefduf-taurus2,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/abudefduf-taurus2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,2017-11-29T16:47:34.557725,Person,Classification,2099-12-31T23:59:59-01:00,Alpheus compressus,1901-01-01T00:0000-01:00,Result Product 3af92887-867e-492c-904a-e228d0946cbb,string,Result Product Identifier 3af92887-867e-492c-904a-e228d0946cbb,"This Alpheus compressus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,FullLinkEntity,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,3af92887-867e-492c-904a-e228d0946cbb,ebc02b4a-f774-4e7e-afe1-d52ab93126de,PersonName,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/3af92887-867e-492c-904a-e228d0946cbb,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
