is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_is_source_of_has_endDate,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_label,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_has_source_is_source_of_has_classification_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Alepes apercna,1901-01-01T00:0000-01:00,Result Product 2020ac00-42bc-4dbb-9af1-610c112a947a,string,2099-12-31T23:59:59-01:00,"This Alepes apercna Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 2020ac00-42bc-4dbb-9af1-610c112a947a,2017-12-22T20:39:07.153252,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,2020ac00-42bc-4dbb-9af1-610c112a947a,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/2020ac00-42bc-4dbb-9af1-610c112a947a,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf septemfasciatus,1901-01-01T00:0000-01:00,Result Product da088722-6c43-4d28-86ee-2b0db72d8bb5,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Abudefduf septemfasciatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier da088722-6c43-4d28-86ee-2b0db72d8bb5,2017-11-24T12:14:00.354773,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,da088722-6c43-4d28-86ee-2b0db72d8bb5,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/da088722-6c43-4d28-86ee-2b0db72d8bb5,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Alectrias alectrolophus,1901-01-01T00:0000-01:00,Result Product 273c2df8-cd67-4f30-8ed4-dbc120a71844,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This Alectrias alectrolophus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name alectrias-alectrolophus1,2017-11-30T06:22:51.428156,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,alectrias-alectrolophus1,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/alectrias-alectrolophus1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,acanthochromis polyacanthus Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 0a9547f3-edb0-4a1c-8421-692adc8922a8,FederatedIdentifier,2099-12-31T23:59:59-01:00,"This acanthochromis polyacanthus Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 3d37e346-727e-4e24-a3d0-1d074136d045,2017-11-30T13:47:09.863377,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,3d37e346-727e-4e24-a3d0-1d074136d045,ElectronicAddress,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/3d37e346-727e-4e24-a3d0-1d074136d045,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Acanthocardia aculeata,1901-01-01T00:0000-01:00,Result Product be2870ff-a5b8-4170-8ea7-4291b001f06a,string,2099-12-31T23:59:59-01:00,"This Acanthocardia aculeata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Name acanthocardia-aculeata3,2017-11-29T05:57:16.549947,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,acanthocardia-aculeata3,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductName/acanthocardia-aculeata3,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anisochromis kenyae,1901-01-01T00:0000-01:00,Result Product 9bdccb79-4d4f-4d81-928f-6c5ea6c80cec,string,2099-12-31T23:59:59-01:00,"This Anisochromis kenyae Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 9bdccb79-4d4f-4d81-928f-6c5ea6c80cec,2017-12-02T09:23:34.724120,Classification,FullLinkEntity,Measurement,FullLinkEntity,Classification,2099-12-31T23:59:59-01:00,9bdccb79-4d4f-4d81-928f-6c5ea6c80cec,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9bdccb79-4d4f-4d81-928f-6c5ea6c80cec,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Allothunnus Fallai Aquamaps Native Raster,1901-01-01T00:0000-01:00,Result Product 09a140c7-0560-472b-8ebc-afe7d3485308,string,2099-12-31T23:59:59-01:00,"This Allothunnus Fallai Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier ea4bdfe6-8b9a-40cc-a659-1c03a0049d25,2017-11-25T15:40:18.683013,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,ea4bdfe6-8b9a-40cc-a659-1c03a0049d25,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/ea4bdfe6-8b9a-40cc-a659-1c03a0049d25,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Akarotaxis nudiceps,1901-01-01T00:0000-01:00,Result Product 9ff2c0d8-365a-442d-aaba-a585dc388a17,string,2099-12-31T23:59:59-01:00,"This Akarotaxis nudiceps Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine.In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier 076c6e37-6a18-4b62-aba6-7aae931e028d,2017-11-24T17:56:10.403648,Classification,FullLinkEntity,Medium,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,076c6e37-6a18-4b62-aba6-7aae931e028d,PersonName,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/076c6e37-6a18-4b62-aba6-7aae931e028d,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Adelosebastes latens,1901-01-01T00:0000-01:00,Result Product 9bce0d1e-e338-484a-bb80-653fd02dca5d,string,2099-12-31T23:59:59-01:00,"This Adelosebastes latens Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Identifier 9bce0d1e-e338-484a-bb80-653fd02dca5d,2017-12-22T23:36:59.248897,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,9bce0d1e-e338-484a-bb80-653fd02dca5d,ElectronicAddress,Product,Classification,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductIdentifier/9bce0d1e-e338-484a-bb80-653fd02dca5d,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abietinella operculata,1901-01-01T00:0000-01:00,Result Product c117b5b7-a4f6-4e72-8f58-dff6e3982ab7,string,2099-12-31T23:59:59-01:00,"This Abietinella operculata Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable maps_SuitableRange dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,Result Product Revision Identifier d91305a3-f506-4afb-8629-682c58bb6f8f,2017-11-26T05:29:28.726323,Classification,FullLinkEntity,Measurement,LinkEntityWithProvisionOrderIPR,Classification,2099-12-31T23:59:59-01:00,d91305a3-f506-4afb-8629-682c58bb6f8f,PersonName,Product,Classification,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/d91305a3-f506-4afb-8629-682c58bb6f8f,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
