is_source_of_has_startDate,is_source_of_type,is_destination_of_has_source_type,is_source_of_has_classification_type,is_source_of_has_endDate,has_name,is_destination_of_has_startDate,label,is_destination_of_has_source_has_identifier_type,has_identifier_label,has_description,is_destination_of_has_source_is_source_of_has_startDate,is_destination_of_has_source_is_source_of_has_endDate,has_identifier_is_source_of_has_endDate,has_identifier_is_source_of_has_startDate,has_identifier_is_source_of_has_classification_type,is_destination_of_has_source_is_source_of_type,is_source_of_has_destination_type,is_destination_of_has_source_is_source_of_has_classification_type,is_destination_of_has_classification_type,is_destination_of_has_endDate,has_identifier_has_id_value,is_destination_of_has_source_is_source_of_has_destination_type,type,is_destination_of_type,has_identifier_type,has_identifier_has_URI,is_destination_of_has_source_has_identifier_has_URI,has_identifier_is_source_of_type
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Abudefduf abdominalis,1901-01-01T00:0000-01:00,Result Product 7c94326f-c191-44b3-a747-709c3b16cb45,FederatedIdentifier,Result Product Revision Identifier 738792d3-3f0c-4ee5-a632-be2e6edbf9c2,"This Abudefduf abdominalis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T06:59:58.251136,Classification,FullLinkEntity,Product,Classification,Classification,2099-12-31T23:59:59-01:00,738792d3-3f0c-4ee5-a632-be2e6edbf9c2,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/738792d3-3f0c-4ee5-a632-be2e6edbf9c2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anguilla megastoma,1901-01-01T00:0000-01:00,Result Product 49dbeb3a-bd7c-4e47-8eec-8541cc0a4cf2,string,Result Product Identifier 49dbeb3a-bd7c-4e47-8eec-8541cc0a4cf2,"This Anguilla megastoma Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-23T12:49:18.001282,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,49dbeb3a-bd7c-4e47-8eec-8541cc0a4cf2,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/49dbeb3a-bd7c-4e47-8eec-8541cc0a4cf2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,aluterus monoceros Aquamaps Native 2050 Raster,1901-01-01T00:0000-01:00,Result Product 4e71fd05-aebf-4411-b5c6-4b4539bf77bb,string,Result Product Revision Identifier b577802c-e965-4a22-9890-493fe619ca78,"This aluterus monoceros Species Distribution Map for 2050 has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using the AquaMaps NativeRange 2050 algorithm. Hosted on the D4Science Thredds CataSystem.out.println: http://thredds.d4science.org",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T19:49:50.496989,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,b577802c-e965-4a22-9890-493fe619ca78,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/b577802c-e965-4a22-9890-493fe619ca78,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Altolamprologus compressiceps,1901-01-01T00:0000-01:00,Result Product 3f0f84df-edc8-4562-88f2-1d0522bdd4be,FederatedIdentifier,Result Product Revision Identifier 610a0cd6-afcd-4820-9c05-3e4fc3499f1b,"This Altolamprologus compressiceps Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Freshwater suitable dataset, generated using AquaMaps SuitableRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T09:18:21.119999,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,610a0cd6-afcd-4820-9c05-3e4fc3499f1b,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/610a0cd6-afcd-4820-9c05-3e4fc3499f1b,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,OrganisationUnit,Classification,2099-12-31T23:59:59-01:00,Anoplagonus inermis,1901-01-01T00:0000-01:00,Result Product 16c92534-9cc5-4055-947a-972557978618,string,Result Product Name anoplagonus-inermis2,"This Anoplagonus inermis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-30T16:54:57.015898,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anoplagonus-inermis2,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/anoplagonus-inermis2,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Acanthephyra pelagica,1901-01-01T00:0000-01:00,Result Product ad88c5ce-95b2-4564-89b7-264d48a6211b,FederatedIdentifier,Result Product Revision Identifier fc06adcf-a579-4b98-99b4-60ec4844fbcf,"This Acanthephyra pelagica Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-09T08:29:35.225879,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,fc06adcf-a579-4b98-99b4-60ec4844fbcf,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductRevisionIdentifier/fc06adcf-a579-4b98-99b4-60ec4844fbcf,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Aetobatus narinari,1901-01-01T00:0000-01:00,Result Product ca5fde3d-ab20-4352-b0b9-32231a46ba9c,FederatedIdentifier,Result Product Name aetobatus-narinari,"This Aetobatus narinari Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the Default Suitable 2050 maps_SuitableRange2050 dataset, generated using AquaMaps SuitableRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-24T11:48:03.320823,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,aetobatus-narinari,PersonName,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductName/aetobatus-narinari,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anarchias allardicei,1901-01-01T00:0000-01:00,Result Product 537ff0d5-7163-41c3-b4fd-380476a1d64b,string,Result Product Name anarchias-allardicei1,"This Anarchias allardicei Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-01T01:23:19.398326,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anarchias-allardicei1,PersonName,Product,LinkEntityWithProvisionOrderIPR,string,http://www.vre4eic.com/ckancerif/resultProductName/anarchias-allardicei1,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,SimpleLinkEntity,Person,Classification,2099-12-31T23:59:59-01:00,Anadara ferruginea,1901-01-01T00:0000-01:00,Result Product e45333a9-560f-4227-b9fe-48844e19980e,FederatedIdentifier,Result Product Name anadara-ferruginea,"This Anadara ferruginea Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC 2050 Native Range dataset, generated using AquaMaps NativeRange2050 algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-25T06:21:09.985747,Classification,FullLinkEntity,Medium,Classification,Classification,2099-12-31T23:59:59-01:00,anadara-ferruginea,ElectronicAddress,Product,LinkEntityWithProvisionOrderIPR,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anadara-ferruginea,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anarhichas denticulatus,1901-01-01T00:0000-01:00,Result Product 64fb8627-9009-42fd-89c8-2c5824589f05,string,Result Product Name anarhichas-denticulatus,"This Anarhichas denticulatus Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-12-16T21:51:38.324098,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,anarhichas-denticulatus,PersonName,Product,FullLinkEntity,FederatedIdentifier,http://www.vre4eic.com/ckancerif/resultProductName/anarhichas-denticulatus,http://www.vre4eic.com/ckancerif/creatorIdentifier/ebc02b4a-f774-4e7e-afe1-d52ab93126de,SimpleLinkEntity
1901-01-01T00:0000-01:00,FullLinkEntity,Publication,Classification,2099-12-31T23:59:59-01:00,Anguilla celebesensis,1901-01-01T00:0000-01:00,Result Product 8969d2d6-acc0-4409-96b7-96e114f3cfa3,FederatedIdentifier,Result Product Identifier 8969d2d6-acc0-4409-96b7-96e114f3cfa3,"This Anguilla celebesensis Species Distribution Map has been generated with the AquaMaps methodology by exploiting the technology and the computational resources provided by iMarine. In particular, this map has been produced using the HSPEC Native Range dataset, generated using AquaMaps NativeRange algorithm.",1901-01-01T00:0000-01:00,2099-12-31T23:59:59-01:00,2099-12-31T23:59:59-01:00,2017-11-29T13:53:25.591986,Classification,FullLinkEntity,Measurement,Classification,Classification,2099-12-31T23:59:59-01:00,8969d2d6-acc0-4409-96b7-96e114f3cfa3,ElectronicAddress,Product,FullLinkEntity,string,http://www.vre4eic.com/ckancerif/resultProductIdentifier/8969d2d6-acc0-4409-96b7-96e114f3cfa3,http://www.vre4eic.com/ckancerif/resultPublicationIdentifier/null,SimpleLinkEntity
