has_identifier_has_id_value,unknown,unknown,has_name,unknown,unknown,has_identifier_has_id_value,unknown,unknown,unknown,unknown,is_destination_of_has_source_is_source_of_has_destination_has_name,has_name,unknown,unknown,unknown
ad1ef9d9-c153-42d7-bb2a-c08208e9c479,035ab96e-39a0-409d-b892-5e21d8c112ec,2793c86d-c151-4898-aea7-6e76220f47e9,SpeciesDistribution,5,WWW:LINK-1.0-http--link,7450dc08-c464-4db3-b99d-c57165f45593,active,WMS link to resource,active,"http://geoserver4.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lanchoacompressa20130412123714943cest&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",FAO - Fisheries and Aquaculture Department (FI). Fisheries and Aquaculture Policy and Resources Division (FIA),fishery statistical areas,WMS,2017-09-19T13:30:50.210157,False
ad1ef9d9-c153-42d7-bb2a-c08208e9c479,7b88a62e-3ffe-40a6-840a-056c80ee33ce,65ac7f13-965a-4bc5-8c31-7eb99ce0ff52,SpeciesDistribution,0,OGC:WFS-1.0.0-http-get-feature,9f6356e3-c784-4d4d-b2a4-7f075c809f25,active,WMS link to resource,active,"http://geoserver2.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lalphestesimmaculatus20130414045641000cest&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,Anchoa compressa,WMS,2017-09-22T14:49:34.435177,False
c92529e8-9974-4d3a-bb89-0bbb91476ebe,bf9c1fc6-610c-4683-9906-ab38eeb55835,473878f6-72f5-450a-8d0c-33291387761d,SpeciesDistribution,0,OGC:WFS-1.0.0-http-get-feature,54dd4412-7593-4cc9-9f9d-40a45c4f44e4,active,WMS link to resource,active,"http://geoserver3.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lalectryonellaplicatula20130414191730471cest&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,Alphestes immaculatus,WMS,2017-09-22T04:04:25.235294,False
ec096959-f78f-4b1b-b23c-29c7bed6e3b6,172d04b9-eb96-4684-a7e3-0cf40b2b8af4,12013b83-1848-4c7e-8d3c-b2c1f5e8ffab,SpeciesDistribution,0,OGC:WFS-1.0.0-http-get-feature,57add19e-ec09-44e7-a532-9d55deef9bb1,active,WMS link to resource,active,"http://geoserver4.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=labudefdufbengalensis20130411124932894cest&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,7614324,WMS,2017-09-23T11:40:57.702774,False
c950848d-0f8a-4256-a53d-659cae4c5b18,172d04b9-eb96-4684-a7e3-0cf40b2b8af4,5365c0af-d746-4fd0-8a01-dff31c11a75d,SpeciesDistribution,0,OGC:WFS-1.0.0-http-get-feature,3806e0ed-f0bc-4d03-8f08-1459b55b3afa,active,WMS link to resource,active,"http://geoserver4.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lalionematichthysriukiuensis20121220055855425cet&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,Abudefduf bengalensis,WMS,2017-09-23T09:06:45.123871,False
22256047-790b-4eb0-aca9-90c2bde80891,c415fab9-35e8-45df-8790-d087f71698ae,90855459-19cc-4677-891b-46c07338c80b,SpeciesDistribution,0,OGC:WFS-1.0.0-http-get-feature,21ba3cc7-4b3d-4f2b-a01a-a597a85cfbc5,active,WMS link to resource,active,"http://geoserver3.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lanisotremusvirginicus20121217190311600cet&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,Alionematichthys riukiuensis,WMS,2017-09-22T19:14:15.401577,False
bd28ae5d-68f4-4b47-a0e7-408d8ea31d4c,172d04b9-eb96-4684-a7e3-0cf40b2b8af4,b241ce65-71c8-4084-84d5-8fb423bb7cb4,Whitecheek surgeonfish,0,OGC:WFS-1.0.0-http-get-feature,2aa0cca4-0751-4e49-9789-f50b13a6395b,active,WMS link to resource,active,"http://geoserver4.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lacanthurusnigricans20130412094144642cest&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,Anisotremus virginicus,WMS,2017-09-23T10:46:33.350709,False
351a9033-3bc2-4797-aa90-c38dbf894801,172d04b9-eb96-4684-a7e3-0cf40b2b8af4,5669b719-e9e8-4c21-95cd-a478916aca74,SpeciesDistribution,0,OGC:WFS-1.0.0-http-get-feature,cd413c71-1803-4cf1-afea-ab71a6a8b646,active,WMS link to resource,active,"http://geoserver3.d4science.research-infrastructures.eu/geoserver/wms?service=wms&version=1.1.0&request=GetMap&layers=lamoyagracilis20130413001122051cest&styles=&bbox=-180,-90,180,90&width=676&height=330&srs=EPSG:4326&crs=EPSG:4326&format=application/openlayers",iMarine.eu,Acanthurus nigricans,WMS,2017-09-22T22:05:43.740475,False
799a7868-6545-42a2-80a2-25a715836108,c415fab9-35e8-45df-8790-d087f71698ae,15e1a949-4e8e-4cb7-b5b6-f04c2f4d174f,FAO,0,OGC:WFS-1.0.0-http-get-feature,ae49ed64-728a-4d1b-a94a-651f28d975a0,active,FSA_47-1-6,active,http://www.fao.org/figis/geoserver/fsa/ows?SERVICE=WMS,iMarine.eu,Amoya gracilis,WFS,2017-09-23T12:56:54.535783,False
61028778-766e-4946-894e-6eddff84fb12,bf9c1fc6-610c-4683-9906-ab38eeb55835,80ac81cd-8a67-42f7-bde2-e0ee02d9083f,NetCDF,0,WWW:LINK-1.0-http--link,7450dc08-c464-4db3-b99d-c57165f45593,active,Unnamed resource,active,http://thredds.d4science.org/thredds/fileServer/public/netcdf/AquamapsNative/aquamaps_native_ammodytes_tobianus.nc,iMarine.eu,47.1.6,WCS,2017-09-19T13:30:50.210146,False
